game	url	site_category	rules_as_read
Double Klondike Solitaire	https://www.solitairenetwork.com/solitaire/double-klondike-solitaire-game.html	Klondike Games	Double Klondike Solitaire Rules | Goal | Move all cards to the four Foundation piles in the same suit. | The Deal | Using two decks, 45 cards are dealt to the nine Columns. The 1st Column is dealt 1 card, the 2nd Column is dealt 2 cards, etc up to 9 cards in the 9th Column. The last card in each Column is face up. The remaining cards form the Stock. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and continuing on to a King. After each Foundation has its first King then the other Ace of that suit can be played on the King and the second group of A through K may be played to the Foundation. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. Then the second Ace of Clubs may be played on the King of Clubs, then the 2, 3, etc. up to the second King of Clubs. The same holds true for the other suits. | Columns | Columns are built DOWN in ALTERNATING COLOR. For example, a red 6 may be placed on a black 7. | Any grouping of face up cards in Columns is available for movement to another Column as long as the build rules are followed. For example, suppose a Column has a red Queen, black Jack, red 10, and black 9. It is acceptable to move the black Jack and following cards to another red Queen. | No cards may be built upon Aces in Columns. | The topmost card in any Column is available for play to either another Column or a Foundation. When a face down card is the topmost card in a Column, it is flipped face up. | Empty Columns may be filled with any card or cards that may be validly moved. | Stock | Cards from the Stock are flipped three at a time to the Discard Pile. When no cards remain in the Stock, the cards from the Discard Pile can be flipped over and gone through an unlimited number of times. | Discard Pile | Only the top card of the Discard Pile may be played elsewhere. When a card from the Discard Pile is played then the new top card can also be played. | Game Notes | Double Klondike is a Double deck variant of the standard Klondike game. Some variants of Double Klondike have 8 Foundations, SolitaireNetwork.com may provide this variation at some point in the future. | SolitaireNetwork.com's version of Double Klondike allows for any card(s) to be placed in empty Columns. Many people also play that only Kings may fill empty Columns. SolitaireNetwork.com's philosophy is to be liberal with the rules. Players who wish to play that only Kings may fill empty Columns are free to restrict themselves to that rule.
Klondike Garden Solitaire	https://www.solitairenetwork.com/solitaire/klondike-garden-solitaire-game.html	Klondike Games	"Klondike Garden Solitaire Rules | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, 28 cards are dealt to the layout. There are 7 Columns. The 1st Column is dealt one card, the 2nd is dealt 2, 3rd 3, up to the 7th column which is dealt 7 cards. All cards are dealt face down except for the last card in each Column. The Reserve cards above the layout are dealt all remaining cards.> | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. The same holds true for the other suits. | When all cards in the Columns are face up, Reserve cards score an extra point each. | Columns | Columns are built DOWN in ALTERNATING COLOR. For example, a red 6 may be placed on a black 7. | All face up cards in any Column are available for movement to another Column as long as the build rule is followed. For example, a red Queen, black Jack, and red 10 can all be moved to a black King because the connecting cards (the K and Q) follow the rule that cards are built Down and in Alternating Color. | The topmost card in any Column is available for play to either another Column or a Foundation. When a face down card is the topmost card in a Column, it is flipped face up. | Empty Columns may be filled with Kings (or stacks of cards with a King) or any card from the Reserve. | Reserve | Any card from the Reserve - the ""Garden"" - may be played at any time providing that all Build rules are followed."
Double Canfield Solitaire	https://www.solitairenetwork.com/solitaire/double-canfield-solitaire-game.html	Klondike Games	Double Canfield Solitaire Rules | Goal | Move all cards to the eight Foundation piles in the same suit. The starting Foundation rank changes from game to game. | The Deal | Using two decks, a single card is dealt to the first Foundation. Next, each of the five Columns is dealt one card. Finally, 13 cards are dealt to the Reserve Pile. Only the last card of the Reserve Pile is face up. | Foundations | Foundations are built UP and IN SUIT starting with the rank of the card dealt to the first Foundation and ending with the rank one less. For example, if a 3 of hearts was dealt to the first Foundation, then the 4 of hearts would be played onto the 3, then the 5, 6, 7, 8, 9, 10, J, Q, K, A, and 2 of hearts. Each Foundation in this example must also start with a 3. | Columns | Columns are built DOWN in ALTERNATING COLOR. For example, a red 6 may be placed on a black 7. | All face up cards in any Column are available for movement to another Column as long as the above build rule is followed. For example, a red Queen, black Jack, and red 10 can all be moved to a black King because the connecting cards (the K and Q) follow the rule that cards are built Down and in Alternating Color. | The topmost card in any Column is available for play to either another Column or a Foundation. | Empty Columns may be filled with any card or group of cards that may be validly moved. | Stock | Cards from the Stock are flipped three at a time to a Discard Pile. When no cards remain in the Stock, the cards from the Discard Pile can be flipped over and may be played again an unlimited number of times. | Discard Pile | Only the top card of the Discard Pile may be played elsewhere. When a card from the Discard Pile is played then the new top card can also be played. | Game Notes | Double Canfield on Solitaire Network has been changed to reflect the most common rules for the game - that of using only 13 Reserve cards instead of 40.
Double Canfield 40 Solitaire	https://www.solitairenetwork.com/solitaire/double-canfield-40-solitaire-game.html	Klondike Games	Double Canfield 40 Solitaire Rules | Goal | Move all cards to the eight Foundation piles in the same suit. The starting Foundation rank changes from game to game. | The Deal | Using two decks, a single card is dealt to the first Foundation. Next, each of the six Columns is dealt one card. Finally, 40 cards are dealt to the Reserve Pile. Only the last card in the Reserve Pile is face up. | Foundations | Foundations are built UP and IN SUIT starting with the rank of the card dealt to the first Foundation and ending with the rank one less. For example, if a 3 of hearts was dealt to the first Foundation, then the 4 of hearts would be played onto the 3, then the 5, 6, 7, 8, 9, 10, J, Q, K, A, and 2 of hearts. Each Foundation in this example must also start with a 3. | Columns | Columns are built DOWN in ALTERNATING COLOR. For example, a red 6 may be placed on a black 7. | All face up cards in any Column are available for movement to another Column as long as the above build rule is followed. For example, a red Queen, black Jack, and red 10 can all be moved to a black King because the connecting cards (the K and Q) follow the rule that cards are built Down and in Alternating Color. | The topmost card in any Column is available for play to either another Column or a Foundation. | Empty Columns may be filled with any card or group of cards that may be validly moved. | Stock | Cards from the Stock are flipped three at a time to a Discard Pile. When no cards remain in the Stock, the cards from the Discard Pile can be flipped over and may be played again an unlimited number of times. | Discard Pile | Only the top card of the Discard Pile may be played elsewhere. When a card from the Discard Pile is played then the new top card can also be played. | Game Notes | One extra Column was added to this game on April 16, 2009 because it was extremely difficult with just five Columns. | This game was renamed as Double Canfield 40 so that Double Canfield can use the most common rules of dealing only 13 cards to the Reserve with 5 Columns.
Bristol Solitaire	https://www.solitairenetwork.com/solitaire/bristol-solitaire-game.html	Klondike Games	Bristol Solitaire Rules | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, each of the eight Columns is dealt 3 cards. The remaining cards form the Stock. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. The same holds true for the other suits. | Columns | Columns are built DOWN in ANY SUIT. For example, any 6 may be placed on any 7. | The topmost card in any Column is available for play to either another Column or a Foundation. Only one card may move at a time. | Empty Columns may be filled with Kings. | Stock | Three cards from the Stock are dealt to the three Discard Piles - one card to each Discard Pile. When no cards remain in the Stock, the play may continue but there is no redeal. | Discard Piles | Only the top card from each of the three the Discard Piles may be played elsewhere. When a card from a Discard Pile is played then the new top card can also be played. | Game Notes | Another variation of Bristol allows for Foundations to be built up in any suit, but then empty Columns cannot be filled with any card. Kings when dealt are moved to the bottom of a Column so that it doesn't block the game. SolitaireNetwork.com may provide this interesting variant in the future.
Flower Garden Solitaire	https://www.solitairenetwork.com/solitaire/flower-garden-solitaire-game.html	Klondike Games	"Flower Garden Solitaire Rules | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, all cards are dealt face up to the layout. Each of the seven Columns are dealt 5 cards. The remaining 17 cards are dealt to the single Reserve. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. The same holds true for the other suits. | Columns | Columns are built DOWN in ANY SUIT. For example, any 6 may be placed on any 7. | The topmost card in any Column is available for movement to either another Column or a Foundation. | Empty Columns may be filled with any card. | Reserves | The Reserve is dealt 17 cards to start the hand. ANY CARD from the Reserve may be played to a Column or a Foundation. Think of it as if you are picking flowers, hence the name of the game. Cards may not be played to the Reserve. | Game Notes | SolitaireNetwork.com's version of Flower Garden supports a ""Supermove"" where you may move more than one card at a time as long as the move would have been possible by moving cards singly using empty Columns to shuffle the cards around. | Flower Garden is an underrated game in many ways similar to Free Cell that deserves your attention. It allows for high skill and is winnable with skillful play more often than not."
Fortress Solitaire	https://www.solitairenetwork.com/solitaire/fortress-solitaire-game.html	Klondike Games	Fortress Solitaire Rules | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, all cards are dealt face up to the layout. There are 10 Columns. The Columns on each end are dealt 6 cards each. The center eight Columns are dealt 5 cards each. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. The same holds true for the other suits. | Columns | Columns are built UP OR DOWN in ANY SUIT. For example, a 6 may be placed on any 7 or any 5. | The topmost card in any Column is available for movement to either another Column or a Foundation. | Empty Columns may be filled with Kings.
Four Captives Solitaire	https://www.solitairenetwork.com/solitaire/four-captives-solitaire-game.html	Klondike Games	Four Captives Solitaire Rules | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, 16 cards are placed face up in the Reserve area with the four Aces buried within it. | 5 Columns are dealt an increasing number of cards starting with 1 card in the first Column and up to 5 cards in the 5th Column. All cards are dealt to Columns face down except the last card in each Column. | The remaining 21 cards remain in the Stock. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. The same holds true for the other suits. | Columns | Columns are built DOWN in ANY SUIT. For example, any 6 may be placed on any 7. | All face up cards in any Column are available for movement to another Column as long as the above build rule is followed. For example, a Q, J, 10 can all be moved to a King. | The topmost card in any Column is NOT available for play to another Column unless it is the only face up card in a Column. | Empty Columns may be filled with any card or cards that may be validly moved. | Reserve | The game starts with 16 cards dealt to the Reserve including all four Aces. Only cards that are completely uncovered may be moved to a Column or a Foundation. | Stock | Cards from the Stock are flipped one at a time to the Discard Pile. No redeals are allowed. | Discard Pile | Only the top card of the Discard Pile may be played to a Column or a Foundation. When a card from the Discard Pile is played then the new top card can also be played. | Game Notes | Four Captives is a Solitaire Network original and was created by Warren Schwader.
Kansas Solitaire	https://www.solitairenetwork.com/solitaire/kansas-solitaire-game.html	Klondike Games	Kansas Solitaire Rules | Goal | Move all cards to the eight Foundation piles from Ace to King in the same suit. | The Deal | Using two decks, one card is dealt to each of the eight Columns. The remaining cards form the Stock. | Foundations | The eight Foundations are built IN SUIT (Four are built up and four down.) | Four of the Foundations are built from Ace to King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. | The other four Foundations are built from King to Ace. For example, a Q of Spades can be placed on a King of Spades, then a J of Spades, then a 10, 9, 8, 7, 6, 5, 4, 3, 2, and then Ace of Spades. | Columns | Columns are built DOWN in the SAME SUIT. For example, a 6 of clubs may only be placed onto a 7 of clubs. | Any number of face up cards may be moved whether in sequence or not provided the above build rule is applied. | Empty Columns may be filled with any card(s). | Stock | Each click on the Stock will deal one card to each Column. | Game Notes | Kansas is a SolitaireNetwork.com original and was created by Warren Schwader. | It is believed that every hand is winnable but takes extensive work to win. The game makes an especially good challenge based on how fast you can solve the hand.
Simple Scorpion Solitaire	https://www.solitairenetwork.com/solitaire/simple-scorpion-solitaire-game.html	Scorpion Games	Simple Scorpion Solitaire Rules | Goal | Form four sets of cards of the same suit from King to Ace within the Columns. | The Deal | Using one deck, each of seven Columns is dealt 3 cards. In the first four Columns, the first card is dealt face down; the Scorpion's tail. The other Column cards are dealt face up. All undealt cards will be in the Stock ready to be played at any time. | Columns | Columns are built DOWN in the SAME SUIT. For example, a 6 of clubs may only be placed onto a 7 of clubs. | Any number of face up cards may be moved whether in sequence or not provided the above build rule is applied. | When a face down card is the topmost card in a Column, it is flipped face up. | Empty Columns may be filled with Kings. | One point is scored for each card built within a Column starting with a King. For example, if a Column has a K, Q, and J of the same suit in sequence then three points are scored for that combination. | Stock | When play comes to a standstill (or sooner if desired,) clicking on the Stock deals one card to each Column.
Double Scorpion Solitaire	https://www.solitairenetwork.com/solitaire/double-scorpion-solitaire-game.html	Scorpion Games	Double Scorpion Solitaire Rules | Goal | Form eight sets of cards of the same suit from King to Ace within the Columns. | The Deal | Using two decks, cards are dealt to 10 Columns. The first 4 Columns are dealt 11 cards each, and the remaining Columns are dealt 10 cards each. Unlike single-deck Scorpion, all cards are dealt out initially. | In each of the first 5 Columns, 5 cards will be face down - the Scorpion's tail. | Columns | Columns are built DOWN in the SAME SUIT. For example, a 6 of clubs may only be placed onto a 7 of clubs. | Any number of face up cards may be moved whether in sequence or not provided the above build rule is applied. | When a face down card is the topmost card in a Column, it is flipped face up. | Empty Columns may be filled with Kings. | The goal is to build 8 sets of cards within the layout from King down to Ace in the same suit. One point is scored for each card built within a Column starting with a King. For example, if a Column has a K, Q, and J of the same suit in sequence then three points are scored for that combination. | Stock | Unlike Single-deck Scorpion, all cards are dealt out during the initial deal so that there is no Stock in Double Scorpion.
Australian Patience	https://www.solitairenetwork.com/solitaire/australian-patience-solitaire-game.html	Scorpion Games	Australian Patience Solitaire Rules | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, four cards are dealt face up to each of seven Columns in the layout. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. The same holds true for the other suits. | Columns | Columns are built DOWN in the SAME SUIT. For example, a 6 of Diamonds may only be placed on the 7 of Diamonds. | Any number of cards within a Column may be moved to another Column provided that the above build rule is followed. It does not matter whether the cards being moved are already in sequence or not. For example, a 6 of Diamonds may have a King and a 2 on it. Those three cards may be moved to the 7 of Diamonds. | Empty Columns may be filled with Kings or with a group of cards headed by a King. | Stock and Discard Pile | Cards in the Stock are flipped one at a time to the Discard Pile. The topmost card in the Discard Pile is available for play to either a Column or a Foundation. | There are no redeals. | Game Notes | Australian Patience is a combination of Yukon and Klondike.
Double Australian Patience	https://www.solitairenetwork.com/solitaire/double-australian-patience-solitaire-game.html	Scorpion Games	Double Australian Patience Solitaire Rules | Goal | Move all cards to the eight Foundation piles from Ace to King in the same suit. | The Deal | Using two decks, seven cards are dealt face up to each of nine Columns in the layout. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. There are two Foundations for each suit. | Columns | Columns are built DOWN in the SAME SUIT. For example, a 6 of Diamonds may only be placed on the 7 of Diamonds. | Any number of cards within a Column may be moved to another Column provided that the above build rule is followed. It does not matter whether the cards being moved are already in sequence or not. For example, a 6 of Diamonds may have a King and a 2 on it. Those three cards may be moved to the 7 of Diamonds. | Empty Columns may be filled with Kings or with a group of cards headed by a King. | Stock and Discard Pile | Cards in the Stock are flipped one at a time to the Discard Pile. The topmost card in the Discard Pile is available for play to either a Column or a Foundation. | There are no redeals. | Game Notes | Double Australian Patience is a two-deck variation of Australian Patience. It is a combination of Yukon and Klondike.
Squadron Solitaire	https://www.solitairenetwork.com/solitaire/squadron-solitaire-game.html	40 Thieves Games	"Squadron Game Summary | Squadron is a much easier version of Forty Thieves. It differs from Forty Thieves by the addition of 3 Reserve piles (the Squadrons) that may each hold one card at a time. These three Reserve piles gives players many options and flexibility during game play. | Squadron Strategy | The key to playing Squadron well is by properly managing the three Reserve piles. It is usually worthwhile to clear at least one of the Reserve piles as soon as possible even if that means burying low-ranking cards in Columns. This will provide flexibility to move many other cards around. The more Reserve piles opened and the earlier they are opened, the more likely the game will be won. With optimal play, we expect about a 50% win rate. | Squadron Rules | Goal | Move all cards to the eight Foundation piles, starting from the Aces and continuing UP to the Kings in EACH suit. | The Deal | Using a double deck, ten Columns are dealt four cards each, face up. Each of the three Reserve piles are dealt one card each. The remaining cards form the Stock. | Foundations | Each of the eight Foundation piles start with an Ace and continues UP in the SAME SUIT to Kings. | Columns | Columns are built DOWN and in the SAME SUIT. For example, within the columns, the only card that can be played onto a 4 of Spades would be a 3 of Spades. | The exposed card in any Column is available for play to another Column, Foundation pile, or to an open Reserve pile. | Empty Columns may be filled with any playable card. | Reserves | There are three Reserve piles. When a Reserve Pile is empty, any moveable card from Columns or the Discard Pile may be moved into it. Each Reserve pile may hold one card at a time. Reserve piles may be reused. | Cards in Reserve piles may be moved to Columns or Foundations. | Stock and Discard Pile | Cards from the Stock may be flipped one card at a time to the Discard Pile. The top card of the Discard Pile may be played to a Column, Foundation, or Reserve pile. There are no redeals. | Game Notes | SolitaireNetwork.com's version of Squadron supports a ""Supermove"" where you may move more than one card at a time as long as the move would have been possible had it been done by shuffling around single cards."
Three Pirates Solitaire	https://www.solitairenetwork.com/solitaire/three-pirates-solitaire-game.html	40 Thieves Games	"Summary | Three Pirates is a close cousin to the hugely popular Forty Thieves game. In fact, if you know how to play forty thieves then you already know how to play Three Pirates. | The only difference between Three Pirates and Forty Thieves is that each time the Stock is clicked one card is dealt to each of three piles, whereas in Forty Thieves only one pile is used. | The addition of three Discard Piles will offer more opportunities to win making Three Pirates somewhat easier, without removing too much of the challenge that people love about Forty Thieves. With three Discard Piles, cards will not be buried as deeply in the piles as they are in Forty Thieves. Plus there are two extra choices for card movements. | Goal | Play all cards to the eight Foundations. Each Foundation starts with an Ace and continues up to the Kings in EACH suit. | The Deal | Using two decks, each of the 10 Columns is dealt 4 cards face up. Thus, 40 cards are dealt and laid out just as in Forty Thieves. The remaining 64 cards form the Stock. | Foundations | Start each Foundation with an Ace and then continue up to the Kings. Each Foundation is built UP and in the SAME SUIT. | Columns | Build Columns DOWN in the SAME SUIT. For example, the only card that can be played onto a 10 of clubs is a 9 of clubs. | The exposed card in any Column is available for play to another Column or to a Foundation pile. | Empty Columns may be filled with any card. | Stock and Discard Piles | A Stock click will deal one card to each of the three Discard Piles. The top card of any Discard Pile can be played to a Column or to a Foundation if the build rules are followed. Cards may not be moved from one Discard Pile to another. There are no redeals. | Game Notes | SolitaireNetwork.com's version of Three Pirates supports a ""Supermove"" where you may move more than one card at a time as long as the move would have been possible had it been done by shuffling around single cards also."
Thieves of Egypt Solitaire	https://www.solitairenetwork.com/solitaire/thieves-of-egypt-solitaire-game.html	40 Thieves Games	"Summary | Thieves of Egypt is a variant of Forty Thieves with these differences: | The cards are layed out differently | Columns are built down in Alternating Color | Any number of built cards may be moved | Only Kings may fill empty Columns | One Redeal is allowed | Thieves of Egypt Rules | Goal | Move all cards to the eight Foundation piles, starting from the Aces and continuing up to the Kings in EACH suit. | The Deal | Using two decks, 55 cards are dealt face up to the ten Columns with each column receiving a different number of cards from 1 to 10. The 10 Columns are dealt from left to right: 1, 3, 5, 7, 9, 10, 8, 6, 4, and 2 cards respectively. The remaining cards form the Stock. | Foundations | Starting with an Ace and continuing up to the Kings, each Foundation is built UP and in the SAME SUIT. | Columns | Columns are built DOWN and in ALTERNATING COLOR. Any number of properly sequenced cards may be moved to another Column if the build condition is met. | For example, within the columns, a red 9, black 8, and red 7 in sequence without any other cards covering them may be moved to an exposed black 10 in another Column. | Sequences may be split. The exposed card of each Column is always available to move to a Foundation pile or another Column. | Empty Columns may only be filled with Kings or properly sequenced cards headed by a King. | Stock and Discard Pile | Cards from the Stock are flipped one at a time to the Discard Pile. The top card of the Discard Pile may be played to a Column or to a Foundation. | One redeal is allowed. | Thieves of Egypt Strategy | Clearing columns is important. Try to get all Kings into play and placed at the top of a Column. It is also important to move Kings that are covering other low-ranked cards into their own Columns. | As early as possible, try to get one Foundation started in each suit. | Try to not build on Columns when the variety of ranks within the Column is great. For example, if a Column has a few low cards buried, try not to place high-ranked cards onto it that cannot be easily moved around. | Remember that you may go through the Stock twice. It may be advantageous sometimes to not always play certain cards from the Stock on the first pass. | Game Notes | SolitaireNetwork.com's version of Thieves of Egypt supports a ""Supermove"" where you may move more than one card at a time as long as the move would have been possible had it been done by shuffling around single cards also."
Single Rail Solitaire	https://www.solitairenetwork.com/solitaire/single-rail-solitaire-game.html	40 Thieves Games	Summary | Single Rail is a single deck version of Forty Thieves. | Single Rail Rules | Goal | Move all 52 cards to the four Foundation piles, starting from the Aces and continuing up to the Kings in EACH suit. | The Deal | Using a single deck, each Column is dealt one card face up. The remaining cards form the Stock. | Foundations | Each Foundation is built UP and in the SAME SUIT starting from an Ace. | Columns | Columns are built DOWN and in ANY SUIT. For example, any 7 or sequenced cards headed by a 7 may be moved onto any exposed 8. | Any number of cards may be moved to another Column if the build condition is met. Sequences may be split. The exposed card of each Column is always available to move to a Foundation pile or another Column. | Empty Columns may be filled with any card or sequence of cards. | Stock and Discard Pile | Cards from the Stock are flipped one at a time to the Discard Pile. The top card of the Discard Pile may be played to a Column or to a Foundation. | No Redeal is allowed. | Single Rail Strategy | It is often advantageous to keep one Column open so that cards may be played from the Stock that are one rank higher than one of the other cards that head up a Column. | It is important to get lower ranked cards into play when possible so that they do not become buried deeply in the Waste Pile. | Since Foundations are built in the same suit, it is a more advantageous to build Columns in the same suit when possible. But it is most important to get cards into play even if suits do not match. It will often be possible to manipulate the cards in Columns in order to move cards of the same suit together.
Rank and File Solitaire	https://www.solitairenetwork.com/solitaire/rank-and-file-solitaire-game.html	40 Thieves Games	Summary | If you know how to play Forty Thieves then Rank and File will be easy for you. | Here is a summary of how Rank and File differs from Forty Thieves: | Columns are built down in Alternating Color | Any number of built cards in Columns may be moved | Any number of built cards may fill empty Columns | Rank and File Rules | Goal | Move all cards to the eight Foundation piles, starting from the Aces and continuing up to the Kings in EACH suit. | The Deal | Using two decks, each Column is dealt three cards face down and one card face up. The remaining 64 cards form the Stock. | Foundations | Starting with an Ace and continuing up to the Kings, each Foundation is built UP and in the SAME SUIT. | Columns | Columns are built DOWN and in ALTERNATING COLOR. | Any number of cards may be moved from one Column to another if the build condition is met. Sequences may be split. For example, a red 6 (or group of cards headed by a red 6) may be moved to a black 7. The exposed card of each Column is always available to move to a Foundation pile or another Column. | Empty Columns may be filled with any exposed card or group of cards. | Stock and Discard Pile | Cards from the Stock are flipped one at a time to the Discard Pile. The top card of the Discard Pile may be played to a Column or to a Foundation. | No Redeals are allowed. | Rank and File Strategy | Don't be too quick to play cards to Foundations. It is more important to get as many cards into the playfield as possible. | Try to build the Foundations up synchronously, or at least one set of four Foundations synchronously. Otherwise, some low ranked cards will get buried deeply in the Discard Pile, or not be immediately playable when flipped face up in Columns. | Empty Columns will play a key role in managing the game well. Use them to clear other Columns as fast as possible. Once all cards are face up, use Empty Columns to get as many Discard Pile cards into play as possible. Ideally, each play from the Discard Pile to an Empty Column should allow another movement of cards onto it, keeping at least one Column empty. | Don't forget that you may move any number of cards from Columns. This will often allow you to play cards to Foundations and open up other plays. | Finally, don't easily give up when the Stock cards have all been flipped. It will often be possible to continue playing by moving cards around Columns, freeing up plays to the Foundation.
Josephine Solitaire	https://www.solitairenetwork.com/solitaire/josephine-solitaire-game.html	40 Thieves Games	Summary | Josephine, also known as Forty Bandits, is identical to Forty Thieves with only one difference: | Whereas in Forty Thieves only one card may be moved at a time, in Josephine, any number of cards in a properly built suit sequence may be moved. | Josephine Rules | Goal | Move all cards to the eight Foundation piles, starting with the Aces and continuing up to the Kings in EACH suit. | The Deal | Using two decks, 40 cards are dealt face up to the ten Columns with each column receiving 4 cards. The remaining 64 cards form the Stock. | Foundations | Starting with an Ace and continuing up to the Kings, each Foundation is built UP and in the SAME SUIT. | Columns | Columns are built DOWN and in the SAME SUIT. For example, within the columns, the only card that can be played onto a 5 of Clubs would be a 4 of Clubs. | The exposed card in any Column is available for play to another Column or to a Foundation pile. Any number of properly sequenced cards may be moved to another Column if the build condition is met. Sequences may be split. | Empty Columns may be filled with any card or properly sequenced group of cards. | Stock and Discard Pile | Cards from the Stock are flipped one at a time to the Discard Pile. The top card of the Discard Pile may be played to a Column or to a Foundation. | There are no redeals. | Josephine Strategy | Josephine is somewhat easier to win than Forty Thieves due to the added rule that groups of sequenced cards can be moved. This makes it easier to move cards around the Columns, and makes it easier to open up empty Columns. The end-game is also easier for the same reasons. | Work to empty at least one Column as soon as possible. With an empty Column available it will be easier to put more cards from the Waste Pile into play. When moving cards from the Waste Pile to an empty Column, try to move other cards onto the newly placed card so that a different Column can be emptied. | Sometimes, it can be better to store cards in the Columns that would otherwise be playable to Foundations.
Tri-Peaks Solitaire	https://www.solitairenetwork.com/solitaire/tri-peaks-solitaire-game.html	Tri-Peaks Games	Tri-Peaks Solitaire Rules | Goal | Move all cards to the single Foundation pile by playing cards one higher or lower. | The Deal | Using one deck, 28 cards are dealt to the layout in the shape of three pyramids. The Foundation is dealt one card. | Foundation | The foundation may be built UP or DOWN in ANY SUIT. For example, if the Foundation is showing a 5, then a 4 or 6 may be played onto it. An Ace may be played on a King and a King may be placed on an Ace. | When play comes to a standstill or sooner if desired, you may flip a card from the Stock and it is placed in the Foundation. Then you may continue. | Layout Cards | Only cards that are completely uncovered may be moved to the Foundation. | Stock | 23 cards remain in the Stock after the deal. Cards may be flipped one at a time from the Stock as desired. Usually, cards are flipped because no more plays are available. There are no redeals. | The more cards remaining in the Stock when the game is won, the more points added to your score. For example, if you win the game and 5 cards remain in the Stock, your score would be 52 + 5 = 57 points.
Tri-Peaks Garden Solitaire	https://www.solitairenetwork.com/solitaire/tri-peaks-garden-solitaire-game.html	Tri-Peaks Games	"Tri-Peaks Garden Solitaire Rules | Goal | Move all cards to the single Foundation pile by playing cards one higher or lower. | The Deal | Using one deck, 37 cards are dealt to the layout in the shape of three pyramids. The Foundation is dealt one card. The remaining 14 cards are dealt to a Reserve - the ""Garden."" | Foundation | he foundation may be built UP or DOWN in ANY SUIT. For example, if the Foundation has a 5 on it, then a 6 or 4 can be played from the layout. | An Ace may be played on a King and a King may be placed on an Ace. | When play comes to a standstill or sooner if desired, you may choose any card from the Reserve and place it on the Foundation. Then you may continue. | Layout Cards | Only cards that are completely uncovered may be moved to the Foundation. | Reserve | 14 cards are dealt to the Reserve. Any one of these cards may be played onto the Foundation at any time even if the ranks do not follow the build rules. There are no redeals. | The more cards remaining in the Reserve when the game is won, the more points that are added to your score. For example, if you win the game and 5 cards remain in the Reserve, your score would be 52 + 5 = 57 points."
Golf Solitaire	https://www.solitairenetwork.com/solitaire/golf-solitaire-game.html	Tri-Peaks Games	Golf Solitaire Rules | Goal | Move all cards to the single Foundation pile by playing cards one higher or lower. | The Deal | Using one deck, 30 cards are dealt to the layout - five cards to each of the six Columns. The Foundation is dealt one card. The remaining cards form the Stock. | Foundation | The single foundation may be built UP or DOWN in ANY SUIT. For example, any 6 from a Column may be played on any 5 or any 7 on the Foundation. An Ace may be played on a King and a King may be placed on an Ace. | Stock | 21 cards remain in the Stock after the deal. Cards may be flipped one at a time from the Stock to the Foundation as desired. Usually, cards are flipped because no more plays are available. There are no redeals. | The more cards remaining in the Stock when the game is won, the more points added to your score. For example, if you win the game and 5 cards remain in the Stock, your score would be 52 + 5 = 57 points. | Columns | The topmost card in any Column is available for play to the Foundation. Card may not be moved among Columns. Empty Columns remain empty.
