source	name	slot_guess	mechanic
DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	The Headliner (Ace)	rank	Face-card rename; counts as high or low rank in runs (real solitaire ace rule).
DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	Harlequin pip	suit	Dual-suit pip: counts as two suits at once for scoring purposes.
DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	The Gaff	rank	Wild pip that displays a fixed rank/suit until scored, then reveals its true randomly-determined value.
DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	Half-step rank	rank	Rank of 5½ (etc.): stacks between 5 and 6 in a run but can never meld into a poker hand.
DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	The Fifteen	rank	Card also melds with any neighboring cards whose ranks sum to 15 (cribbage rule), as a rare pip ability rather than a default rule.
DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	Roman numeral rank	rank	Cosmetic rank skin; melds identically to a normal rank.
DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	The Blank	rank	No rank and no suit; stacks legally on anything and anything can stack on it; scores 0 points.
DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Canvas	type	Sturdy default material for circus-born cards; an upgrade tier above Paper.
DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Sawdust	type	When discarded, leaves a marker on its board slot; the next card placed there gets +points.
DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Rosin	type	Cards placed on it cannot be picked up again, but score +1 per ring depth when scored.
DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Tintype	type	On acquisition, permanently copies the pips of the card it was created from.
DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Lithograph	type	While in the Entrance (not the Ring), broadcasts its skill globally.
DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Glass	type	Scores double points, but is destroyed (shatters) after being scored 3 times.
DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Wax	type	Rank slowly decreases each show it shares a column with a Flame-suit card.
DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Ticket Stub	type	Consumed as currency at shops for a discount; worthless if brought into the Ring.
DESIGN_RECOMMENDATIONS.md §4 Types (materials)	Flash	type	Scores triple points, but only the first time it would ever score, once per show.
DESIGN_RECOMMENDATIONS.md §5 Stamps	Spangle	stamp	+1 combo whenever this card is part of any meld.
DESIGN_RECOMMENDATIONS.md §5 Stamps	Greasepaint	stamp	Card counts as a Clown (class) in addition to its own class.
DESIGN_RECOMMENDATIONS.md §5 Stamps	Top Billing	stamp	Card always scores first within its meld (controls trigger order).
DESIGN_RECOMMENDATIONS.md §5 Stamps	Understudy	stamp	If the card above it in the stack is destroyed or consumed, this card copies that card's skill.
DESIGN_RECOMMENDATIONS.md §5 Stamps	Lloyd's Policy	stamp	The first time this card would be destroyed or debuffed, prevent it.
DESIGN_RECOMMENDATIONS.md §5 Stamps	Ghost Light	stamp	Card does not block the Spotlight of cards beneath it.
DESIGN_RECOMMENDATIONS.md §5 Stamps	The Encore	stamp	If this card's skill triggered this show, 50% chance it triggers once more at show end.
DESIGN_RECOMMENDATIONS.md §5 Stamps	Contract Ink	stamp	+X points per show played; the card leaves the deck if benched two shows in a row.
DESIGN_RECOMMENDATIONS.md §5 Stamps	Brass Check	stamp	On trigger, mint a Gold card to the top of the deck.
DESIGN_RECOMMENDATIONS.md §6 Producer/Manager	The Egress	skill	Cue: send any card on the board straight to the discard pile, gain 1 Ticket Stub.
DESIGN_RECOMMENDATIONS.md §6 Producer/Manager	Humbug	skill	While covered, counts as a copy of the most valuable card in its row; when spotlit, reveals as junk (rank 2).
DESIGN_RECOMMENDATIONS.md §6 Producer/Manager	White Elephant	skill	Scores huge points, but each show it remains in the deck it eats 1 Gold card.
DESIGN_RECOMMENDATIONS.md §6 Producer/Manager	The Red Wagon	skill	While spotlit, all Gold cards in the deck count toward every column run as wildcards.
DESIGN_RECOMMENDATIONS.md §6 Producer/Manager	Pink Lemonade	skill	When a Flames card and a Concessions card score in the same row, gain a bonus and draw 1 card.
DESIGN_RECOMMENDATIONS.md §6 Magician	Metamorphosis	skill	Cue: swap this card with any card in the draw deck (seen or unseen).
DESIGN_RECOMMENDATIONS.md §6 Magician	The Bullet Catch	skill	Scores 10x rank when scored while in the Spotlight; 1-in-13 chance it is destroyed instead.
DESIGN_RECOMMENDATIONS.md §6 Magician	Sawing in Half	skill	Cue: split a card into two cards of half rank each (rounded up/down), same suit.
DESIGN_RECOMMENDATIONS.md §6 Magician	Misdirection	skill	While spotlit, the leftmost covered card in each adjacent column also becomes spotlit.
DESIGN_RECOMMENDATIONS.md §6 Clown	Clown Car	skill	On Next: draw an extra card into this card's column, +1 more per Clown card scored last submit.
DESIGN_RECOMMENDATIONS.md §6 Clown	Slapstick	skill	Cue: swap the ranks of this card and one adjacent card.
DESIGN_RECOMMENDATIONS.md §6 Clown	Custard Pie	skill	Throw (cue): target card's suit becomes Balls; if that completes a flush row, gain +mult.
DESIGN_RECOMMENDATIONS.md §6 Clown	Weary Willie	skill	Gains +1 rank permanently every time one of the player's cards is destroyed or a show is failed.
DESIGN_RECOMMENDATIONS.md §6 Acrobat	The Leotard	skill	Cue: move this card and everything stacked above it to any column, legal or not.
DESIGN_RECOMMENDATIONS.md §6 Acrobat	Blondin's Crossing	skill	Once per show: move an entire row one column left or right, wrapping around.
DESIGN_RECOMMENDATIONS.md §6 Acrobat	The Triple	skill	If this card ends a run of exactly 3 cards assembled this turn, score it 3x.
DESIGN_RECOMMENDATIONS.md §6 Acrobat	Human Cannonball	skill	Cue: fire the bottom card of any column to the top of another column.
DESIGN_RECOMMENDATIONS.md §6 Animal Trainer	Jumbo	skill	Heavy: cards cannot be placed on it, but it can be placed on anything; +points per card beneath it when scored.
DESIGN_RECOMMENDATIONS.md §6 Animal Trainer	Flea Circus	skill	Scores as if it were 5 cards of rank 1, for combo-counting purposes.
DESIGN_RECOMMENDATIONS.md §6 Animal Trainer	Liberty Horses	skill	On Next, all Animal-tagged cards in the Entrance rearrange themselves into ascending order.
DESIGN_RECOMMENDATIONS.md §6 Animal Trainer	Mabel's Tigers	skill	Consumes the card it's dropped on (like Gluttony) but only prop cards; +rank per meal.
DESIGN_RECOMMENDATIONS.md §6 Escape Artist/Stuntsman	Straitjacket	skill	Starts each show unable to be moved; frees itself and gains +points when its column scores.
DESIGN_RECOMMENDATIONS.md §6 Escape Artist/Stuntsman	Milk Can	skill	Cue: place a card inside; it leaves play; retrieve it any later turn.
DESIGN_RECOMMENDATIONS.md §6 Escape Artist/Stuntsman	Wall of Death	skill	Adjacent columns score +mult, but cards there take 1 Exhaust debuff per show.
DESIGN_RECOMMENDATIONS.md §6 Escape Artist/Stuntsman	The Séance Buster	skill	Reveals all Gaff/Humbug/fake cards on the board; +points per fake revealed.
DESIGN_RECOMMENDATIONS.md §6 Fortune Teller	The Tarot Reading	skill	Cue: look at the top 5 cards of the deck and reorder them.
DESIGN_RECOMMENDATIONS.md §6 Fortune Teller	Madame Zora's Eye	skill	The next-drawn card is always visible above the deck slot.
DESIGN_RECOMMENDATIONS.md §6 Fortune Teller	The Major Arcana	consumable	22 unique one-shot consumables, e.g. The Tower destroys a column, The Wheel rerolls a row's ranks, The Hanged Man flips a stack's order.
DESIGN_RECOMMENDATIONS.md §6 Special Effects	Calliope	skill	+combo for every different class that scored this submit.
DESIGN_RECOMMENDATIONS.md §6 Special Effects	Grand Spec	skill	If all columns scored this submit, double the show's combo.
DESIGN_RECOMMENDATIONS.md §6 Special Effects	Drumroll	skill	The last meld scored this submit gets +mult.
DESIGN_RECOMMENDATIONS.md §6 Concessions	Fairy Floss	skill	When scored, adjacent cards gain +1 rank for this show.
DESIGN_RECOMMENDATIONS.md §6 Concessions	The Grease Joint	skill	At show start, feed the bottom card of the deck to the discard, then draw 1.
DESIGN_RECOMMENDATIONS.md §6 Concessions	Peanut Pitch	skill	Cue (3 charges): add points to any one card, thrown from anywhere.
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Equestrian (Astley)	type	Melds scored in the First Ring (first 5x5) get +mult.
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Showman (Barnum)	type	Shops offer 1 extra card; all Gaff/Humbug cards cost nothing.
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Escapologist (Houdini)	type	The free undo becomes 2 per turn; debuffs expire 1 show sooner.
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Joey (Grimaldi, leader)	type	Once per turn, free use of Slapstick (swap adjacent ranks).
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Aerialist (Leitzel)	type	Re-scores the topmost meld once per submit; is destroyed if her column ever fails to score.
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Tiger Queen (Stark)	type	Consumption effects have no cap.
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Sibyl (Zora)	type	Top of deck is always revealed; the first reroll each shop is free.
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Cannon King (Zacchini)	type	Fireworks-suit cards may score from the Entrance.
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Sweet Tooth (Morrison)	type	All +rank buffs are permanent instead of lasting only one show.
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Costumier	type	Cards may hold 2 stamps instead of 1.
DESIGN_RECOMMENDATIONS.md §7 Leaders	The Sharpshooter (Oakley)	type	Exact-rank effect: choose a rank each show; that rank scores double.
DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	Hey Rube! (boss)	boss	Each submit, the rightmost column is attacked: cards there are debuffed unless guarded by a Stuntsman/Strongman card.
DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	Blowdown (weather boss)	boss	At show start and on each Next, a random Entrance card is discarded.
DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	Mud Show	boss	Picking up any stack costs 1 discard.
DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	The Fire Marshal	boss	Flames-suit cards cannot score; Flames cards in the deck become Wax.
DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	Temperance Town	boss	Concessions class disabled; shop prices doubled.
DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	John Robinson (elite)	boss	Shortened show: 2 submits instead of 3.
DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	Lot Lice	boss	The first submit each show scores 0 fame.
DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	The Rival Show (recurring boss)	boss	Goal score is pre-raised, but beating it steals one of the rival's cards.
DESIGN_RECOMMENDATIONS.md §8 Towns, Bosses & Hazards	Railroad Jump (route hazard)	boss	Traveling a long map edge costs a card from the deck (left behind on the platform).
DESIGN_RECOMMENDATIONS.md §8 Map-layer systems	The Route Book	rule	Pre-run planning UI where the player traces an intended path; deviating from it costs fame.
DESIGN_RECOMMENDATIONS.md §8 Map-layer systems	The Advance Man	consumable	Map consumable/skill that reveals fog-of-war nodes ahead of the player.
DESIGN_RECOMMENDATIONS.md §8 Map-layer systems	Paper the House	consumable	Auto-passes a town's fame check but grants 0 tips.
DESIGN_RECOMMENDATIONS.md §8 Map-layer systems	Straw House	unknown	When tips exceed X, the next node's offers get +1 rarity.
DESIGN_RECOMMENDATIONS.md §8 Map-layer systems	Winter Quarters	unknown	Named meta-hub where prestige currency is spent between runs to prepare the next season.
DESIGN_RECOMMENDATIONS.md §9 Events	The White Elephant War	unknown	A rival offers a White Elephant card (huge points, drains gold); refusing makes the next Rival Show boss harder.
DESIGN_RECOMMENDATIONS.md §9 Events	The Egress (event)	unknown	Following a mysterious sign skips the node entirely, with no reward and no risk.
DESIGN_RECOMMENDATIONS.md §9 Events	First of May	unknown	A rookie joins: gain a random Common card with a hidden growth condition that upgrades it after scoring 10 times.
DESIGN_RECOMMENDATIONS.md §9 Events	Cutting Up Jackpots	unknown	Reroll any one card in the deck into another card of the same class.
DESIGN_RECOMMENDATIONS.md §9 Events	Cherry Pie	unknown	Take a debuff card for this show in exchange for gold cards.
DESIGN_RECOMMENDATIONS.md §9 Events	The Museum of Humbugs	unknown	Buy a cheap Gaff card that has a small chance of secretly being a Legendary.
DESIGN_RECOMMENDATIONS.md §9 Events	Séance Night	unknown	Pick the Gaff out of 3 face-down cards for a reward.
DESIGN_RECOMMENDATIONS.md §9 Events	The Pie Car	unknown	Rest node: heal one debuff, or gamble at a rigged Three-Card Monte for a tiny chance of a big win.
DESIGN_RECOMMENDATIONS.md §10 Secrets & Mysteries	The Erdnase Cipher	unknown	A card-author signature appears on random cards across many runs; collecting/scoring all of them unlocks an unexplained reward.
DESIGN_RECOMMENDATIONS.md §10 Secrets & Mysteries	The 42-Foot Ring	unknown	A secret meld triggers when a row's and column's scores total exactly 42.
DESIGN_RECOMMENDATIONS.md §10 Secrets & Mysteries	The Three Rings	unknown	Score three separate 5-card rings (rows) in one submit to permanently unlock a third zone rule card.
DESIGN_RECOMMENDATIONS.md §10 Secrets & Mysteries	Sword Swallower	unknown	A column that forms one perfect descending run from deck-to-floor triggers a secret meld.
DESIGN_RECOMMENDATIONS.md §10 Secrets & Mysteries	The Ghost Show	unknown	After real-world midnight, one secret card can only be found in the menu.
DESIGN_DOC.md §2 Core Game Loop v1	Deck-click drops loop	rule	Every click of the deck drops new cards down; a limited number of clicks/rounds are allowed per match.
DESIGN_DOC.md §2 Core Game Loop v1	Score slots	rule	Score slots on the right score whatever is placed on them and double as free spaces between deck clicks.
DESIGN_DOC.md §2 Core Game Loop v1	Incoming card mulligan	rule	Incoming cards can be mulliganed via a click + discard button before dropping.
DESIGN_DOC.md §2 Core Game Loop v1	Incoming card rearrange	rule	Incoming cards can be rearranged before they drop into play.
DESIGN_DOC.md §2 Core Game Loop v2 (latest)	Whole-board submit	rule	Player continuously draws to build the board; pressing Submit evaluates and scores the entire board state, then clears it, with Entrance cards dropping down to seed the next board.
DESIGN_DOC.md §2 Core Game Loop v2 (latest)	Cards enter only via drop	rule	Cards enter play by dropping automatically from the input row; they cannot be dragged down manually.
DESIGN_DOC.md §2 Core Game Loop refinements	3 submits per match	rule	A match consists of 3 submits ('acts'); winning/losing is decided after the 3rd.
DESIGN_DOC.md §2 Core Game Loop refinements	Per-act score multiplier	rule	Each act (or only the final act) could carry an increasing score multiplier.
DESIGN_DOC.md §2 Core Game Loop refinements	Live undo during resolution	rule	Pressing Undo during a resolving act cancels it: the resolution fast-forwards and the pre-act board state restores, with no act consumed.
DESIGN_DOC.md §2 Core Game Loop refinements	Undo at outcome screen	rule	Pressing Undo at the win/lose screen dismisses the outcome and rewinds the final Submit.
DESIGN_DOC.md §2 Core Game Loop refinements	Fame banks at Continue	rule	Fame is only committed when the player presses Continue after a win, not at the outcome screen itself, so a win stays undoable until then.
DESIGN_DOC.md §2 Core Game Loop	Deck influences ruleset	unknown	Different starting decks influence both the card pool and the rules the player plays under, via the rule deck.
DESIGN_DOC.md §2 Core Game Loop	Combine and pick up decks	unknown	Early undeveloped idea to combine and pick up multiple decks.
DESIGN_DOC.md §3 Board & Zones	5-column board	rule	Board is 5 columns wide so a full row forms a 5-card poker hand.
DESIGN_DOC.md §3 Board & Zones	Two-zone board (Entrance/Ring)	rule	Board has an upper zone (Grand Entrance, where drawn cards wait) and a lower zone (The Ring, where the board is built).
DESIGN_DOC.md §3 Board & Zones	Column count via rule cards	rule	Column count is not hardcoded: rule cards (input/zone adders) each add one column at game creation, so effects can add or remove columns.
DESIGN_DOC.md §3 Board & Zones	Duplicate rule card identifiers	rule	Duplicate rule cards (e.g. multiple zone adders) use their rank as an identifier.
DESIGN_DOC.md §3 Board & Zones	Null cards	type	Null cards take up space on the board and are highlighted when selected so hovering over null space reads clearly.
DESIGN_DOC.md §4 Stacking & Movement Rules	Illegal stack submission spot	rule	Early rule: an illegal stack could only be placed on the submission spot (removed with the loop v2 rewrite).
DESIGN_DOC.md §4 Stacking & Movement Rules	Only legal stacks liftable	rule	Only legal stacks can be picked up at all, making moving stacks harder as the run progresses.
DESIGN_DOC.md §4 Stacking & Movement Rules	Default stack legality	rule	A legal stack is an ascending or descending run; same-suit cards cannot stack.
DESIGN_DOC.md §4 Stacking & Movement Rules	Modifier-driven grab/place legality	rule	Stacking legality is decided by a resolver pass: all cards' allow/deny effects are gathered into a whitelist and blacklist, with the blacklist winning over the whitelist.
DESIGN_DOC.md §4 Stacking & Movement Rules	Universal placement ability	skill	A card ability lets any card be placed on top of it, overriding default stacking legality.
DESIGN_DOC.md §4 Stacking & Movement Rules	Movement-resistant cards	type	Cards that resist being moved once placed.
DESIGN_DOC.md §4 Stacking & Movement Rules	Elemental custom movement	type	Elemental card types with custom movement rules, such as always sitting on top or bottom of a stack.
DESIGN_DOC.md §5 Scoring v1 (cribbage)	Cribbage-style scoring	rule	Face cards all count as 10; 2 points per 15-sum, 2 points per 31-sum, 2 for a pair, 6 for a triple, 12 for a quad, 3-7 points for runs of 3-7 cards.
DESIGN_DOC.md §5 Scoring v2 (dual-axis, latest)	Dual-axis base scoring	rule	Base scoring combines vertical runs (with a minimum size) per column with horizontal poker hands per row.
DESIGN_DOC.md §5 Scoring v2 (dual-axis, latest)	Row-then-column evaluation order	rule	Evaluation proceeds top-down: poker hands are scored first, with each column's run calculated simultaneously as that row resolves; refined to score all rows first, then all lanes simultaneously at that row.
DESIGN_DOC.md §5 Scoring v2 (dual-axis, latest)	Row x column aggregation	rule	All vertical (column) scores are multiplied together with all horizontal (row) scores at the end of a submit.
DESIGN_DOC.md §5 Scoring v2 (dual-axis, latest)	Axis-distinguishing score display	rule	Score display distinguishes axes: '-2-' denotes row points, '|1|' denotes column points.
DESIGN_DOC.md §5 Scoring v2 (dual-axis, latest)	Only first poker hand scores	rule	Only the first (best) scored poker hand on a row actually scores; later poker hands on the same line are ignored.
DESIGN_DOC.md §5 Scoring v2 (dual-axis, latest)	Scan deck/discard for scoring	rule	Open idea: scoring could also scan the draw deck and discard pile, not just the board.
DESIGN_DOC.md §5 Scoring	Performance Rings (origin)	rule	Every 5 rows scored increases points 'by layer' / turns the row red — the seed idea that became Performance Rings.
DESIGN_DOC.md §5 Scoring v3 (combo, shipped)	Combo payout formula	rule	Act payout = row-score x column-score x combo, where combo = 1 + 0.1 x U, and U = number of distinct combo classes (archetype+size+copies) scored this act.
DESIGN_DOC.md §5 Scoring v3 (combo, unbuilt)	Damage/antagonist reframing	rule	Points are reframed as damage dealt against an antagonist, Slay-the-Spire/TCG style, with row and column scorers becoming a combo system.
DESIGN_DOC.md §5 Scoring v3 (combo)	Combo per unique effect	rule	Combo increments by 1 for each unique effect triggered; flat points come from card effects ('cards are ammo'), multiplied by row-combo and col-combo.
DESIGN_DOC.md §5 Scoring v3 (combo)	Uniqueness multiplier	rule	A separate early idea: a multiplier that grows with every unique effect triggered during a submit.
DESIGN_DOC.md §5 Scoring (circus framing)	Fame/tips framing	rule	Scoring represents exciting the audience; cheering audio scales with score; overscoring pays out tips; the required score is the fame the show must earn.
DESIGN_DOC.md §5 Scoring	Performance Rings	rule	Score zones by board depth: the First Ring (rows 1-5) scores at 1x, rows 6-10 at 2x, rows 11-15 at 3x, and so on, enabling effects keyed to reaching outer rings.
DESIGN_DOC.md §5 Scoring	Trigger order	rule	Card effects trigger in order: field effects first, then the deck top-down, then the board left-to-right/top-to-bottom (including the input row), then the discard pile top-down.
DESIGN_DOC.md §5 Scoring	BigNumber class	rule	An infinite/arbitrary-precision number class is used so scores can grow unboundedly large.
DESIGN_DOC.md §5 Scoring	Yu-Gi-Oh number scaling	rule	Base scoring values should be rebalanced upward so numbers are never single digits and always feel big.
DESIGN_DOC.md §5 Scoring	Avalanche	skill	After scoring, all cards on the board 'attack the scoreboard,' reducing the goal score by the number of cards on the board.
DESIGN_DOC.md §6 Card Anatomy & Pips	Card anatomy contract	rule	Every card has a suit, a rank, a stamp slot, a skill slot, and a card type; cards can have 1 parent and 1 child (a stack).
DESIGN_DOC.md §6 Card Anatomy & Pips	Board/deck contract	rule	The game has a board with 2 zones, a draw deck, a discard deck, and a hidden rule-set deck, which is parsed at game creation to decide board layout.
DESIGN_DOC.md §6 Card Anatomy & Pips	UI-manipulation win con	unknown	Shelved idea: an alt win condition based on manipulating the scoring UI itself (duplicate-or-remove), with no good design found.
DESIGN_DOC.md §6 Card Anatomy & Pips	Stamp as diegetic hat/equipment	stamp	Stamps could be reflavored as an equippable hat or other equipment (shoes, costume), tying into a Costume Designer class.
DESIGN_DOC.md §6 Card Anatomy & Pips	Pip comparator resolver	rule	A pip resolver/comparator class governs all rank/suit comparisons; card mods are asked first (on_compare_ranks/suits) with numeric fallback.
DESIGN_DOC.md §6 Card Anatomy & Pips	Pip-registered scoring methods	rule	Each pip class can register its own static scoring methods as defaults for that pip; pip effects are permanently active, unlike skills.
DESIGN_DOC.md §6 Card Anatomy & Pips	Wild pip	suit	A wild pip class tracks the previous pip inside itself, e.g. randomly choosing from pips present on the board/row/column, updating on every board change with cycling visuals.
DESIGN_DOC.md §6 Card Anatomy & Pips	Status array	rule	CardData carries a status dictionary (effect name -> value) processed by rule cards per effect, as the general mechanism for debuffs.
DESIGN_DOC.md §6 Card Anatomy & Pips	Deterministic own RNG	rule	The engine implements its own RNG with seed offsets that are themselves randomized per-seed, so everything stays deterministic.
DESIGN_DOC.md §7 Spotlight System	All-revealed-trigger (earliest)	rule	Earliest rule: all revealed cards perform their abilities unconditionally.
DESIGN_DOC.md §7 Spotlight System	Visible-to-trigger + hidden-trigger stamp	stamp	Abilities must be visible to trigger by default; a stamp lets a card trigger even while hidden/covered; deck triggers surface visually on the deck slot as they fire.
DESIGN_DOC.md §7 Spotlight System (latest)	Spotlight rebrand	rule	Active state is rebranded Spotlight/Focus: a card is 'in the spotlight' when unblocked/topmost; card text gets an icon marking which effects need spotlight and which don't.
DESIGN_DOC.md §7 Spotlight System (implemented)	StampRevealing	stamp	Card's modifiers remain active even while covered (not topmost).
DESIGN_DOC.md §7 Spotlight System (implemented)	StampGlobal	stamp	Card's modifiers are active from anywhere, including inside decks.
DESIGN_DOC.md §7 Spotlight System	Peek-over presentation	skill	Cards with skills idly move and peek over the card blocking them; blocked active cards shift the row below to show at least their upper art half.
DESIGN_DOC.md §7 Spotlight System	Literal spotlight beam	unknown	Triggering cards get a literal spotlight beam instead of a generic glow; the whole screen may dim during submit.
DESIGN_DOC.md §7 Spotlight System	Eye stamp mini-art	stamp	The hidden-trigger (eye) stamp shows a miniature of the card's skill art inside the stamp icon.
DESIGN_DOC.md §7 Spotlight System	Show-all-active toggle	rule	A half-open-eye QOL toggle pushes stacks apart so every spotlit card is fully visible; disabled while holding a stack.
DESIGN_DOC.md §7 Spotlight System	Compress board toggle	rule	A QOL 'compress board' view strips card art to pips plus ability names (dim when inactive), turning a stack into a stiff column when picked up.
DESIGN_DOC.md §8 Rule Deck	Hidden Rules Deck	rule	A normally-hidden Rules Deck holds cards that define the default ruleset (stacking, scoring, input/zone counts, draw-on-Next); changing the ruleset means changing cards in this deck.
DESIGN_DOC.md §8 Rule Deck	Player-editable rule deck	unknown	Metagame idea: the player can modify the ruleset deck during a run by adding or removing default cards.
DESIGN_DOC.md §8 Rule Deck	Boss effects as temporary rule cards	boss	Boss/negative effects are implemented as temporary cards added to the rules deck, defined to self-destroy after the game/show ends.
DESIGN_DOC.md §8 Rule Deck	Voucher effects in main deck	consumable	Voucher-type effects (player-side) go in the main deck instead of the rule deck.
DESIGN_DOC.md §8 Rule Deck	Label/Evident card	skill	A card announces its rule-deck effect on the board while the rule deck itself stays hidden ('Baba Is You' visibility trick).
DESIGN_DOC.md §8 Rule Deck	Rule cards get random pips	rule	Rule cards are given a random suit and rank in case a player ever extracts one into normal play.
DESIGN_DOC.md §8 Rule Deck	Rule cards as a type	type	Rule cards are not special: they are a card type whose skill is 'always global spotlight'; other types can define 'return to deck X when Y.'
DESIGN_DOC.md §8 Rule Deck	Universal deck resolves last	rule	The Universal (rule) deck is probably applied last in all modifier resolution order.
DESIGN_DOC.md §8 Rule Deck (implemented)	TypeInput	type	On turn start, passes its held child cards to the paired lower column, then takes a random card from the deck.
DESIGN_DOC.md §8 Rule Deck	Viewable game laws	unknown	Game laws are viewable as plain text via a greyed-out '?' button before the player has unlocked the rule deck itself, needed to explain prop-card abilities.
DESIGN_DOC.md §8 Rule Deck	Eye of God true vision	unknown	A prestige unlock grants 'true vision': seeing all decks (including the rule deck) and true card descriptions.
DESIGN_DOC.md §8 Rule Deck	Rules-in-hand deck variant	unknown	A deck variant where the rule deck is empty and all rules are shuffled into and drawn from the main deck.
DESIGN_DOC.md §8 Rule Deck	Per-scenario rule decks	rule	Game rules determine what Next and Submit do; different scenarios swap in different rule decks, and edits during a run are permanent for that run.
DESIGN_DOC.md §8 Rule Deck (rejected)	Per-level rule deck	rule	Rejected: replacing the rule deck with a per-level deck, since score goals live outside the rule deck and building UI from it is scope creep.
DESIGN_DOC.md §8 Rule Deck	Force-trigger via stacking	skill	A card that force-triggers a linked on-trigger card whenever it is tapped via stacking; judged probably too hard to implement well.
DESIGN_DOC.md §8 Rule Deck (vetoed)	Custom rule deck pack	unknown	Vetoed: an unlock letting players build fully custom rule decks, up to re-implementing default solitaire — rejected as scope creep.
DESIGN_DOC.md §8 Rule Deck (vetoed)	Every deck as its own solitaire board	unknown	Vetoed: making every deck (draw/discard/rule) itself a playable solitaire board with no layout control, leading to unsolvable boards.
