source	name	slot_guess	mechanic
gam draft.txt:446	Animal trainer leader archetype	skill	Animal trainer leader archetype: focuses on stacking, including eating cards and cards auto-moving through the field.
gam draft.txt:447	Clowns leader archetype	skill	Clowns leader archetype: focuses on pip manipulation.
gam draft.txt:448	Dancer leader archetype	skill	Dancer/skill-tricks leader archetype: focuses on specific formations.
gam draft.txt:449	Escape artist leader archetype	skill	Escape artist/stuntsman leader archetype: focuses on negative effects.
gam draft.txt:450	Fortune teller leader archetype	skill	Fortune teller leader archetype: focuses on deck manipulation.
gam draft.txt:451	Special effects leader archetype	skill	Special-effects (fireworks) leader archetype: focuses on points/combo manipulation.
gam draft.txt:452	Concessions leader archetype	skill	Concessions/food leader archetype: focuses on positive effects.
gam draft.txt:453	Costume designer leader archetype	skill	Costume designer leader archetype: focuses on equipment/clothing/stamp slots.
gam draft.txt:454	Producer/manager leader archetype	skill	Producer/manager leader archetype: focuses on token cards like gold-money cards and basic cards.
gam draft.txt:457	Card groups boosted by leaders	skill	Cards belong to groups, and leader cards can boost the members of their group.
gam draft.txt:464	First-act type	type	First-act card type shows up alone before any other cards.
gam draft.txt:465	Second-act type	type	Second-act card type shows up alone after half the deck is drawn.
gam draft.txt:466	Final-act type	type	Final-act card type shows up alone after all other cards are drawn.
gam draft.txt:469	Presentation-stage preview	view	Preview area is themed as a presentation stage where text scrolls but the card itself does not.
gam draft.txt:478	Carnival meta shop	map	The overall meta shop is themed as a carnival.
gam draft.txt:481	Basic suit props sweep board	suit	Scored basic (non-skill) cards summon rank-scaled prop objects in their row/column that move across the board and interact with other cards.
gam draft.txt:482	Suit-specific prop movement	suit	Knives and hoops move horizontally across their scored row; balls and fire drop down their column.
gam draft.txt:483	Prop-hits-target mult gain	suit	Gain mult when a hoop passes through an animal/acrobat card, a knife misses a stuntsman, or a ball hits a juggler/animal; fire buffs cards it passes through.
gam draft.txt:484	Firework suit column score	suit	Firework suit directly adds points to its column based on its rank.
gam draft.txt:485	Balanced prop targeting rules	suit	Alt balance: knives hit non-skill cards and hoops hit skill cards; balls buff skill cards and fire buffs non-skill cards, spreading buffs as evenly across the column as possible.
gam draft.txt:490	Electric suit chain buff	suit	Electric suit buffs cards that are connected and chained together in a certain way.
gam draft.txt:498	Prop cards defined as feat-less	rule	Cards without feats (skills) are classified as 'prop' cards.
gam draft.txt:501	Metashop odds vs required score	meta	Spending points in the meta-shop to manipulate overall card odds also increases the score required per show.
gam draft.txt:507	Hard cap on flush win-con plays	rule	Alt win condition idea: win via 1 flush, but a hard cap exists on total flushes ever playable so it cannot be repeated infinitely.
gam draft.txt:510	Town-specific hazards	boss	Different towns present different hazards; e.g. performing at a volcano might cause lava hazards.
gam draft.txt:511	Suit-nerfing towns	boss	Certain towns don't score certain suits at all, e.g. 'knifetown' gives no points for knife scoring, similarly firetown/juggletown/hooptown.
gam draft.txt:515	+1 reroll, no-repeat rerolls	skill	Add +1 reroll per game; for the rest of the game, repeated reroll actions do not give the same results.
gam draft.txt:516	Permanently-active toggle	stamp	Once activated, an effect stays active for the rest of the game and can no longer be toggled off.
gam draft.txt:519	Spotlight/focus rename	rule	'Active' is rebranded as Spotlight/Focus: cards that are unblocked (uncovered) are in the spotlight.
gam draft.txt:534	Double-everything deck	map	Double-everything deck variant: ranks are doubled (doubling deck size), initial slots doubled, score requirement doubled, and card packs doubled.
gam draft.txt:537	Slot-machine pack opening	view	Card pack opening could show all possible cards from the pack cycling in the background slot-machine style, though the result is fixed by seed.
gam draft.txt:543	Custom deck as final deck	meta	A player-built custom deck can serve as the final/endgame deck.
gam draft.txt:552	Mana cards instead of mana bar	rule	Instead of a mana bar, use mana cards similar to MTG; any card can serve as a resource.
gam draft.txt:555	Mystery Box card	skill	Mystery Box: at game start, this card becomes a random skill.
gam draft.txt:556	Pandora Box card	skill	Pandora Box: at game start becomes a random skill; at game end resets back to Pandora Box.
gam draft.txt:557	Utter Chaos card	skill	Utter Chaos: becomes a random skill on every 'next' action.
gam draft.txt:560	Final act score multiplier	rule	The final act gets an extra points multiplier, or each act gets an increasing multiplier.
gam draft.txt:563	Card debuff statuses	skill	Debuff status effects on cards: e.g. Exhausted (loses rank at round end if it was on board), plus proposed Cancer and Parasites statuses.
gam draft.txt:564	Reward fast/lean wins	skill	Reward winning fast or with fewer cards via card effects, e.g. extra gold cards for winning faster, or buffs to cards remaining in the deck.
gam draft.txt:565	Cheat Day card	skill	Cheat Day: cards remaining in the deck get a rank increase.
gam draft.txt:568	Common-doubles-rare chain	skill	Common card: doubles the chance of rares appearing.
gam draft.txt:569	Rare-doubles-epic chain	skill	Rare card: doubles the chance of epics appearing.
gam draft.txt:570	Epic-doubles-legendary chain	skill	Epic card: doubles the chance of legendaries appearing.
gam draft.txt:576	Rule cards always globally spotlit	rule	Rule cards are a special card type whose top skill is always globally in the spotlight (active), making them not special from normal deck mechanics otherwise.
gam draft.txt:583	Cross-game score carryover	meta	Scoring done outside the main game (side content) carries over into the next game.
gam draft.txt:586	Rules deck defines next/submit behavior	rule	Game rules (via the rules deck) determine what the Next and Submit buttons do; different rules decks per scenario, permanently changeable during a run.
gam draft.txt:589	Genie wish card	consumable	Genie: make a wish by choosing a card to create a copy of in hand.
gam draft.txt:596	Storyteller point carryover	skill	Storyteller: preserves some points for the next game.
gam draft.txt:602	Retirement requires ability activation	rule	Cards cannot retire (leave play) until scored or until an ability is activated on them; with no ability, there is no retirement condition.
gam draft.txt:605	Shared charge system	rule	All charge-based effects share the same charge system, so anything with charges can gain more or less charge from different sources.
gam draft.txt:606	Acrobatic tap-or-carryover charge	skill	Acrobatic card has 1 charge triggerable by tap; if unused, the charge carries to the next round.
gam draft.txt:609	Mulligan-style card packs	consumable	Card packs where, instead of choosing cards directly, the player mulligans (rerolls) the pack's results arena-style, with an increasable mulligan count.
gam draft.txt:612	Mulligan entrance via tap	skill	Card effect that allows mulliganing entrance cards when tapped.
gam draft.txt:613	Upgraded pack results with stamps	meta	Pack mulligan results can have a chance to be upgraded, including bonus types and stamps.
gam draft.txt:617	Map high-rarity loose cards	map	The map can sometimes place single high-rarity cards lying around instead of the usual card pack.
gam draft.txt:620	Encounters as mini solitaire games	map	Map encounters could be mini solitaire games in their own right.
gam draft.txt:623	Move-resistant cards	skill	Some cards can resist being moved.
gam draft.txt:629	HONK card	skill	HONK: on tap, makes a honk noise; unlimited uses.
gam draft.txt:632	Secret melds via add-to-deck effects	rule	Secret melds to discover, implemented as cards with hidden on-add-to-deck effects that add new scoring rules.
gam draft.txt:635	Disaster card packs	boss	Disaster-themed card packs appear as choices on the board.
gam draft.txt:641	Biome-based world/act map	map	Game runs on a level/act/world system (One Step From Eden style) traveling through biomes that each affect map generation differently.
gam draft.txt:642	Fame gate every 10 levels	meta	Every 10 levels, the player must have a certain fame level to progress to the next stage.
gam draft.txt:643	Fog of war on tour map	map	Tour theme with fog of war reducing visibility of further map choices.
gam draft.txt:644	Show-must-go-on weather hazards	boss	Negative weather effects are thematized as 'the show must go on'.
gam draft.txt:645	Constellation tour map, no backtrack	map	FTL-style constellation map: cannot backtrack, touring cities to build fame, with environmental hazards and surprise weather.
gam draft.txt:646	Player plans tour route length	map	Players plan their tour route ahead of time, starting with small tours and unlocking longer routes through more cities as they finish tours.
gam draft.txt:650	In-run temporary prestige events	meta	Events can grant temporary prestige points to allocate mid-run instead of only pre-game.
gam draft.txt:653	Action-triggered negative events	map	Events triggered by player actions, e.g. sacrificing too many talent cards causes a union strike, or having too many cards triggers a tax-evasion penalty losing basic cards.
gam draft.txt:654	Mini-game events with puzzle win-con	map	Some events are mini-games where score is not the goal but an alternate puzzle win condition, e.g. trigger an effect 5 times to win.
gam draft.txt:657	World tour fame ramp	map	World tour: build fame across cities before reaching the final city; exceeding a city's score requirement raises the requirement for the next city.
gam draft.txt:658	Fame improves card rarity odds	meta	Odds of better-rarity cards increase with total fame.
gam draft.txt:659	Endless mode after final city	meta	Finishing the final city unlocks an endless mode that repeats the final city with guaranteed repeating choices until the player loses.
gam draft.txt:660	Circular map / return-to-start	map	Alt map shape ideas: circle the map instead of a final city, or require returning to the start after reaching a big enough city.
gam draft.txt:663	Maximum Effort/Exhaust stamp	stamp	Maximum Effort/Exhaust: doubles points (or gives flat points) from this card on score, but only refreshes if the card is not played/scored again on the next show.
gam draft.txt:666	High-score gated progress	meta	Progress is gated behind reaching certain high scores that require luck or complex card play; more complex cards award more points, pushing players toward dynamic decks.
gam draft.txt:672	Repeatable entrance discard gambling	rule	Repeatedly discard entrance cards until satisfied, then commit them to drop; starts with 1 discard per turn (possibly a joker effect), allowing gambling for a better entrance hand.
gam draft.txt:680	Forbidden click-to-stack solitaire event	map	A forbidden solitaire variant where you just click cards to stack them into your hand, possibly used for events.
gam draft.txt:686	Rank as duplicate rule-card identifier	rule	Duplicate rule cards during creation use their rank as an identifier, e.g. zone-adder 1 has rank 1, zone-adder 5 has rank 5.
gam draft.txt:689	1 free undo per turn	rule	1 free undo per turn is baked in by default and does not carry over between turns.
gam draft.txt:695	Bribery/memory-wipe extra life	consumable	Bribery/Memory Wipe card: grants an extra life if a city/show is failed, letting the player keep going as if they had won.
gam draft.txt:698	Map node preview before travel	map	Clicking a map node shows a preview plus a separate button to actually travel to it.
gam draft.txt:710	Hype mechanic doubles fame requirement	meta	Hype mechanic: choose to double the fame required to defeat the next show in exchange for better goodie odds.
gam draft.txt:714	Presentation card ascending order mult	skill	Presentation card: moving cards into ascending order gives multiplier points.
gam draft.txt:717	Guaranteed card in pack preview	map	Card packs show at least 1 guaranteed card from the pack in the map preview.
gam draft.txt:721	Branching escalating-difficulty paths	map	Branching map paths with escalating difficulty; split roguelike map campaigns from Klondike-like preset puzzle levels; battle levels use a preset board plus the player's own unlocked deck.
gam draft.txt:725	Pawn chess card	skill	Pawn: if stacked on the card above it, swaps places (moves up), or two above if bottommost; if stacked diagonally upward, replaces (captures) that card, discarding it.
gam draft.txt:726	Other chess-piece cards	skill	Other chess-piece cards can stack anywhere permitted by that piece's chess movement, discarding and taking the place of the card they land on.
gam draft.txt:727	King chess card	skill	King: moves like a chess king, never captures (only swaps with adjacent cards), auto-moves out of check from another chess card on any action, and is worth a ton of points if captured by a chess card.
gam draft.txt:730	Freakshow off-rank cards	rank	Freakshow-class cards do not have normal rank numbers.
gam draft.txt:733	Digital card cannot be discarded	stamp	Digital card type: cannot be discarded from the board.
gam draft.txt:736	Audience patience meter	rule	Audience patience system: moving cards drops patience, triggering unique effects delays the drop, and cards auto-drop when patience hits 0.
gam draft.txt:737	Clown set bonus raises patience	skill	Each unique clown card on board raises patience by 1; collecting all of them gives a set bonus chance to not consume patience.
gam draft.txt:1020	Pickpocket card	skill	Pickpocket: adds an extra card to the deck if this card is never scored.
gam draft.txt:1024	Diversity-based scoring instead of combo	rule	Idea of scoring 'diversity' (variety of suits/types on board) as an alternative axis to the combo system.
gam draft.txt:1028	Injury stacking status	skill	Injury stacking status effect: each injury stack increases the chance a card is permanently removed/retired.
gam draft.txt:1029	Applause scales with score	rule	Applause/cheer feedback gets more impactful the higher an individual score is.
gam draft.txt:1049	Quest-chain triggered stage acts	meta	Story/quest acts are performed by triggering specific effects in a specific order, with the next quest section unlocking only after the previous one completes.
gam draft.txt:1054	Carrier-stacking bonus points	skill	Talents doing tricks on top of other 'carrier' talent cards earn extra points.
gam draft.txt:1115	Risk/reward doubled-points tricks	skill	Higher-tier tricks give better rewards but higher fail chance; players can manage risk with risk-lowering cards, or opt into doubled points for doubled risk.
gam draft.txt:1137	Clowns as wildcard/joker stand-ins	skill	Clowns can stand in for other cards, similar to a joker/wildcard, reflecting how circus clowns spoofed other acts.
gam draft.txt:1168	Fun-house-mirror effect modifiers	skill	Fun-house mirrors: skills that modify nearby effects in some way.
gam draft.txt:1174	Per-act injury chance	rule	Each act/trigger has a chance of creating an injury stack; injury stacks increase the chance of permanent retirement/death.
gam draft.txt:1175	Injury clears if unused	rule	An injury stack is lost if the card goes through an act without performing.
gam draft.txt:1176	Net card lowers retirement, raises injury	skill	Net card: increases chance of injury but lowers chance of retirement.
gam draft.txt:1177	Crit chance to increase score	rule	A chance to crit, increasing score.
gam draft.txt:1180	5 starting suits	rule	Starting with 5 suits instead of 4 is more balanced: makes flushes harder and allows an anti-flush hand.
gam draft.txt:1192	Merci: shift an obstructing card	skill	Merci (solitaire cheat): allowed once, to move an obstructing card out of the way.
gam draft.txt:1195	Accordion pile-matching rule	rule	Accordion Solitaire: draw a card, create a new pile if it doesn't match the newest pile's top card by suit or rank; can only stack on the newest pile.
gam draft.txt:1196	Accordion pile-combining rule	rule	Accordion Solitaire: piles whose top cards match and are 3 apart (or adjacent) can be combined, newer cards going on top.
gam draft.txt:1200	Calculation Solitaire base piles	rule	Calculation Solitaire: suits don't matter; start with ace/2/3/4 foundation piles, one waste pile each.
gam draft.txt:1201	Calculation Solitaire looping stacks	rule	Calculation Solitaire: foundation piles stack in increments of their base number (1s, 2s, 3s, 4s), looping around past King.
gam draft.txt:1202	Calculation Solitaire waste-pile rule	rule	Calculation Solitaire: cards that don't fit go on a waste pile; only the waste pile's top card can move to a foundation, and only if legal.
gam draft.txt:1206	Canfield tableau stacking rule	rule	Canfield Solitaire: tableau stacks 1 rank lower and opposite color; a whole stack can move if it follows this rule.
gam draft.txt:1208	Canfield 3-card stock draw	rule	Canfield Solitaire: stock is drawn 3 cards at a time, only the top of the 3 usable (then the next below it once used).
gam draft.txt:1210	Canfield foundation-rank feed	rule	Canfield Solitaire: a card matching the foundation base's rank, wherever found in reserve or stock, goes straight to the foundation.
gam draft.txt:1211	Canfield foundation build rule	rule	Canfield Solitaire: foundations build with same suit, ascending rank only.
gam draft.txt:1216	Klondike stacking rule	rule	Klondike Solitaire: tableau stacks opposite color, one rank lower.
gam draft.txt:1218	Klondike reveal-on-move rule	rule	Klondike Solitaire: moving a face-up card off a pile reveals the card beneath as face up.
gam draft.txt:1219	Klondike empty-space king rule	rule	Klondike Solitaire: empty tableau spaces can only be filled by a king-headed stack.
gam draft.txt:1223	La Belle Lucie stacking rule	rule	La Belle Lucie: only top cards of each pile are playable, moved to foundation or stacked one rank lower, same suit.
