qid	cls	verdict	note
Q0362	E8	OK	subagent CONTRADICTS, overturned - a grid's shape may change under an effect, and this is a rule card proposing it
Q0363	E8	OK	
Q0364	E8	OK	
Q0365	E8	OK	
Q0366	E9	OK	
Q0367	E9	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0368	E9	OK	
Q0369	E9	OK	
Q0370	E10	OK	
Q0371	E10	OK	
Q0372	E10	DUPLICATE	RETIRED IN PLACE - same space as Q0370
Q0373	E10	OK	
Q0374	F1	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0377	F1	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0378	F1	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0380	F1	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0382	F1	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0387	F3	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0389	F3	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0390	F3	STALE	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves | BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0391	F4	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0392	F4	STALE	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves | BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0393	F4	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0394	F4	STALE	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves | BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0400	F5	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0417	F9	OK	subagent RESCOPE, overturned - the union of the five stocks IS the deck (one shuffle dealt round-robin), so deck-order language still resolves
Q0401	F5	OK	subagent RESCOPE, overturned - the Entrance's width is not fixed; add_column/remove_column exist and the sidebar design allows an effect to change it
Q0405	F6	OK	subagent RESCOPE, overturned - the Entrance's width is not fixed; add_column/remove_column exist and the sidebar design allows an effect to change it
Q0407	F6	STALE	subagent RESCOPE, overturned - the Entrance's width is not fixed; add_column/remove_column exist and the sidebar design allows an effect to change it | BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0381	F1	OK	
Q0383	F2	OK	
Q0384	F2	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0385	F2	OK	
Q0386	F2	OK	
Q0388	F3	OK	
Q0395	F5	OK	
Q0396	F5	OK	subagent CONTRADICTS, overturned - an Entrance slot holds a STACK, not one card, so dealing the deck into it is extreme but expressible
Q0397	F5	OK	
Q0398	F5	OK	
Q0399	F5	STALE	FIXED - "a column of 4 or more cards scores"; a vertical stack scores only at multiples of FIVE. Now "a stack of five or more"
Q0402	F5	OK	
Q0403	F5	OK	
Q0404	F6	OK	
Q0406	F6	OK	
Q0408	F7	OK	
Q0409	F7	OK	
Q0410	F7	OK	
Q0411	F7	OK	
Q0412	F8	OK	
Q0413	F8	OK	
Q0414	F8	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0415	F8	OK	
Q0416	F9	OK	
Q0418	F9	OK	
Q0419	F9	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0420	F10	OK	
Q0421	F10	OK	
Q0422	F10	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0423	F10	OK	
Q0424	F11	OK	
Q0425	F11	OK	
Q0426	F11	OK	
Q0427	F11	OK	
Q0428	F12	OK	
Q0429	F12	OK	
Q0430	F12	OK	
Q0431	F12	OK	
Q0001	A1	OK	
Q0002	A1	OK	
Q0003	A1	OK	
Q0004	A1	OK	
Q0005	A1	OK	
Q0006	A2	OK	
Q0007	A2	OK	
Q0008	A2	OK	
Q0009	A2	OK	
Q0010	A2	OK	
Q0012	A3	OK	
Q0013	A3	OK	
Q0014	A3	OK	
Q0015	A3	OK	
Q0016	A3	OK	
Q0017	A3	OK	
Q0018	A3	OK	
Q0019	A3	OK	
Q0020	A4	OK	
Q0021	A4	OK	
Q0022	A4	OK	
Q0023	A4	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0024	A5	OK	
Q0025	A5	OK	
Q0026	A5	OK	
Q0027	A5	OK	
Q0028	A5	OK	
Q0029	A5	OK	
Q0030	A5	OK	
Q0031	A5	OK	
Q0032	A5	OK	
Q0033	A5	OK	
Q0034	A5	RESCOPE	FIXED - carried variants written for a different card (points for staying unplayed). Rewritten around the Groundhog's own mechanic, replaying the previous placement
Q0035	A6	OK	
Q0036	A6	OK	
Q0037	A6	OK	
Q0038	A6	OK	
Q0039	A7	OK	
Q0040	A7	OK	
Q0041	A7	OK	
Q0042	A7	OK	
Q0043	A7	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0044	A7	OK	
Q0045	A7	STALE	FIXED - found checking answered questions: "not part of any scoring hand this placement" is true of most cards on most placements, the X5 scoreless shift. Now per Entrance refill, which is closer to the per-act option that was answered
Q0046	A7	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0048	A7	OK	
Q0049	A8	OK	
Q0050	A8	OK	
Q0051	A8	OK	
Q0052	A8	OK	
Q0053	A9	OK	
Q0054	A9	ALREADY	FIXED - "pays out immediately rather than at show end"; scoring is already immediate and there is no show-end pass. Re-expressed as gold for a big meld
Q0055	A9	OK	
Q0056	A9	STALE	FIXED - "that many acts from now" survived the sweep. Now placements | BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0057	A9	OK	
Q0058	A9	OK	
Q0059	A10	OK	
Q0060	A10	OK	
Q0061	A10	OK	
Q0062	A10	OK	
Q0063	A11	OK	
Q0064	A11	OK	
Q0065	A11	OK	
Q0066	A11	OK	
Q0067	A12	OK	
Q0068	A12	OK	
Q0069	A12	STALE	FIXED - rewrite damage: every column scoring a meld in ONE placement is impossible, one card sits in one column. Now "this show", and the show's combo
Q0070	A12	OK	
Q0071	A12	OK	
Q0072	A12	OK	
Q0073	A12	OK	
Q0074	A12	OK	
Q0075	A12	OK	
Q0076	A12	OK	
Q0077	A12	OK	
Q0078	A13	OK	
Q0079	A13	OK	
Q0080	A13	OK	
Q0081	A13	OK	
Q0082	A14	OK	
Q0083	A14	OK	
Q0084	A14	OK	
Q0085	A14	OK	
Q0086	A14	OK	
Q0087	B1	OK	
Q0088	B1	OK	
Q0089	B1	OK	
Q0090	B1	OK	
Q0091	B1	OK	subagent RESCOPE, overturned - "a new hand" is a meld TYPE recognised when a line completes, so it is evaluated on lines
Q0092	B1	OK	subagent DUPLICATE of Q0088, overturned - Badugi forbids any shared suit; Cluster forbids pairs, flushes AND straights. Different constraints
Q0093	B1	OK	
Q0094	B1	OK	
Q0095	B1	OK	
Q0096	B1	OK	
Q0097	B1	OK	
Q0098	B1	RESCOPE	FIXED - an empty line is never evaluated, because the line detector only fires on a mutated cell. Now triggers at show end
Q0099	B1	OK	
Q0100	B1	OK	
Q0101	B1	OK	
Q0102	B1	OK	
Q0103	B1	OK	
Q0104	B1	OK	
Q0106	B1	OK	
Q0107	B1	OK	
Q0108	B2	OK	
Q0109	B2	OK	
Q0110	B2	OK	
Q0111	B2	OK	
Q0112	B2	OK	
Q0113	B3	OK	
Q0114	B3	OK	
Q0115	B3	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0116	B3	OK	
Q0117	B4	OK	
Q0118	B4	OK	
Q0119	B4	OK	
Q0120	B4	OK	
Q0121	B4	OK	
Q0122	B4	OK	
Q0123	B5	OK	
Q0124	B5	OK	
Q0125	B5	OK	
Q0126	B5	OK	
Q0127	B5	OK	
Q0128	B6	OK	
Q0129	B6	OK	
Q0130	B6	OK	
Q0131	B6	OK	
Q0132	B7	OK	
Q0133	B7	OK	subagent ALREADY, overturned - "only the best hand on a line scores, further hands ignored" is a line-scored MEMORY rule; the default re-scores every time
Q0134	B7	OK	
Q0135	B7	OK	subagent DUPLICATE of Q0132, overturned - The Contrary adds descending-runs-count-as-ascending, and it is a card rather than a rule
Q0136	B8	OK	
Q0137	B8	OK	
Q0138	B8	OK	
Q0139	B8	OK	
Q0140	B8	STALE	FIXED - "every row of a grid in one placement" is impossible. Now "one show"; the three-full-lines options stay, since one placement CAN complete a row, a column and a diagonal
Q0141	B8	OK	
Q0142	B8	OK	
Q0143	B9	OK	
Q0144	B9	OK	
Q0145	B9	OK	
Q0146	B9	OK	
Q0147	B9	OK	
Q0148	B10	STALE	FIXED - a line is always five cells, so "a line of three or fewer" never happens. "Playing short" re-expressed as a sparse grid
Q0150	B10	STALE	FIXED - "six times at thirteen" is the old thirteen-deep tableau column
Q0151	B10	OK	subagent CONTRADICTS, overturned - a rule card changing line length is an override, not a contradiction; option (b) even ties it to a widened grid
Q0105	B1	DUPLICATE	RETIRED IN PLACE - same space as Q0093 (cribbage running total)
Q0149	B10	STALE	RETIRED IN PLACE - selecting cards to score is Balatro hand-play; long lines are asked by Q0151 and Q0184
Q0432	G1	OK	
Q0433	G1	OK	
Q0434	G1	OK	
Q0435	G1	OK	
Q0436	G1	OK	
Q0437	G2	OK	
Q0438	G2	OK	
Q0439	G2	OK	
Q0440	G2	OK	
Q0441	G3	OK	
Q0442	G3	STALE	FIXED - rewrite damage: "if the first placement of a show is a single card" is vacuous, every placement is one card. DNA keeps a restrictive condition: the opening card completes no line
Q0443	G3	OK	
Q0444	G3	OK	
Q0445	G3	OK	
Q0446	G3	OK	
Q0447	G3	OK	
Q0448	G3	OK	
Q0449	G3	OK	
Q0450	G3	OK	
Q0451	G3	OK	
Q0452	G3	OK	
Q0453	G4	OK	subagent CONTRADICTS, overturned - destroying cards is a deliberate effect; the brief only forbids ASSUMING the board clears by itself. Brief reworded
Q0454	G4	OK	
Q0455	G4	OK	
Q0456	G4	OK	
Q0457	G4	OK	
Q0458	G4	OK	
Q0459	G4	OK	
Q0460	G4	OK	
Q0461	G4	OK	
Q0462	G5	OK	
Q0463	G5	OK	
Q0464	G5	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0465	G5	OK	
Q0466	G5	OK	
Q0467	G5	OK	
Q0468	G5	OK	
Q0469	G5	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0470	G5	OK	
Q0471	G5	OK	
Q0472	G5	OK	
Q0473	G5	OK	
Q0474	G5	OK	
Q0475	G5	OK	
Q0476	G5	OK	
Q0477	G5	OK	
Q0478	G6	OK	
Q0479	G6	OK	
Q0480	G6	OK	
Q0481	G6	OK	
Q0482	G6	OK	
Q0483	G6	OK	
Q0484	G6	OK	
Q0485	G6	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0486	G6	OK	
Q0487	G6	OK	
Q0488	G6	OK	
Q0489	G7	OK	
Q0490	G7	OK	
Q0491	G7	OK	
Q0492	G7	OK	
Q0493	G7	OK	
Q0494	G8	OK	
Q0495	G8	OK	
Q0496	G8	OK	
Q0497	G8	OK	
Q0498	G8	OK	
Q0499	G8	OK	
Q0500	G9	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0501	G9	OK	
Q0502	G9	OK	
Q0503	G9	OK	
Q0504	G9	OK	
Q0505	G9	OK	
Q0506	G10	OK	
Q0507	G10	OK	
Q0508	G10	OK	
Q0509	G10	OK	
Q0510	G10	OK	
Q0511	G10	OK	
Q0512	G10	OK	
Q0513	G10	OK	
Q0514	G11	OK	
Q0515	G11	OK	
Q0516	G11	OK	subagent UNSURE, adjudicated OK - a card can sit face down on the grid (CardData.flipped; The Sealed Envelope places one)
Q0517	G11	OK	
Q0518	G11	OK	
Q0519	G11	OK	
Q0520	G11	OK	
Q0521	G11	OK	
Q0522	G11	OK	
Q0523	G11	OK	
Q0524	G11	OK	
Q0525	G11	OK	
Q0526	H1	OK	subagent MISMATCH, overturned - the three options are mechanism VARIANTS of copying a spotlit skill, which is what this questionnaire asks for
Q0527	H1	OK	
Q0528	H1	OK	
Q0529	H1	OK	
Q0530	H1	OK	
Q0531	H1	OK	
Q0532	H2	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0533	H2	OK	subagent UNSURE, adjudicated OK - (c) is a legitimate reading of behind/ahead as row/column
Q0534	H2	OK	
Q0535	H2	OK	
Q0536	H2	OK	
Q0537	H2	OK	
Q0538	H2	OK	
Q0539	H3	OK	
Q0540	H3	OK	
Q0541	H3	OK	
Q0542	H3	OK	
Q0543	H4	OK	
Q0544	H4	OK	
Q0545	H4	OK	
Q0546	H4	OK	
Q0547	H4	OK	
Q0548	H5	OK	
Q0549	H5	OK	
Q0550	H5	OK	
Q0551	H5	OK	
Q0552	H5	OK	
Q0553	H6	OK	
Q0554	H6	OK	
Q0555	H6	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0556	H6	OK	
Q0557	H6	OK	
Q0558	H6	OK	
Q0559	H6	OK	
Q0560	H6	OK	
Q0561	H7	OK	
Q0562	H7	OK	
Q0563	H7	OK	
Q0564	H7	OK	subagent ALREADY, overturned - the combo weights distinct triggers into the MULTIPLIER; this pays POINTS per distinct effect, a separate payout
Q0565	H8	OK	
Q0566	H8	OK	
Q0567	H8	OK	
Q0568	H8	OK	
Q0569	H8	OK	
Q0570	H8	OK	
Q0571	H8	OK	
Q0572	H8	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0573	H9	OK	
Q0574	H9	OK	
Q0575	H9	OK	
Q0576	H9	OK	
Q0577	H9	OK	subagent UNSURE, adjudicated OK - (c) is a mechanism variant where the extracted rule keeps applying locally
Q0578	H9	OK	
Q0579	H10	OK	
Q0580	H10	OK	
Q0581	H10	OK	
Q0582	H10	OK	
Q0583	H10	OK	
Q0584	H10	OK	
Q0585	I1	OK	
Q0586	I1	OK	
Q0587	I1	OK	
Q0588	I1	OK	
Q0589	I2	OK	
Q0590	I2	OK	
Q0591	I2	OK	
Q0592	I2	OK	
Q0593	I2	OK	
Q0594	I2	OK	
Q0595	I3	OK	
Q0596	I3	OK	
Q0597	I3	OK	
Q0598	I3	OK	
Q0599	I3	OK	
Q0600	I4	OK	
Q0601	I4	OK	
Q0602	I4	OK	
Q0603	I4	OK	
Q0604	I4	OK	
Q0605	I4	OK	
Q0606	I4	OK	
Q0607	I4	OK	
Q0608	I4	OK	
Q0609	I4	OK	
Q0610	I4	OK	
Q0611	I4	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0612	I4	OK	
Q0613	I4	OK	
Q0614	I4	OK	
Q0615	I4	OK	
Q0616	I4	OK	
Q0617	I4	OK	
Q0618	I4	OK	
Q0619	I4	OK	
Q0620	I4	OK	
Q0621	I4	OK	
Q0622	I5	OK	
Q0623	I5	OK	
Q0624	I5	OK	
Q0625	I5	OK	
Q0626	I5	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0627	I5	OK	
Q0628	I5	OK	
Q0629	I5	OK	
Q0630	I6	OK	
Q0631	I6	OK	
Q0632	I6	OK	
Q0633	I6	OK	
Q0634	I7	OK	
Q0635	I7	OK	
Q0636	I7	OK	
Q0637	I7	OK	
Q0638	I8	OK	
Q0639	I8	OK	
Q0640	I8	OK	
Q0641	I8	OK	
Q0642	I9	OK	
Q0643	I9	OK	
Q0644	I9	OK	
Q0645	I9	OK	
Q0646	I10	OK	
Q0647	I10	OK	
Q0648	I10	OK	
Q0649	I10	OK	
Q0650	I11	OK	
Q0651	I11	OK	
Q0652	I11	OK	
Q0653	I11	OK	
Q0654	I11	OK	
Q0655	I12	RESCOPE	FIXED - subagent flagged DUPLICATE of Q0658; the collision was only Ascetic's option (b), which had drifted into Iron Body's first-hit-each-show space. (b) rewritten back to Ascetic's positional immunity instead of retiring a distinct card
Q0656	I12	OK	
Q0657	I12	OK	
Q0658	I12	OK	
Q0659	I12	OK	
Q0660	I12	OK	
Q0661	I12	OK	
Q0662	I12	OK	
Q0663	I12	OK	
Q0664	I12	OK	
Q0665	I12	OK	
Q0666	I12	OK	
Q0667	J1	OK	
Q0668	J1	OK	
Q0669	J1	OK	
Q0670	J1	OK	
Q0671	J1	OK	
Q0672	J2	OK	
Q0673	J2	OK	
Q0674	J2	OK	
Q0675	J2	OK	
Q0676	J2	STALE	FIXED - rewrite damage: "after the first each placement" is vacuous, one card per placement. Now "after the first five of each show"
Q0677	J3	OK	
Q0678	J3	OK	
Q0679	J3	OK	
Q0680	J3	OK	
Q0681	J4	OK	
Q0682	J4	OK	
Q0683	J4	OK	
Q0684	J4	OK	
Q0685	J4	OK	
Q0686	J4	OK	
Q0687	J4	OK	
Q0688	J4	OK	
Q0689	J5	OK	
Q0690	J5	OK	
Q0691	J5	OK	
Q0692	J5	OK	
Q0693	J6	OK	
Q0694	J6	OK	
