name,tier,weight,scope,axis,height,grids,hazard,objective,payoff,counterplay,groups,reference,source
The Understudy Fills In,big,2,grid-local,grid,no,2+,Any grid you place nothing into during a refill has a random card placed in it for you.,-,A random placement that completes a line scores triple - the understudy got lucky.,Spreading placements across grids; Shy Clown buys a slot back.,hazard;grid,"Punishes ignoring a grid, which is otherwise the dominant line.",draft:1480
The Sealed Envelope,small,1,grid-local,cell,no,1,One card starts face down somewhere in a grid and is only revealed when a card is placed beside it.,-,Revealing it scores its rank times the number of cards already adjacent.,Deliberately building toward it; any reveal effect.,hazard;secret,"The crystal-ball act, where the answer was sealed in advance.",draft:1481
Lost Ring,boss,2,global,grid,no,2+,One grid is closed for the whole show.,-,Every remaining grid scores double.,"Deck thinning - fewer cards means fewer grids expected, so less is lost.",hazard;grid,The weight-two example the owner names. The doubling is the compensation.,draft:1482
Rent Per Cell,boss,2,grid-local,cell,no,1,Every cell you use costs a flat amount off the final total.,-,Any line completed with fewer than five of your own cards is exempt.,Playing small and sharp; the empty-chair objective agrees with this one.,hazard;economy,The owner's more granular alternative to losing a whole grid.,draft:1482
Knifetown,small,1,grid-local,line,no,1,Knives melds score nothing.,-,"Every non-Knives meld scores an extra flat bonus, and Knives cards still pay tips.",A rainbow deck; Custard Pie repaints the offending suit.,hazard;suit,The town that has seen enough knife throwing.,draft:1510-1511
Firetown,small,1,grid-local,line,no,1,"Flames melds score nothing, and Burning cannot be applied.",-,Cards that would have burned instead gain a permanent rank.,Suit variety; the Fire Marshal's own answer card.,hazard;suit,"Post-Hartford fire regulation, as a town's mood.",draft:1510-1511
Juggletown,small,1,grid-local,line,no,1,"Balls melds score nothing, and Juggling pays out at half.",-,Every Juggling status held at show end converts to tips instead.,Anything that scores on placement rather than on a later score.,hazard;suit,The town that has seen every juggler on the circuit.,draft:1510-1511
Hooptown,small,1,grid-local,line,no,1,"Hoops melds score nothing, and hoop props pass through without paying.",-,Talent cards a hoop passes gain a charge instead of scoring.,Talent-light rows; knives do the opposite work.,hazard;suit,"The fourth taste, completing the set.",draft:1510-1511
Hey Rube,boss,2,grid-local,x,no,1,"Each refill, the rightmost column is brawled over - every card in it is debuffed.",-,A Stuntsman or Strongman placed in that column defends it and scores for every card it saved.,The Escape Artist class exists for exactly this.,hazard;class,The historical rallying cry when a circus fought the locals.,draft:509;recs:261
Blowdown,boss,2,global,deck,no,1,"At show start and at every refill, one random Entrance card is discarded.",-,Every discarded card returns at show end and scores its rank as tips - the show went on.,Entrance mulligan cards; anything that scores from the discard.,hazard;weather,"Tent blowdowns, the travelling show's most feared weather.",draft:644;recs:262
Mud Show,small,1,grid-local,cell,yes,1,Picking up any card or stack costs one discard.,-,Every card that is never picked up after placement scores a flat bonus.,Placing well the first time; Rooted and Rosin cards were never moving anyway.,hazard;economy,Small circuses slogging unpaved roads between towns.,draft:1071;recs:263
The Fire Marshal,big,1,global,deck,no,1,Flames cards may not be placed at all; they must be discarded from the Entrance.,-,Every Flames card discarded this way mints a Gold card.,A deck that does not lean on one suit.,hazard;suit,Fire regulation that reshaped tenting forever.,draft:1034;recs:264
Temperance Town,small,1,global,deck,no,1,Concessions cards are disabled and shop prices double.,-,Every disabled Concessions card scores its rank as flat points at show end.,Any class but one; the Grease Joint still filters the deck.,hazard;class,Dry towns on the historical routes.,draft:510;recs:265
John Robinson,big,1,global,none,no,1,The show is cut short - the deck is halved before the first draw.,-,"The fame goal is halved too, and any line completed in the first refill scores double.",Fast decks; First Act cards guarantee the opener.,hazard;flow,"The code phrase that meant cut the show short, tonight.",draft:509;recs:266
Lot Lice,small,1,global,none,no,1,The first line scored this show pays nothing - they watched the setup for free.,-,Every line after the first scores an extra flat bonus.,Deliberately scoring a worthless line first.,hazard;economy,Slang for townsfolk who watched the tent go up and never bought a ticket.,draft:509;recs:267
The Rival Show,boss,2,global,none,no,1,A rival played this town first - the fame goal is raised before you begin.,-,Beat it and take one card from the rival's deck into yours.,Anything that raises score ceilings; the Hype wager stacks with it.,hazard;economy,"Barnum against Forepaugh, Ringling against everyone.",draft:509;recs:268
Railroad Jump,small,1,global,deck,no,1,One card is left on the platform - a random card leaves the deck for this show only.,-,The abandoned card returns after the show with a permanent rank increase.,Large decks barely notice; small decks feel it exactly.,hazard;deck,The brutal overnight railroad jumps of the golden age.,draft:509;recs:269
The Whip,big,1,grid-local,cell,no,1,Every card triggers one extra time and gains an injury stack for it.,-,"The extra triggers are real points, and injuries clear if the card sits out the next show.",The Net lowers retirement; the Infirmary clears stacks between shows.,hazard;status,"Driving performers and animals harder, with the historical cost attached.",draft:1040
The Net,small,1,grid-local,grid,no,1,"Nothing in this grid can be destroyed, but every line scores less.",-,Cards that would have died survive with a permanent rank increase.,Decks that were never risking anything lose the least.,hazard;protection,"Nets turned an audience's fear into awe, and the act was valued less for it.",draft:1085
Ringling Modesty,big,1,grid-local,line,no,1,Only Common and Uncommon cards score - flashy cards pay nothing.,-,Every Common card scores triple while the rule holds.,A deck that kept its cheap cards; the power-sort chains bottom out here.,hazard;rarity,The Ringlings sold themselves as the respectable circus.,draft:1067
The Water Ring,big,1,grid-local,y,no,1,The bottom row of every grid is flooded and unusable.,-,A card with a diving or aerial feat placed above the flood scores double.,Any effect that plays high; the flood only takes the floor.,hazard;layout,The ring floor that filled with water for the diving act.,draft:1057
Minefield,boss,2,grid-local,cell,no,1,"Hidden bombs are seeded through every grid; each cell shows how many neighbours are mined, and a card placed on a bomb loses most of its rank.",-,Every bomb safely mapped and avoided pays the special bucket.,"Reading the numbers. It is a solvable puzzle, not a coin flip.",hazard;secret,"Minesweeper, which the draft names directly.",draft:1436-1437
The Mirror Troupe,boss,2,global,deck,no,1,The deck doubles with temporary mirror copies of every card; a mirror placed adjacent to its original destroys both.,-,"Twice the cards to work with, and any mirror that survives to show end scores its original's rank again.",Spatial awareness; cross-grid placement keeps pairs apart.,hazard;destruction,The owner's own boss - resources doubled and a trap laid inside them.,draft:1466
Elbow Room,big,1,grid-local,cell,no,1,Every card must be placed adjacent or diagonal to a card already in that grid.,-,The grid's first card scores as though it completed a line.,Placing the first card centrally; India-Rubber Man ignores placement rules.,hazard;placement,"Poker Squares' own historical connection rule, used as a restriction.",draft:1452
Spread Out,big,1,grid-local,x,no,1,"Each card must go in a column, or a row, that no previously placed card has used, until every one is used.",-,Completing the forced spread scores the special bucket once per grid.,Cross-grid placement resets the constraint per grid.,hazard;placement,"The mirror of Elbow Room, from the same owner line.",draft:1452
Uno Night,big,1,grid-local,cell,no,1,A card may only be placed adjacent to a card sharing its suit or its rank.,-,Any card placed adjacent to a match in both suit and rank scores triple.,Wild ranks and the Harlequin pip satisfy anything.,hazard;placement,"Crazy Eights, as a placement rule.",draft:1339-1340
Fan Tan Foundations,big,1,grid-local,cell,no,1,Only sevens may open an empty grid; everything else must build outward by rank within suit.,-,Every card placed in sequence off a seven scores an escalating bonus.,Any deck holding its sevens; the tutor cards fetch one.,hazard;placement,"Fan Tan, whose sevens are the only foundations.",draft:1349-1351
The Climb,big,1,grid-local,y,no,1,Each card placed in a column must equal or beat the rank of the one placed before it there.,-,A column completed under the climb scores as a straight as well as itself.,Low cards first; Slapstick fixes a single blocked column.,hazard;placement,"President's climbing rule, one column at a time.",draft:1398-1399
Forfeit,small,1,grid-local,cell,no,1,"Placing a face card forces the next placement to also discard cards - four for an ace, three for a king, two for a queen, one for a jack.",-,Every card discarded to a forfeit scores its rank as tips.,Number-heavy decks; the discard engine turns the tax into filtering.,hazard;economy,Beggar My Neighbor's escalating forfeits.,draft:1296-1303
Trump Night,small,1,grid-local,line,no,1,One suit is named trump; melds without a trump card score at half.,-,Melds containing two or more trump cards score double.,Any suit-changing effect; the Harlequin pip is always trump.,hazard;suit,"Whist's trump suit, imported wholesale.",draft:1352-1353
Black Maria,big,1,grid-local,line,no,1,One named suit scores negative when it appears in a meld.,-,"Negative scores still add to the combo, and the combo applies to everything.",The negative-rank family wants exactly this blind.,hazard;suit,"Hearts, where the queen of spades costs thirteen.",draft:1380-1381
The Booking,boss,1,global,none,no,1,-,"Declare before the show exactly how many melds you will score, and hit the number exactly.",Hitting the declaration pays a bonus larger than any meld in the game.,"Careful, deliberate play. Over-scoring loses as surely as under-scoring.",objective;gamble,"Oh Hell's bid, which the owner's own note asked to import.",draft:1365-1369
Ninety-Nine,big,1,global,deck,no,1,-,Discard three cards before the show; their suits set the number of lines you must score.,"The bid costs you the cards that made it, and hitting it doubles the show.",Choosing a low bid you can guarantee.,objective;gamble,Ninety-Nine's elegant bidding by discard.,draft:1372-1373
Sudoku Ring,boss,2,grid-local,grid,no,1,-,No rank may repeat in any row or column of one named grid.,That grid scores its whole board again as a bonus.,Rank-changing clowns; the Blank rank never repeats anything.,objective;formation,"The draft's sudoku bonus, promoted to a boss objective.",draft:1434-1435
Four Triplets and a Pair,boss,2,grid-local,grid,no,1,-,"One grid's rows, or its columns, must contain four triplets and a pair between them.",The completed hand pays the special bucket several times over.,Rank duplication effects; Tintype and the copy family.,objective;mahjong,A mahjong hand read across a whole grid.,draft:1279
The Twenty-One,small,1,grid-local,line,no,1,-,"At least one scored line's ranks must total exactly twenty-one, and no line may exceed it.",The twenty-one line scores as a straight flush.,Face-cards-count-ten; the extreme-rank family makes the arithmetic strange.,objective;count,"Blackjack, including the bust.",draft:1406-1407
Two Hundred,big,1,grid-local,grid,no,1,-,The board must reach the traditional Barry-scoring total of two hundred before the fame goal counts at all.,Passing two hundred converts every point above it directly into tips.,The historical benchmark is reachable with a clean grid and no effects at all.,objective;score,Poker Patience's own historical win condition.,draft:1232
Leave No Trace,big,1,grid-local,grid,yes,1,-,The board must be empty when the show ends.,Every card removed to satisfy it scores its rank twice.,The destruction family finally has a level that wants it.,objective;destruction,"Burning Man's principle, from the reference compendium.",refs:G
The Peaceful Menagerie,big,1,grid-local,grid,no,1,-,No card may be destroyed or removed for the whole show.,Every Animal card scores double at the end.,"Avoiding the destruction family entirely, which most decks can.",objective;class,"The peaceful-animal act, where nothing growls and nothing is subdued.",draft:1107
Hall of Mirrors,boss,2,grid-local,grid,no,2+,Every effect that targets a cell also targets the mirrored cell in the next grid.,-,A single effect can now score twice; the trap is that destruction mirrors too.,Grid-local effects on the outermost grid have nothing to mirror into.,hazard;grid,"The midway's mirror maze, and a boss that only multi-grid play can produce.",refs:E
The Marathon,boss,2,global,none,no,1,The show does not end until the deck is empty; End is disabled.,-,Every refill after the fifth raises the multiplier permanently.,Small decks finish quickly; Cheat Day rewards the cards left over.,hazard;flow,"Dance marathons and endurance shows, where the act was not stopping.",refs:F
Exposition City,big,1,global,none,no,1,Only one card of each class may score per refill.,-,The first card of each class to score does so at double value.,A rainbow deck sails through; a mono-class deck stalls.,hazard;class,"A world's fair, where every exhibit gets one turn.",refs:E
The Jaded City,big,1,grid-local,line,no,1,A meld type that has already scored this show pays half as much every time it repeats.,-,The first instance of each meld type scores triple.,Meld variety; the secret-meld family is the way out.,hazard;scoring,"A city that has seen the act before, twice.",refs:E
The Gong,boss,2,global,none,no,1,Score too little in any single refill and the show ends immediately.,-,Every refill that clears the bar raises the bar and the payout together.,"Front-loading the board; the Booking pairs badly, on purpose.",hazard;flow,"The Gong Show's hook, and vaudeville's own.",refs:F
The Loggione,big,1,grid-local,line,no,1,Common cards score nothing - the gallery are experts and they are not impressed.,-,Every Rare or better card scores double.,The inverse of Ringling Modesty; one deck answers both badly.,hazard;rarity,"La Scala's gallery, feared by every singer who played it.",refs:F
The Prepared Town,big,1,global,deck,no,1,"Every Gaff, Humbug and disguised card is revealed and disabled.",-,"Each disabled fake mints a Gold card, so the deception still pays.",Decks that never leaned on hidden information.,hazard;secret,A town that read the newspapers before the show arrived.,refs:C
The Balance,boss,2,grid-local,grid,no,1,-,The row term and the column term must end within one point of each other.,Matching them exactly multiplies the grid's whole score.,"Deliberate under-scoring, which no other level ever asks for.",objective;score,"Barong against Rangda, where the point is equilibrium, not victory.",refs:A
The Faro Bank,boss,2,global,deck,no,1,The house calls one rank before the show; every card of that rank in your deck is dealt against you and scores for the house.,-,Beat the house's total and take the whole bank as tips.,Thinning that rank out; the Fortune Teller class sees it coming.,hazard;gamble,"Faro, the gambling hall's staple and its most rigged game.",refs:D
The Ban,boss,2,global,deck,no,1,One card type or class is outlawed and may not be played at all.,-,Every card of the banned kind still in your deck at show end scores its rank as tips - you smuggled it home.,The ban-workaround family in the references is built for this.,hazard;restriction,Oppression into invention - the most repeated story in world performance.,refs:I
The Claque,small,1,global,none,no,1,The front rows are paid to applaud - the first meld each refill scores double whether it deserved it or not.,-,"There is no downside this level; it is a good night, and the goal is raised to match.",None needed. Not every blind must bite.,economy;flow,"The claque, professional applauders sold by the row.",refs:E
Sponsorship,small,1,global,deck,no,1,"Gain a Gold card every refill, and lose a flat amount of fame for each one you keep.",-,Spend them all before the show ends and the fame comes back doubled.,Spending is easy; hoarding is the trap.,economy;gamble,"The fame tax for taking the money, from the references.",refs:E
The Shredder,small,1,global,deck,no,1,One random card in your deck will destroy itself at show end.,-,It pays double for every line it scored before it went.,"Playing it early and often, which is the point.",economy;destruction,The artwork that shredded itself at auction and doubled in value.,refs:G
Day and Date,boss,2,global,none,no,1,"A rival plays the same town on the same night - every refill, one of your Entrance cards is bought out from under you.",-,Any line completed with a card the rival wanted scores triple.,Placing fast; the rival only takes what is still in the Entrance.,hazard;economy,"Day-and-date booking, the circus wars' dirtiest tactic.",refs:E
The Riot,boss,2,grid-local,x,no,1,"Two factions in the crowd fight - at each refill, one row is chosen and its cards are shuffled among themselves.",-,A row that still scores after being shuffled pays the special bucket.,Flushes and four-of-a-kinds survive shuffling; straights do not.,hazard;formation,"Rival claques rioting, which is real opera history.",refs:F
The Scam Booking,boss,2,global,none,no,1,The advertised venue does not exist - the grid you commit to first is removed after the first refill and its cards are discarded.,-,Every discarded card returns to the deck upgraded.,Commit first to the grid you care least about.,hazard;grid,A festival that sold tickets to an island with nothing on it.,refs:G
Nuzlocke,boss,1,global,deck,no,1,"Every card added to the deck after the run began is locked in and can never be traded, sold or removed.",-,Locked cards score an escalating bonus for every show they survive.,"Taking fewer, better cards. It is a whole-run challenge, not one level.",challenge;deck,"The owner's named challenge layer, sitting above the blinds.",draft:1484
The Hype,big,1,global,none,no,1,-,Double the fame this show demands before it begins.,Clearing a hyped show doubles the rewards and the odds of rarer cards.,"Declining. The Hype is always opt-in, which is what makes it fair.",gamble;economy,"The owner's hype mechanic, kept as a player-chosen blind.",draft:710-711
The Patient Crowd,big,1,global,none,no,1,"The audience has limited patience - moving a card spends it, and at zero the show ends.",-,"Every distinct effect triggered refunds patience, so a varied board plays longer.",Clown cards raise the ceiling; a full clown set can move for free.,hazard;flow,"The owner's patience system, deployed as a level rather than a default.",draft:736-738
Injury Night,big,1,grid-local,cell,no,1,"Every trigger risks an injury stack, and enough stacks retire a card for the rest of the run.",-,Every injury taken adds permanently to that card's rank if it survives the show.,"The Net, the Balance Pole and Lloyd's Policy all answer it.",hazard;status,"The no-net era, when injuries were constant and the show went on anyway.",draft:1174-1176
The Hall of Prodigies,small,1,grid-local,line,no,1,"Only cards with unusual ranks - blanks, wilds, half-steps, negatives - may score.",-,Each of them scores triple while the rule holds.,The Freakshow class exists for this one level.,hazard;rank,"The sideshow bill, where ordinary was the one thing that did not sell.",draft:1163-1167
Weather Front,small,1,global,none,no,1,Rain stops the show - nothing scores until a card is placed that covers the ring.,-,"Once covered, every line scored in the rain pays double.",One canvas card in the deck ends the hazard immediately.,hazard;weather,Wet weather made performance impossible until canvas covers arrived.,draft:1034
The Long Row,big,1,grid-local,x,no,2+,-,One row must be completed continuously across every open grid.,The long row scores as a straight flush regardless of its contents.,Cross-grid movement; Linking Rings makes one suit continuous for free.,objective;grid,"The long-row rule, promoted from a permission to a demand.",draft:1264
The Tall Order,big,1,grid-local,h,yes,1,-,At least one cell must hold a stack five cards high.,The stack scores its height line and the whole column again.,The height family; Strongman and Iron Jaw hold a tall stack up.,objective;h,"The fourth coordinate, made mandatory for one night.",draft:1269
Both Diagonals,big,1,grid-local,grid,no,1,-,Both long diagonals of one grid must score.,Each diagonal pays the special bucket twice.,Spiderweb and the formation family read diagonals natively.,objective;diagonal,"The optional diagonal variation, made compulsory.",draft:1233
The Robbers,big,1,global,deck,no,1,"Between refills, robbers take the highest-value card off the board.",-,A card deliberately left as bait scores triple if it is the one stolen.,"Spreading value; the theft always takes the single best card, which you choose.",hazard;destruction,The circus drew merchants and pickpockets alike.,random:2-19
Lightning Strike,big,1,grid-local,grid,no,1,"Lightning strikes the highest-value card on the board each refill, shocking it and its neighbours.",-,A shocked card that still scores pays double - it performed through it.,Keeping several cards of similar value so the strike is never decisive.,hazard;weather,Electric light and open weather were the same evening.,random:3-19
Hurricane,boss,2,grid-local,grid,no,2+,"A storm of a random category from one to five soaks a ring of cells and moves each refill, weakening as it goes.",-,Every soaked card that still scores pays out the storm's remaining category as tips.,"The track is visible a refill ahead, so it can be outrun.",hazard;weather,"The touring show's oldest enemy, scaled.",random:4-19
Tsunami,boss,2,grid-local,h,yes,1,"A wave rises from the bottom row, capping how tall stacks may be, then recedes.",-,Stacks built back up after the wave score their height line twice.,Build wide during the wave and tall after it.,hazard;weather,The only hazard that attacks the fourth coordinate.,random:6-19
FEMA Relief,small,1,global,none,no,1,-,Survive enough weather levels this run and relief arrives.,The fame goal drops permanently for the rest of the tour.,None needed - it is the reward for having endured the weather blinds.,economy;weather,"Disaster relief, arriving several levels too late.",random:8-19
Earthquake,boss,2,grid-local,grid,no,1,Every placed card is scrambled to a different cell within its own grid at each refill.,-,Any line that still scores after a scramble pays the special bucket.,Flushes and four-of-a-kinds survive scrambling; straights do not.,hazard;formation,The board itself refusing to hold still.,random:10-19
Tornado,big,1,grid-local,grid,no,1,A tornado of random scale lifts a square of cards and sets them down elsewhere.,-,Cards that land in a completed line score triple.,Small tornadoes are survivable; the scale is rolled and shown before it touches down.,hazard;weather,"Scaled damage from one blind, which keeps it usable at every tier.",random:12-19
Eruption,boss,2,grid-local,grid,no,1,"Burning spreads outward from one cell in an expanding path, and nothing stops it.",-,Every Burning card that scores before the fire reaches the edge pays double.,"There is no counter - the answer is to score fast, which is the point.",hazard;weather,The draft's own note - there is no counter to volcanic eruptions.,random:14-19
Monopoly,big,1,global,deck,no,1,Scoring a flush of a rank removes that rank from generation for the rest of the run.,-,Each removed rank permanently raises the value of the ranks that remain.,"Your best line becomes unavailable by using it, so spread your scoring.",hazard;deck,Winning your way out of your own strategy.,random:16-19
Wildfire,big,1,grid-local,x,no,1,Fire spreads through flammable cards and stops at cards of a named blocking type.,-,A firebreak you built yourself scores its whole line again.,Terrain - the player lays the blocking cards themselves.,hazard;weather,Fire that respects the board you built.,random:17-19
Windy Day,small,1,grid-local,grid,no,1,Cards shift one row or column at random each refill because it is too windy to hold them.,-,Any line completed despite a shift pays a flat bonus.,"Small and constant, so exact formations simply cost more.",hazard;formation,You dropped your cards; the show goes on.,random:19-19
The Boss,boss,2,global,none,no,1,"A boss breathes fire on your score each refill, reducing the total you have already banked.","Defeat it with named hands, or with raw points.",Beating it with the named hands instead of raw points doubles the reward.,"Scoring faster than it burns, or hitting the named hands early.",hazard;boss,"A score that can go down, which changes the pacing of a whole show.",random:24-19
The Swarm,boss,2,grid-local,grid,no,1,Cards are eaten from the edge of the board inward over several refills.,-,Every eaten cell reclaimed by placing over it scores double.,"Playing outward instead of inward, which fights every other instinct.",hazard;destruction,"Attacks the edges, where the diagonals and long rows live.",random:26-19
The Impostor,boss,2,grid-local,cell,no,1,"One card in the deck is a fake - it costs you score when played, and on some refills it ignores the rules entirely.",Find it and remove it.,"Removing the impostor refunds every point it cost, doubled.",Deduction. Its rule-breaking is the clue that gives it away.,hazard;secret,The best pure-deduction hazard in the notes.,random:28-19
Deja Vu,small,1,grid-local,cell,no,1,-,Every card must be placed in a cell that was occupied at some point earlier this show.,Each reoccupied cell scores its previous occupant's rank again.,Removal effects create the cells this objective needs.,objective;cell,A board that remembers what stood where.,random:2-16
Pot of Greed,small,1,grid-local,cell,no,1,Cards left alone in a row are discarded at the next refill.,-,Each discarded loner draws two replacements.,"Placing in pairs, or embracing it as a draw engine.",hazard;discard,Isolation punished and rewarded in the same clause.,random:3-10
