name,kind,scope,axis,height,grids,rarity,groups,effect,trigger,note,source,status
Balatro chassis,Meta,global,none,no,1,-,reference;economy,"Jokers, consumables, shops, blinds and vouchers are taken as proven shapes and reskinned rather than reinvented.",design,The explicit instruction not to redesign solved problems. Blinds are the newest import.,draft:21,carried
Starting decks,Deck,global,deck,no,1,-,deck;identity,"Each starting deck sets the initial card list AND the rule cards the run begins with, so a deck is a ruleset as much as a card list.",on_game_start,The rule deck makes this nearly free - a deck is a different rules deck.,draft:22,carried
Face cards count ten,Rank,grid-local,none,no,1,Common,rank;count,"An optional rank rule where every face card counts as 10 for any summing meld - cribbage fifteens, the 20-30 row objective, the 31 count.",on_score,Only matters once a summing meld exists; ships with The Fifteen and the rank-sum blinds.,draft:25,carried
Fifteens,Meld,grid-local,line,no,1,Uncommon,meld;cribbage,"Any set of cards in one scored line summing to exactly 15 banks a flat bonus, once per distinct set.",on_score,Cribbage's engine. Explicitly demoted from a default rule to an ability by a later draft line.,draft:30,carried
Thirty-ones,Meld,grid-local,line,no,1,Uncommon,meld;cribbage,Any set of cards in one scored line summing to exactly 31 banks a larger flat bonus.,on_score,The blackjack-adjacent sibling of fifteens; rarer because 31 is harder to reach in five cards.,draft:31,carried
Pair meld,Meld,grid-local,line,no,1,Common,meld;poker,Two cards of equal rank in a scored line. The floor of the poker table and the unit the pair-count blinds count.,on_score,Already implemented by the poker evaluator; listed so blind objectives have a name to cite.,draft:32,carried
Triple meld,Meld,grid-local,line,no,1,Common,meld;poker,Three of a kind in a scored line.,on_score,Implemented.,draft:33,carried
Quad meld,Meld,grid-local,line,no,1,Uncommon,meld;poker,Four of a kind in a scored line - in a five-card line this leaves exactly one odd card.,on_score,Implemented. The mahjong hands reuse this shape across a whole grid.,draft:34,carried
Run meld,Meld,grid-local,line,no,2+,Common,meld;poker,A consecutive rank sequence of three to seven cards. Lengths above five only exist on a long row spanning grids.,on_score,The long-row rule is what makes runs longer than five reachable at all.,draft:35,carried
Magic deck,Deck,global,deck,no,1,-,deck;variant,Every suit is an element and lines score as spells - a completed line of matching elements fires a spell instead of a poker hand.,on_score,A rules-deck swap of the meld evaluator; the cleanest proof the rule deck earns its keep.,draft:38,carried
Survivor deck,Deck,global,deck,no,1,-,deck;variant,"Suits become supplies - food, water, blade, shelter - and a line scores by how balanced its supply mix is, punishing flushes.",on_score,The anti-flush deck. Pairs with the no-flush blind objective.,draft:39,carried
Number cards then face cards,Map,global,none,no,1,-,map;progress,"The tour's first half is number-ranked nodes; face-ranked nodes only open once the numbers are cleared, and they are the bosses.",map,"Deadman Wonderland's stage gate, and a clean way to make face cards mean something on the map.",draft:46,carried
Card-marked map nodes,Map,global,none,no,1,-,map;node,"Every map location is a single card - its suit is the kind of encounter, its rank the difficulty.",map,Already how the worldgen graph wants to be labelled; the card IS the node data.,draft:47-48,carried
Minesweeper reveal map,Map,global,none,no,1,-,map;reveal,The whole tour starts face down. You may only enter a node adjacent to one already revealed; entering reveals its neighbours.,map,"Fog of war the player clears by playing, not by buying vision.",draft:49,carried
Sevens are shops,Map,global,none,no,1,-,map;economy,"Every rank-7 node on the map is a trading hall, so the player can read the map's economy at a glance.",map,Rank-as-node-type; makes the map legible without inventing icons.,draft:50,carried
Rank probability rings,Map,global,none,no,1,-,map;generation,"The map generates as concentric rings of rank probability - higher ranks cluster toward the centre, so distance from the middle reads as danger.",map,Fits the worldgen graph bake and gives the route a shape to plan against.,draft:51,carried
Revealed cards act,Rule,grid-local,cell,no,1,-,spotlight;rule,Any card whose face is visible runs its effects; a face-down card runs nothing until something reveals it.,on_board_mutated,The blind that starts a face-down card on the board depends on this rule existing.,draft:56,carried
Grab from anywhere,Rule,grid-local,cell,yes,1,-,movement;rule,A stack may be lifted from any cell; an illegal stack may only be returned where it came from or sent to the Entrance.,on_can_grab_stack,"In the grid game placement is one-way by default, so this is an effect-granted verb rather than a rule.",draft:59,revived
Booking the next entrance,Skill,global,deck,no,1,Rare,deck-manip;map,"Clicking a card on the map sends it to the top of the deck, so it is the first Entrance card of the next show.",map,Lets the map shape the opening hand - a planning tool rather than a power spike.,draft:64,carried
Cards are currency,Economy,global,deck,no,1,-,economy;shop,There is no gold. A card's price is paid in cards drawn at random from your deck to the value of the price.,shop,The thinning pressure IS the economy. Keeps the deck honest without a separate cut-a-card service.,draft:65,carried
Gold card,Type,global,deck,no,1,Common,type;economy;token,Heavy denomination card - always sinks to the bottom of the deck after a shuffle and is only useful at a shop.,on_game_start,Implemented as TypeHeavy plus a token. Dead weight in the Ring is the price of being money.,draft:66,carried
Frankenstein,Skill,grid-local,h,yes,1,Rare,combo;destruction,Cue - merge this card with the cards directly above and below it into one three-rank card that keeps every stamp; the merged card stays in its cell.,on_trigger,Height makes this readable at last: the merge is visibly three storeys collapsing into one.,draft:67;random:2-17,revived
Sliced Bread,Skill,grid-local,h,yes,1,Uncommon,combo;count,"When this card scores, gain a point for every card between it and the nearest same-suit card further down its stack.",on_score,Reads perfectly on a vertical stack; on the old tableau it was invisible.,draft:68,revived
Double Trigger stamp,Stamp,grid-local,none,no,1,Uncommon,stamp;combo,This card's effects trigger twice.,on_trigger,Implemented as StampDoubleTrigger. The workhorse stamp.,draft:71-72;random:2-0,implemented
Revealing stamp,Stamp,grid-local,h,yes,1,Uncommon,stamp;spotlight,Triggers even while covered by cards above it in its stack.,on_trigger,Implemented as StampRevealing. Height stacking is exactly what makes it valuable now.,draft:73;random:3-0,implemented
Deck trigger stamp,Stamp,global,deck,no,1,Rare,stamp;deck-manip,This card's skill fires while it is still in the draw deck; the trigger animates above the deck slot so it is visible.,on_anything,Global by definition - a card in the deck belongs to no grid.,draft:74;random:4-0,carried
Brass Check stamp,Stamp,global,deck,no,1,Uncommon,stamp;economy,"On trigger, mint one Gold card onto the top of the deck.",on_trigger,The money-on-trigger seal with a circus name. Global because it writes to the deck.,draft:75;random:5-0,carried
Heavy type,Type,global,deck,no,1,Common,type;deck-manip,Sinks to the bottom of the deck on every shuffle.,on_game_start,Implemented as TypeHeavy.,draft:78-79,implemented
Light type,Type,global,deck,no,1,Common,type;deck-manip,Rises to the top of the deck on every shuffle - the reliable-draw counterpart to Heavy.,on_game_start,Trivially the mirror of TypeHeavy and worth printing for that reason.,draft:80,carried
Elemental types,Type,global,deck,no,1,Uncommon,type;deck-manip,"Earth sits at the bottom, Air at the top, Water moves one position per shuffle, Fire burns itself out of the deck after a set number of shows.",on_game_start,Four deck-position behaviours from one visual family; Fire overlaps Glass deliberately.,draft:81,carried
Whole-board submission,Rule,grid-local,board,yes,1,-,superseded;scoring,"The entire board was evaluated once, when the player pressed submit.",on_game_end,"SUPERSEDED - lines score the instant they complete, and End now only fires hooks.",draft:86-87,superseded
Row-wide poker hands,Rule,grid-local,x,no,1,-,scoring;poker,"A five-wide board is exactly a poker hand wide, which is why rows score as poker and columns as runs.",on_score,The load-bearing coincidence the whole design rests on.,draft:90,carried
Legal stacks only,Rule,grid-local,h,yes,1,-,stacking;rule,"A stack may only be lifted if it is internally legal; the rule lives on the topmost card's suit, not in the engine.",on_can_grab_stack,Implemented through the pip comparator. Height stacking reuses it unchanged.,draft:93,carried
Fifteens are an ability,Rule,grid-local,line,no,1,-,ruling;meld,Summing melds are too hard to see to be a default rule - they exist only when a card or rule card grants them.,design,Owner ruling. It is why The Fifteen is a rank and not a scoring default.,draft:96,carried
Rows poker columns runs,Rule,grid-local,x,no,1,-,scoring;ruling,"Horizontal lines score as poker hands, vertical lines as runs. The two axes score differently on purpose.",on_score,The identity of the two score gutters. Diagonals and height lines inherit the row reading.,draft:99,carried
Elemental movement types,Type,grid-local,h,yes,1,Uncommon,type;movement,"Card materials with custom stack behaviour - one always floats to the top of its stack, one always sinks to the bottom of it.",on_stack_cards,Height turns the old deck-position gimmick into a board-position one.,draft:102,revived
Show end conditions,Rule,global,none,no,1,-,rule;flow,"A show ends when the deck runs out, when the fame goal is met, or when the player presses End.",on_game_end,"End is now pressable at any time, which makes the deck-out case rare but not impossible.",draft:105,carried
Submit clears the board,Rule,grid-local,board,yes,1,-,superseded;flow,"Submitting scored everything and swept the board, with the Entrance dropping down into the empty space.",on_next,"SUPERSEDED - no sweep, no drop. A grid fills once and stays filled for the show.",draft:108,superseded
Ascending or descending stacks,Rule,grid-local,h,yes,1,-,stacking;rule,"The default stacking rule is adjacent rank and different suit, in either direction.",on_can_place_stack,Implemented in the pip comparator; unchanged by the flip except that stacks now grow upward.,draft:111,carried
Vertical poker hands,Skill,grid-local,y,no,1,Rare,rule;scoring,"Grants columns the poker reading in addition to their run reading, so one column can score twice.",on_score,"A rules card, not a default. It doubles a column's value and is priced for it.",draft:114,carried
Cards fall on their own,Rule,grid-local,y,no,1,-,superseded;entrance,Cards descended into the board automatically and could not be dragged there.,on_next,"SUPERSEDED - placement is entirely by hand now, which is the whole point of the overhaul.",draft:117,superseded
Top-down evaluation order,Rule,grid-local,y,no,1,-,scoring;order,Scoring walked the board a row at a time from the top so poker hands resolved before runs.,on_score,"Mostly superseded: a line scores when it completes, so the player now chooses the order.",draft:120-121,superseded
Rows times columns,Rule,grid-local,x,no,1,-,scoring;economy,The two axes multiply rather than add.,on_after_score,"Survives as the three-bucket product - row term times column term times special term, positive terms only.",draft:124,carried
Board state is an array,Rule,grid-local,grid,yes,1,-,architecture,"The board is data, not nodes - a flat cell array with a coordinate, never a scene-tree walk.",design,Now GridData with a four-component coordinate. The reason the geometry can be pure arithmetic.,draft:127,implemented
Trigger dispatch order,Rule,global,deck,no,2+,-,order;architecture,"Effects fire in one fixed order - field, deck top-down, then board left-to-right top-down including the Entrance, then discard newest first.",on_anything,Now walks every grid in turn. The iterator's order is a contract the tests pin.,draft:130,carried
Simultaneous lane scoring,Rule,grid-local,x,no,1,-,superseded;scoring,"All five lanes of a row were scored at once, returning the set of scored cards for the effect loop.",on_score,"Superseded in timing, kept in shape - a completed line still returns one section of cards.",draft:135-136,superseded
Elevated card list,Rule,grid-local,h,yes,1,-,scoring;vfx,Scoring returns the list of cards that should visibly rise.,on_after_score,"Still true, and the rise is now a spring up the stack rather than a hop.",draft:137,carried
Hop and shake on trigger,FX,grid-local,cell,no,1,-,vfx;juice,"Triggered cards hop and shake, and the triggering card is shown in the preview so the player can see what fired.",on_trigger,Implemented. The spring lift replaced the hop on the grid because cards now hang from their bottom edge.,draft:140,implemented
Triangle draft map,Map,global,none,no,1,-,superseded;map,Choosing one of three cards moved the player up a tier and permanently closed the other lanes.,map,"SUPERSEDED by the tour graph, which the worldgen addon already renders.",draft:145-147,superseded
Boss phases as terrain,Map,global,none,no,1,-,map;boss,"Every few tiers is a boss node, drawn as terrain rather than as a card.",map,Survives into the tour as the city-versus-town distinction.,draft:148-149,carried
Tilted viewport map,View,global,none,no,1,-,view;render,Render the 2D map to a viewport and tilt it for a cheap 3D table look.,map,"Cheap, and the picture-wall camera already does the equivalent trick.",draft:150,carried
Axis-marked score labels,View,grid-local,x,yes,1,-,hud;score,Row scores and column scores are visually distinguished so the player can read which axis paid.,on_after_score,"Now solved by position instead of punctuation - rows in the left gutter, columns below, specials to the right.",draft:153-154,carried
Poker Hand of the Four Above,Skill,grid-local,h,yes,1,Rare,combo;poker,"When this card scores, it and the four cards above it in its stack are also scored as a poker hand.",on_score,"The card that most wants height to exist. Dead on a flat board, excellent on a tall one.",draft:157-158;random:3-6,revived
Every Fifth Card,Skill,grid-local,y,no,1,Uncommon,combo;poker,Every five cards down a column are read as an extra poker hand.,on_score,Long-column play; only reachable once a grid is stacked above height four.,draft:159,revived
Spiderweb,Skill,grid-local,x,no,1,Uncommon,formation;combo,Scores one point per card diagonally adjacent to it and again per card orthogonally adjacent - a cross laid over an X.,on_score,The purest placement card in the notes and the reason diagonals got their own bucket.,draft:160;random:5-6,carried
Skill taxonomy,Meta,global,none,no,1,-,taxonomy;design,"Skills are classified by verb - score, reposition, amplify, rewrite rules, manipulate the deck, cull, alter other skills, persist, spawn minigames, create temporary cards, cost something.",design,The classification the catalog's groups column encodes. Any new skill should land in one of these.,draft:163;random:1-5,carried
Score verbs,Meta,global,line,no,1,-,taxonomy;scoring,"New ways to score - new melds, new geometries, new buckets.",design,The largest and most inflationary family; the three-bucket product is what keeps it bounded.,draft:164;random:1-6,carried
Reposition verbs,Meta,grid-local,x,yes,2+,-,taxonomy;movement,"Ways to move cards after placement - swap, slide, launch, wrap, cross grids.",design,"The grid made this family enormous, because a coordinate now means something.",draft:165;random:1-7,carried
Amplify verbs,Meta,grid-local,line,no,1,-,taxonomy;scoring,Ways to increase the points existing cards already produce.,design,Multiplicative effects need the tightest costing; they compound with everything.,draft:166;random:1-8,carried
Rule-change verbs,Meta,global,none,no,1,-,taxonomy;rule,"Cards that edit the rule deck itself - stacking legality, meld legality, placement legality.",design,The most powerful family and the reason the rule deck is hidden by default.,draft:167;random:1-9,carried
Deck-manipulation verbs,Meta,global,deck,no,1,-,taxonomy;deck-manip,"Ways to see, order, fetch or plant cards in the draw deck.",design,Information is power in a game where placement is committed.,draft:168;random:1-10,carried
Cull verbs,Meta,global,deck,no,1,-,taxonomy;destruction,Ways to remove cards you no longer want from the deck.,design,Thinning is the economy's other half; the shop pays in cards for exactly this reason.,draft:169;random:1-13,carried
Meta-effect verbs,Meta,global,none,no,1,-,taxonomy;meta-effect,Cards that change how other skills work rather than doing anything themselves.,design,"Echoing Trigger is the shipped example. They multiply testing cost, so keep them few.",draft:170;random:1-14,carried
Persistence verbs,Meta,global,none,no,1,-,taxonomy;persistence,Effects that survive into the next show.,design,Carried by RunState rather than GameData; the boundary is the save format's.,draft:171;random:1-16,carried
Minigame verbs,Meta,global,none,no,1,-,taxonomy;event,Cards that open a small self-contained game inside the show.,design,Deferred by the recommendations as system multiplication; the event nodes host them instead.,draft:172;random:1-18,carried
Temporary-card verbs,Meta,global,deck,no,1,-,taxonomy;token,Cards that create cards which do not survive the show.,design,The mirror-deck blind is the biggest single user of this family.,draft:173;random:1-17,carried
Priced-card verbs,Meta,global,none,no,1,-,taxonomy;gamble,Cards whose power is paid for with an ongoing cost rather than a purchase price.,design,White Elephant is the archetype. The blind weights borrow the same idea.,draft:174;random:1-15,carried
Dot-art star flow,FX,global,none,no,1,-,background;vfx,Background of drifting dot-art starfield behind the picture wall.,background,Cheap parallax that does not compete with card art; the warm-foreground rule keeps it cold.,draft:177,carried
Guaranteed early draw,Skill,global,deck,no,1,Uncommon,deck-manip;economy,Cards acquired this show are guaranteed to appear in the first Entrance refills of the next show.,on_game_start,Solves the bought-it-never-saw-it problem that makes shops feel bad.,draft:180,carried
Score swirl,FX,grid-local,board,yes,1,-,vfx;score,At show end the board's cards swirl up and dissolve into the score numerals as they tally.,on_game_end,"The end-of-show payoff moment, now that scoring itself is spread across the whole show.",draft:183,carried
Null card,Type,grid-local,cell,no,1,Common,type;formation,"Occupies a cell and highlights on hover, but has no rank or suit and scores nothing.",on_card_placed,Spatial filler that teaches that position is not points. Also the enemy of the empty-tile blind objective.,draft:186,carried
2D graphics study,Meta,global,none,no,1,-,reference;art,"Reference talk on 2D game graphics, kept as art-direction source.",design,Reference only.,draft:189,carried
Prototype checklist,Meta,global,none,no,1,-,todo;shipped,"The original prototype list - menu, settings, map, match-to-match flow, escalating goal, deck viewer, deck maker, saving.",design,Almost entirely shipped; kept as the record of what the first milestone was.,draft:192-193,implemented
Balatro-shaped settings,Meta,global,none,no,1,-,todo;ui,Menu and settings modelled on Balatro's until there is a reason to differ.,menu,Shipped.,draft:194-196,implemented
Star-wars card scroll,FX,global,none,no,1,-,ui;pack,"Card choices scroll away downward as they are picked, spawning more above.",shop,The pack-opening presentation; still unbuilt and still wanted.,draft:197-199,carried
Match-to-map return,Rule,global,none,no,1,-,flow;map,Finishing a show returns to the map with the run state intact.,on_game_end,Shipped through RunManager.,draft:200-201,implemented
Escalating goal,Rule,global,none,no,1,-,flow;difficulty,Each show raises the fame needed to clear the next.,on_game_start,Shipped. The goal-curve refit is still open as its own phase.,draft:202-203,implemented
BigNumber scores,Rule,global,none,no,1,-,architecture;score,"Scores exceed 64-bit range, so every score container is a mantissa-exponent BigNumber.",on_score,"Shipped, and invisible to duplicate_deep - every score container needs a hand-written copy.",draft:204-205,implemented
Deck viewer,View,global,deck,no,1,-,ui;deck,"Hovering the deck opens a viewer that builds card visuals lazily as you scroll, so a huge deck never loads at once.",deck,"Shipped, including the lazy build.",draft:206-209,implemented
Future-card preview,View,global,deck,no,1,-,ui;deck,Show the next cards to be drawn above the Entrance slots rather than inside the deck viewer.,on_refill,Still wanted; the Entrance is the right place because that is where the decision is made.,draft:210,carried
Deck viewer sorter,View,global,deck,no,1,-,ui;deck,"Sort the deck viewer by rank, suit, class or trigger.",deck,The trigger sort is the one that matters - it answers what will fire from the deck.,draft:211,carried
Deck maker,View,global,deck,no,1,-,tooling;deck,"A deck editor for building test decks, later exposed as a prestige unlock.",design,Shipped as a tool; the player-facing unlock is still meta-layer work.,draft:212-213,implemented
Saving,Rule,global,none,no,1,-,architecture;save,The run and the show both survive being closed mid-play.,on_game_end,Shipped. The grid's score buckets pack into parallel float and int arrays to do it.,draft:214,implemented
Visible-to-trigger,Rule,grid-local,h,yes,1,-,spotlight;rule,A skill fires only while its card is unblocked - the Spotlight.,on_spotlight,Shipped. Height stacking made covering a real decision instead of an accident.,draft:215-216,implemented
Hidden trigger,Stamp,grid-local,h,yes,1,Uncommon,stamp;spotlight,Fires while covered.,on_trigger,Shipped as StampRevealing.,draft:217,implemented
Deck trigger display,View,global,deck,no,1,-,ui;deck,A card triggering from inside the deck animates above the deck slot so the player can see it happen.,on_trigger,"Without this, deck triggers are invisible and read as bugs.",draft:218-220,carried
First hand only,Skill,grid-local,line,no,1,Rare,rule;scoring,Only the first poker hand scored in a line counts; later ones are ignored.,on_score,"A restriction card, priced as a downside that another card pays you to run.",draft:221-222,carried
Any card may be placed here,Skill,grid-local,cell,no,1,Uncommon,rule;stacking,This card accepts any card on top of it regardless of stacking legality.,on_can_place_stack,The stacking rules are modifiable by design; this is the simplest possible proof of it.,draft:223-224,carried
Hungry Hippo,Skill,grid-local,cell,yes,1,Uncommon,destruction;growth,"Consumes any card dropped onto it and adds that card's rank to its own, up to a cap.",on_card_dropped_on,Shipped as SkillHungryHippo. The cap is what keeps it from eating a whole grid.,draft:225-226;random:2-14,implemented
Moving elemental types,Type,grid-local,x,no,1,Rare,type;movement,Card materials that relocate themselves on the board between placements rather than in the deck.,on_board_mutated,The grid gives this a coordinate to move along at last.,draft:227,revived
Ring banding,View,grid-local,y,no,1,-,view;ring,Every fifth row is drawn in a warmer band so depth is readable at a glance.,design,Ties the visual to the performance-ring scoring bands.,draft:230,carried
Depth multiplier,Rule,grid-local,h,yes,1,-,scoring;ring,"Points increase with the layer they are scored on - the higher the line, the larger the band multiplier.",on_score,"The reward for stacking upward, and the counterweight to covering your own skills.",draft:231,carried
Only first poker hand,Rule,grid-local,line,no,1,-,scoring;rule,A line scores only its single best hand.,on_score,"Shipped as SkillEvalPokerBest - it is the default evaluator, not a variant.",draft:232,implemented
Score from deck and discard,Rule,global,deck,no,1,-,scoring;rule,"Scoring also considers cards in the deck and the discard, not only the board.",on_score,"A rules card. Global by definition, and one reason effect scope had to become explicit.",draft:233,carried
Every card on the map,Map,global,none,no,1,-,map;collection,Every card in the game appears somewhere on the tour map as an obtainable node.,map,Turns the map into the collection screen; strong pull for the completion loop.,draft:234,carried
Quests,Meta,global,none,no,1,-,deferred;meta,"Per-run objectives in the TFT sense, granting rewards mid-run.",design,Deferred by the recommendations as system multiplication - the blind objectives absorbed the idea.,draft:241,carried
Self-upgrading cards,Skill,grid-local,none,no,1,Rare,growth;meta,A card that permanently becomes a stronger version of itself once a condition is met during the run.,on_after_score,"The draft asks whether this differs from an effect at all - it does not, except in presentation, which is the point.",draft:242-243,carried
Pip comparator,Rule,grid-local,cell,no,1,-,architecture;stacking,"One resolver class decides every pip-versus-pip interaction, gathering allow and deny votes into a whitelist and a blacklist.",on_can_place_stack,Shipped as PipComparator. A deny beats an allow.,draft:248,implemented
Pip visual classes,Rule,global,none,no,1,-,architecture;art,"Each pip owns its visuals as well as its rules, so a new suit is one class.",design,Shipped. Adding a suit is genuinely one file.,draft:249,implemented
Stacking by resolver,Rule,grid-local,cell,no,1,-,architecture;stacking,The comparator decides stacking legality by collecting every allow and every deny across the board; one deny beats every allow.,on_can_place_stack,Shipped. The blacklist-wins rule is what makes restriction cards reliable.,draft:252-253,implemented
Pips carry their own scoring,Rule,grid-local,line,no,1,-,architecture;scoring,"A pip class may add static scoring methods of its own, so a new suit can bring a new meld with it rather than editing the evaluator.",on_score,The extension point that keeps the evaluator from growing a branch per suit.,draft:256-258,carried
Pip effects are always live,Rule,grid-local,cell,no,1,-,ruling;spotlight,A pip's effect is permanently active and is not gated by the Spotlight; only skills are.,on_anything,Owner ruling. It is why suit props fire from covered cards but skills do not.,draft:259,carried
Wild pip,Rank,grid-local,cell,no,1,Rare,rank;copy,Its own pip class that remembers the last pip it copied and behaves as that until it recopies.,on_board_mutated,Tracking the previous pip inside itself is what makes it deterministic across an undo.,draft:260,carried
Chameleon pip,Rank,grid-local,line,no,1,Rare,rank;copy,"Chooses itself at random from the pips already present in its own row, its own column, or the whole grid.",on_board_mutated,Grid-local by construction - the sample set is the grid. Needs a re-roll rule pinned so undo is stable.,draft:261,carried
Cycling pip visuals,FX,grid-local,cell,no,1,-,vfx;rank,"A wild pip animates through the faces it could be, settling on the one it currently is.",on_board_mutated,"The visual has to update on every board revision, which is why it rides the revision counter.",draft:262,carried
Stacking first pips later,Meta,global,none,no,1,-,design;ruling,Get the stacking and scoring resolver right before designing exotic pips; the resolver is what makes exotic pips cheap.,design,Vindicated - the comparator shipped first and every pip since has been one file.,draft:263,carried
Deterministic randomness,Rule,global,none,no,1,-,architecture;determinism,"Every random draw comes from a seeded stream the engine cannot perturb, so a replay reproduces exactly.",on_game_start,"Non-negotiable for undo, resume and seed sharing. Seed offsets must themselves be seeded.",draft:266,carried
Show-all-actives button,View,grid-local,h,yes,1,-,ui;spotlight,A half-open eye button that opens fully and pushes covering cards aside so every active card's art is visible.,design,Disabled while a stack is held. The alternative - glow only - is cheaper and may be enough.,draft:269-271,carried
Compress-board button,View,grid-local,board,yes,1,-,ui;readability,"Collapses the whole board into a flavourless sheet - pips and skill names only, dimmed when inactive - so a tall board can be read at a glance.",design,The tall-stack readability answer. Picking up a stack in this mode lifts a stiff column.,draft:272,carried
Exchange Voucher,Skill,global,deck,no,1,Rare,consumable;deck-manip,Usable from inside the deck - swap it with any card currently on screen.,on_anything,"Global, and one of the few cards that acts while undrawn.",draft:275,carried
Every button is a card,Rule,global,none,no,1,-,diegetic;ui,"Shop rerolls, End, and every other button are themselves cards played on a board.",design,The strongest diegetic idea in the notes and the one with the largest UI cost.,draft:276,carried
Right-click to cue,Rule,grid-local,cell,no,1,-,ui;charges,Cueing a card is a right click; cued cards carry a glowing border that clears when the last charge is spent.,on_trigger,"Rotation is unavailable in a grid cell, so the border does the work a tap rotation would.",draft:279,carried
No node parenting,Rule,grid-local,h,yes,1,-,architecture;view,Cards are not scene-tree children of the cards below them; the stack is data and the view derives position from it.,design,"Shipped, and it is why a stack can spring, ease and reveal without fighting inherited transforms.",draft:282,implemented
Sin of Gluttony,Skill,global,deck,no,1,Legendary,destruction;growth,"Uncapped Hungry Hippo - feeds from anywhere including the deck and the discard, and never returns what it eats.",on_card_dropped_on,"Global because it reaches into the deck. The uncapped rank is the whole card, so it must cost accordingly.",draft:285,carried
Uniqueness multiplier,Rule,grid-local,line,no,1,-,scoring;combo,"The multiplier rises by one for every distinct effect triggered, not for every trigger.",on_trigger,Shipped as the combo class set. It is the anti-hyperfocus lever the whole economy leans on.,draft:288,carried
Static texture table,Rule,global,none,no,1,-,architecture;art,One static class holds every sheet and its frame layout so art lookups never go through the filesystem twice.,design,Shipped.,draft:291,implemented
The Rule Deck,Rule,global,none,no,1,-,architecture;rule,"A deck the player cannot see that holds one card per default rule - stacking, scoring, zone creation, grid allotment.",on_game_start,Shipped and load-bearing. Changing the game is changing its cards.,draft:294-296,implemented
Default stacking card,Rule,grid-local,cell,no,1,-,rule;stacking,The rule card that defines legal stacking. Remove it and nothing may be stacked at all.,on_can_place_stack,Shipped.,draft:297,implemented
Default scoring card,Rule,grid-local,line,no,1,-,rule;scoring,The rule card that defines which melds score. Replacing it is how a deck changes the whole scoring vocabulary.,on_score,Shipped as the poker evaluator plus the line detector.,draft:298,implemented
Rule deck metagame,Meta,global,none,no,1,-,meta;rule,"Over a run the player adds cards to and removes cards from the rule deck, permanently changing that run's game.",design,The long-term content engine. Ascensions and blinds are both writes to this deck.,draft:299-300,carried
Boss effects are rule cards,Blind,global,none,no,1,-,blind;rule,"A blind is a temporary card added to the rule deck, defined as destroying itself when the show ends.",on_game_start,"The whole blinds category rides on this - no new system, just cards with a lifetime.",draft:301,carried
The Universal Deck,Rule,global,none,no,1,-,rule;naming,"Names considered for the rule deck - Universal, Fundamental, Rule.",design,Rule Deck won in the code. Keep one name.,draft:302,carried
Vouchers go in the play deck,Rule,global,deck,no,1,-,rule;economy,"Voucher-style permanent upgrades sit in the main deck rather than the rule deck, so they can be drawn and seen.",shop,Keeps the rule deck for rules and the play deck for cards.,draft:303,carried
