seen?,name,historical_reference,card_art,rarity,cost,effect,pseudocode,groups,why_fun,balance,scope,axis,needs_height,needs_grids,status,source
Vetoed (reference can be recycled),The Ringmistress,Mollie Bailey and Agnes Lake — women who owned and ran American circuses,A Queen in a scarlet tailcoat cracking a whip of ribbon,Common,1,Face rename: Queens are Ringmistresses. Counts as a Producer-class card for group effects.,"class PipRankRingmistress extends PipRankNumeral:  # rank 12
  func get_class_tag() -> StringName: return &'Producer'",pip;Producer,Same trick as the Joey — the court becomes staff you can build around.,Tag-only value; needs class payoffs to beat a plain Queen.,grid-local,none,no,1,,pre-grid catalog
Vetoed (reference can be recycled),The Impresario,James A. Bailey — the logistics genius behind Barnum's name,"A King buried in route maps, one gloved hand raising a train whistle",Common,1,Face rename: Kings are Impresarios. Counts as a Producer-class card and gives +1 trade value when spent at shops.,"class PipRankImpresario extends PipRankNumeral:  # rank 13
  func get_class_tag() -> StringName: return &'Producer'
  func trade_value() -> int: return 1 + base_trade_value()  # shop layer reads this",pip;Producer;economy,Kings become walking gift certificates — spending face cards finally feels right.,The +1 only matters if you sell him; in the Ring he is a vanilla King.,global,deck,no,1,,pre-grid catalog
Vetoed (reference can be recycled),The Headliner,Top billing on circus posters; the real solitaire ace rule,"An Ace as a spotlit performer alone on the poster, name in lights",Uncommon,2,"Face rename: Aces are Headliners. A Headliner counts HIGH or LOW in runs (1 or 14), decided at evaluation time in your favor.","class PipRankHeadliner extends PipRankNumeral:
  func on_compare_ranks(a, b) -> float:
    # answer both 1-adjacent and 13-adjacent as valid neighbors
    if is_ace(a): return best_of(compare_as(1, b), compare_as(14, b))
    return NAN  # fall through to numeric",pip;movement;combo,"Answers the notes' own question — yes, Aces are the actual performers, and duality is a real spatial decision.","Flexibility, not power: still one card, and greedy high/low reads can wreck a planned run.",grid-local,x,no,1,,pre-grid catalog
Added (makes more sense as hat),Half-Step,Sideshow in-between acts; HalfStepRank already stubbed in the code,"A pip painted as five and a half stars, the half star winking",Uncommon,2,Rank N½: stacks legally between N and N+1 in runs but never participates in poker melds.,"# stub exists: HalfStepRank
class PipRankHalfStep extends PipRank:
  func on_compare_ranks(a, b) -> float:
    return compare_fractional(a, b)  # 5.5 sits between 5 and 6
  # Scoring: excluded from hand evaluation (returns no meld rank)",pip;movement;freakshow,Glue for impossible runs — the fixer card that smooths a broken column.,Its column run gets longer but the poker axis loses a card: a real toll.,grid-local,h+line,yes,1,,pre-grid catalog
Added (made into talent),The Fifteen,"Cribbage — invented by Sir John Suckling, 17th-century poet and card sharp",A pip of two dice faces summing fifteen inside a brass ring,Uncommon,2,"This card ALSO melds with any adjacent neighbors whose ranks sum to 15 with it (the demoted cribbage rule — an ability, not a default).","class PipRankFifteen extends PipRankNumeral:
  func on_score_row(row : Array[CardData]) -> void:
    for pair : Array[CardData] in neighbor_sums(row, data, 15):
      game.add_line_score(row_of(data), FIFTEEN_PTS)
      game.register_combo(combo_key())",pip;combo;Special Effects,Resurrects the vetoed cribbage scoring exactly as the veto asked — as a rare ability you hunt sums for.,Arithmetic tax: you warp placements chasing 15s that a flush would have paid better.,grid-local,x,no,1,,pre-grid catalog
Added (added effect that it randomly acts as any prop from the game),The Best Bower,"The Joker — born as Euchre's Best Bower in 1860s America, the deck's newest card",A grinning jester pip peeking from behind a fanned deck,Uncommon,2,This card counts as EVERY suit for flush evaluation (never for suit-stacking rules).,"class PipSuitBower extends PipSuit:
  func on_compare_suits(a, b) -> float:
    if in_scoring_pass(): return 1.0  # matches all suits for melds
    return NAN                        # stacking uses real comparisons
  func spawn_props(origin, count): return []",pip;combo,The flush enabler every suit build wants — and an open Balatro homage.,Spawns no props (no suit effect at all); pure meld grease.,grid-local,h+line,yes,1,,pre-grid catalog
"Modified (either talent that splits into two halves down middle, or becomes two cards where rank is half. recombines on score as its own meld)",The Half Card,"Johnny Eck, 'The Amazing Half-Boy' — performer, artist, sawing-gag legend","Literally the top half of a card, cleanly cut, standing proud",Rare,3,"Half rank (rounds down), half size: TWO Half Cards occupy one board slot together and meld as one combined card.","class PipRankHalf extends PipRank:
  func on_can_place_stack(stack, dest) -> Variant:
    if is_half(dest.top()) and is_half(stack.head()): return true  # co-slot
    return null
  # Scoring: co-slotted pair evaluates as one card of summed rank",pip;movement;freakshow,Two acts in one slot — board compression as a collectible.,Alone it is a weak half-rank; the payoff needs the pair drawn and placed together.,grid-local,h+cell,yes,1,remapped: one board slot becomes one grid cell.,pre-grid catalog
vetoed (2 suit suit is boring),Harlequin,Arlecchino's diamond motley — the visual ancestor of harlequin card backs,A pip diamond-patterned in two suit colors at once,Rare,3,"Dual-suit pip: this card counts as BOTH printed suits for every comparison, meld, and suit effect (both props fire).","# MultiSuit stub already commented in pip_comparator.gd
class PipSuitHarlequin extends PipSuit:
  var a : PipSuit; var b : PipSuit
  func on_compare_suits(x, y): return best_of(a.compare(x,y), b.compare(x,y))
  func spawn_props(origin, count): return a.spawn_props(origin,1) + b.spawn_props(origin,1)",pip;prop;combo,"One card, two flushes, two prop volleys — the placement puzzle squared.",Cannot stack on either of its suits (both count); double props double the chaos you must plan for.,grid-local,line,no,1,,pre-grid catalog
vetoed (already have fire and knives),The Fire-Knife,"Samoan siva afi — the ailao war dance, machete wrapped in burning towels",A spinning machete wreathed in flame trails against night,Rare,3,Fixed dual-suit card: Knives AND Flames simultaneously — knife props fly the row while Burning drops down the column.,"class PipSuitFireKnife extends PipSuitHarlequin:
  func _init() -> void:
    a = PipSuitKnife.new()
    b = PipSuitFire.new()  # both spawn_props volleys fire per meld",pip;prop;status;combo,The one-card argument for dual suits: a whole act in a single scored card.,Feeds both prop economies at half focus; suit-hate towns punish it twice.,grid-local,x+y,no,1,,pre-grid catalog
Added (is any rank instead),The Wildcard,"The user's wild pip: tracks the previous pip inside itself, rerolled from the board","A pip of shifting stained glass, mid-transformation",Rare,4,"Wild pip: on every board change it becomes a copy of a rank/suit currently present in its row, chosen deterministically. Cycling visuals show the current identity.","class PipRankWild extends PipRank:
  var mimic : PipRank
  func on_anything(...) -> void:  # cheap: recompute only on revision change
    mimic = pick_from_row_hash(data, game.state.revision)  # deterministic, no RNG
  func on_compare_ranks(a, b): return mimic.on_compare_ranks(a, b)",pip;random;deck-manip,A shapeshifter you can herd — move its neighbors and you choose what it becomes.,"You never fully control it; a bad row makes it a bad card, and it re-rolls when you least want.",grid-local,x,no,1,,pre-grid catalog
Vetoed (??? wtf is this),The Forged Ace,The English Ace of Spades duty stamp — forging it hanged Richard Harding in 1805,"An ornate Ace of Spades a little TOO ornate, ink still wet",Legendary,7,"Event-granted counterfeit: enormous rank (counts as two Aces in melds). If any inspection effect or Prepared Town examines it, it is destroyed and this show's fame payout is voided.","class PipRankForgedAce extends PipRankNumeral:
  func on_score(result) -> void: game.add_line_score(row_of(data), FORGERY_PTS)
  func on_mod_triggered(mod) -> void:
    if mod is InspectionEffect:
      game.defer(func(): game.destroy_card(data); game.state.void_fame = true)",pip;gamble;event-granted;secret,History's highest-stakes single card — every inspection event becomes a heart attack.,"One inspection doesn't just kill the card, it hangs the whole show's payout.",grid-local,none,no,1,,pre-grid catalog
Added,Paper,The printed playing card itself — cheap stock democratized the deck,A plain card stock texture with a faint watermark,Common,1,Default material. No modifier behavior; the baseline every other type upgrades.,"# IMPLEMENTED: TypePaper — the no-op default type
class TypePaper extends CardModifierType:
  pass  # exists so every card has a type slot filled",type,The floor everything else is measured against.,It is the absence of an effect — strictly outclassed by any real material.,grid-local,cell,no,1,,pre-grid catalog
,Canvas,The big top itself — canvas bosses and roustabouts raised it town after town,A tight weave of tent canvas with a stitched patch,Common,1,Sturdy material: the first debuff/status applied to this card each show is discarded (canvas shrugs it off).,"class TypeCanvas extends CardModifierType:
  var shrugged : bool = false  # per-show flag lives on GameData.type_state
  func on_game_start() -> void: game.state.type_state[data] = false
  func on_mod_triggered(mod) -> void:
    if mod is CardModifierStatus and not game.state.type_state[data]:
      game.state.type_state[data] = true
      game.defer(func(): data.remove_status(mod))",type;protection,Quiet insurance that makes hazard towns feel beatable.,Only the FIRST hit; sustained status pressure goes straight through.,global,deck,no,1,,pre-grid catalog
,Ticket Stub,"'Annie Oakley' — circus slang for a punched free ticket, after her card-shooting act","A punched pasteboard ticket, one hole shot clean through",Common,1,"Currency chit: worth double trade value at shops, scores 0 and never melds in the Ring.","class TypeTicketStub extends CardModifierType:
  func trade_value() -> int: return 2 * RULES_BASE_VALUE  # shop layer
  # Scoring exclusion: card contributes no rank to melds",type;economy;token;Producer,Small denominations for the cards-as-currency economy — pocket change that feels like loot.,Dead weight on the board; every stub drawn is a mulligan you did not get.,global,grid+deck,no,2+,,pre-grid catalog
,Sawdust,The sawdust ring — Astley's original 42-foot horse ring floor,A soft pile of golden sawdust holding the print of a vanished card,Common,1,"When this card is discarded from the Ring, its board slot keeps a sawdust marker: the next card placed there gains +points on its first score.","class TypeSawdust extends CardModifierType:
  func on_discard() -> void:
    game.state.slot_marks[locate(data)] = SAWDUST  # per-show state on GameData
  # scorer consults slot_marks in on_score and clears the mark",type;discard;Concessions,Makes discarding SPATIAL — you salt the ground where the next act will stand.,"Pay now, collect later, and only if you actually replant that exact slot.",global,cell+grid,no,2+,,pre-grid catalog
,Heavy,Robert-Houdin's Light and Heavy Chest — weight as a trick,A card sagging with iron rivets along its border,Common,1,"Material: after any shuffle or return to deck, this card sinks to the deck bottom. Gold token cards use this.","# IMPLEMENTED: TypeHeavy
class TypeHeavy extends CardModifierType:
  func on_append() -> void:  # entering a deck
    game.defer(func(): game.sink_to_bottom(data))",type;deck-manip,Predictable gravity — you always know where the gold is.,Bottom of the deck is the last card you will ever draw; heavy value is slow value.,global,deck,no,1,,pre-grid catalog
,Helium,The Light material's named form (adopted from the §14.5 summary list),A card straining upward against its own string like a parade balloon,Common,1,Material: after any shuffle or return to deck this card rises to the top; during Next it is always the first card drawn.,"class TypeHelium extends CardModifierType:
  func on_append() -> void:
    game.defer(func(): game.raise_to_top(data))",type;deck-manip,Guarantees your engine piece shows up NOW — tempo you can print on a card.,Always drawn first means always exposed first — hazards and discards find it too.,global,deck,no,1,,pre-grid catalog
,Air,"Early materials list: Earth, Air, Water, Fire with custom movement","A card of pale cloud, edges wisping away",Uncommon,2,"Elemental material: whenever its stack settles, this card floats to the TOP of its stack.","class TypeAir extends CardModifierType:
  func on_stack_cards(stack) -> void:
    if not is_top(data, stack):
      game.defer(func(): Board.move_stack(game.state, data, Board.OnTop.new(stack.top())))",type;movement,A card that insists on the spotlight — self-sorting stacks feel alive.,"It hogs the topmost (active) slot, smothering whatever skill you WANTED spotlit.",grid-local,h,yes,1,,pre-grid catalog
,Earth,"Early materials list: Earth, Air, Water, Fire with custom movement","A card of packed loam and root, heavier at the base",Uncommon,2,"Elemental material: whenever its stack settles, this card sinks to the BOTTOM of its stack, carrying its stamp with it.","class TypeEarth extends CardModifierType:
  func on_stack_cards(stack) -> void:
    if not is_bottom(data, stack):
      game.defer(func(): Board.move_stack(game.state, stack.below(data), Board.OnTop.new(data)))",type;movement,Foundation cards that dig in — build the column ON it and it never gets in the way.,Buried means covered: without Revealing its skill is dark all game.,grid-local,h,yes,1,,pre-grid catalog
,Water,Early materials list; Vietnamese water puppetry — performers hidden waist-deep,"A card of rippling water, reflections of its neighbors on its face",Uncommon,2,"Elemental material: on Next, if an adjacent column is shorter, this card flows sideways into it (always seeking the lowest level).","class TypeWater extends CardModifierType:
  func on_next() -> void:
    var dest : int = shortest_adjacent_column(data)
    if dest != -1:
      game.defer(func(): Board.move_stack(game.state, data, Board.ColumnEnd.new(1, dest)))",type;movement,Self-leveling boards — it patches your thin columns while you look elsewhere.,It WILL wander out of the meld you were building; water does not take direction.,grid-local,h+x,yes,1,superseded: its premise is the drop-down - flowing sideways into a shorter column on Next. Revivable as flowing into the shorter neighbouring STACK at each refill. | seen-flag reset (Q284=b): this row was reviewed under the tableau design.,pre-grid catalog
,Tinder,"Early materials list; the fire triangle — fuel, heat, spark","A card of dry kindling and pitch, one corner already charring",Uncommon,2,"Elemental material: whenever this card is covered by another card, the covering card catches Burning.","class TypeTinder extends CardModifierType:
  func on_card_dropped_on(dropped) -> void:  # fires on automated drops
    var st : StatusBurning = StatusBurning.new()  # duplicate at application
    game.defer(func(): dropped.add_status(st))",type;status;prop,A trap material — you PLANT it and let the game stack fuel on it.,Burning multiplies suit count only on cards that score again; random coverage wastes it.,grid-local,h,yes,1,,pre-grid catalog
,Stone,TypeStone stub in code; the notes' 'cards that can resist being moved',"A card of chiselled granite, moss in the pip grooves",Uncommon,2,Material: once placed in the Ring this card cannot be grabbed again (blacklist wins). It scores +bonus for standing firm.,"# stub exists: TypeStone — finish it as the Immovable material
class TypeStone extends CardModifierType:
  func on_can_grab_stack(stack) -> Variant:
    if stack.contains(data) and in_ring(data): return false  # deny wins
    return null
  func on_score(result) -> void: game.add_line_score(row_of(data), STONE_PTS)",type;movement;protection,Commitment as a mechanic — placing it is a promise the board must keep.,A misplaced Stone is a permanent wall in your own Ring.,grid-local,h+grid,yes,2+,,pre-grid catalog
,Rosin,Rosinback horses — dusted with rosin so bareback riders stick,"A card dusted white, a bootprint stuck fast to its face",Uncommon,2,"Sticky material: cards placed onto this card cannot be picked up again, but score +1 performance ring deeper than they stand.","class TypeRosin extends CardModifierType:
  func on_can_grab_stack(stack) -> Variant:
    if sits_on(stack.head(), data): return false
    return null
  func on_score_col(col) -> void: game.add_line_score(col_of(data), ring_bonus(data))",type;movement;formation,Commitment for reward — you glue your best act down on purpose.,Everything it holds is held FOREVER this show; rescue is impossible.,grid-local,h+grid,yes,2+,,pre-grid catalog
,Glass,Magic-lantern slides; the notes' own 'kind of like a glass card',"A translucent card, light refracting through a hairline crack",Uncommon,2,Material: double points when scored. Shatters (destroyed) permanently after its third score.,"class TypeGlass extends CardModifierType:
  func on_score(result) -> void:
    game.add_line_score(row_of(data), base_points(data))  # doubling
    game.state.glass_counts[data] = game.state.glass_counts.get(data, 0) + 1
    if game.state.glass_counts[data] >= 3:
      game.defer(func(): game.destroy_card(data))",type;destruction;gamble,Borrowed brilliance with a countdown — every score is louder because it is numbered.,"You are burning the candle: three shows of glory, then a hole in the deck.",grid-local,none,no,1,,pre-grid catalog
,Wax,"Barnum's American Museum waxworks — burned down, twice","A card slowly slumping, one pip drooping like a candle",Uncommon,2,"Material: at each show end, lose 1 rank for every Flames-suit card that shared its column this show. Melts to nothing at rank 0.","class TypeWax extends CardModifierType:
  func on_game_end() -> void:
    var heat : int = flames_shared_column_count(data)  # tracked on GameData
    data.rank = max(0, data.rank - heat)
    if data.rank == 0: game.defer(func(): game.destroy_card(data))",type;status,Environmental storytelling — the deck itself remembers who it stood next to.,Free value in fireless decks; a liability the moment you draft Flames.,global,y,no,1,,pre-grid catalog
,Flash,"Juggling slang: a 'flash' — all props thrown once, nothing sustained","A card mid-camera-flash, image overexposed white",Uncommon,2,Material: the FIRST time this card would score each show it scores triple; every later score that show is zero.,"class TypeFlash extends CardModifierType:
  func on_score(result) -> void:
    if not game.state.flashed.has(data):
      game.state.flashed.append(data)  # per-show list on GameData (undo-safe)
      game.add_line_score(row_of(data), 2 * base_points(data))
    else:
      negate_score(result, data)  # NEEDS NEW HOOK: score negation seam",type;combo;gamble,Choreography skill: WHEN a card enters scoring becomes the whole decision.,"Multi-scoring engines (Hoops, Encore, Double Trigger) actively waste it.",global,none,no,1,,pre-grid catalog
,Digital,"The notes' 'Digital card, cannot discard from board'",A card of glowing scanlines that flickers when touched,Uncommon,2,"Material: this card cannot be discarded from the board by any effect — hazards, discards, and board clears leave it in place.","class TypeDigital extends CardModifierType:
  func on_discard() -> Variant:
    if on_board(data): return DENY  # NEEDS NEW HOOK: cancellable on_discard
    return null",type;protection,An anchor the weather cannot blow away — Blowdown towns hate it.,It also refuses YOUR discards; you cannot cycle it when it clogs a column.,global,deck,no,1,,pre-grid catalog
,Null,"The notes' null cards — space-takers, highlighted when selected",An empty card frame around bare table felt,Uncommon,0,"Junk material inserted by hazards: takes up a slot, scores nothing, melds nothing. Highlighted when selected so hover reads clearly.","class TypeNull extends CardModifierType:
  func on_compare_ranks(a, b): return NAN  # never stacks into runs
  # Scoring exclusion: contributes nothing; exists to occupy space",type;hazard;freakshow,The obstacle that makes clean boards feel earned.,Pure downside by design — the question is how fast you can bury or dump it.,grid-local,h+cell,yes,1,,pre-grid catalog
,First Act,Playbill structure — the opener performs to a settling crowd,"A card stepping alone through parted curtains, house lights still on",Uncommon,2,"Deck-position type: after every shuffle this card moves to the top of the deck and enters play alone, before any other card that Next.","class TypeFirstAct extends CardModifierType:
  func on_append() -> void:
    game.defer(func(): game.raise_to_top(data))
  func on_next() -> void:
    if drawn_this_next(data): suppress_other_draws_this_column()  # enters alone",type;deck-manip,Guaranteed openers — your engine piece is always on stage by turn one.,An opener drawn alone is also an opener unprotected; it eats the first hazard.,global,deck,no,1,,pre-grid catalog
,Second Act,Playbill structure — the turn arrives when the crowd is warm,"A card waiting in half-shadow at stage left, one foot in the light",Uncommon,2,Deck-position type: after every shuffle this card is placed exactly at the deck's midpoint and enters play alone.,"class TypeSecondAct extends CardModifierType:
  func on_append() -> void:
    game.defer(func(): game.insert_at_fraction(data, 0.5))",type;deck-manip,Mid-show reinforcements you can set your watch by.,"Midpoint timing is rigid: too late for a fast rush, too early for a finale.",global,deck,no,1,,pre-grid catalog
,Final Act,Top billing closes the show — the headliner walks last,A card silhouetted against a full-house standing ovation,Rare,3,Deck-position type: after every shuffle this card sinks below all non-Heavy cards and enters play only after the rest of the deck is drawn. Scores +mult as the closer.,"class TypeFinalAct extends CardModifierType:
  func on_append() -> void:
    game.defer(func(): game.sink_to_bottom(data))  # above Gold tokens
  func on_score(result) -> void:
    if game.state.draw_deck.is_empty(): game.add_line_score(row_of(data), CLOSER_MULT)",type;deck-manip;combo,The finale you plan three submits around — delayed gratification with billing.,"If the show ends before the deck empties, your closer never performed.",global,deck,no,1,,pre-grid catalog
,Lithograph,Strobridge litho posters — for most towns the ad WAS the show,"A card that is itself a gorgeous circus poster, corners pasted down",Rare,3,"Poster material: while this card sits in the Grand Entrance (upper zone, not the Ring), its skill is active globally. In the Ring it is just paper.","class TypeLithograph extends CardModifierType:
  func is_active_override() -> Variant:  # consulted by CardModifier.is_active
    if zone_of(data) == UPPER: return true
    if zone_of(data) == LOWER: return false
    return null",type;spotlight,A card that wants to be NOT played — it inverts the game's whole incentive.,"It occupies an Entrance slot forever, slowing every draw behind it.",grid-local,grid,no,2+,remapped: the upper zone IS the Entrance (row -1 of its grid). Effect stands unchanged.,pre-grid catalog
,Tintype,Tintype photography — the fair's cheap souvenir portraits,A silvery photographic plate bearing another card's faded image,Rare,3,"Photograph material: on acquisition, permanently copies the pips (rank + suit) of the card it was created from. Chains of photos of photos are legal.","class TypeTintype extends CardModifierType:
  func on_acquired(source : CardData) -> void:  # booster/shop layer
    data.rank = source.rank.duplicate()
    data.suit = source.suit.duplicate()
    data.meta.lineage = source.meta.lineage + 1",type;deck-manip;collection,Collectors chase photo-of-a-photo lineages like provenance.,"It copies pips only — no skill, no stamp; a portrait, not the performer.",global,deck,no,1,,pre-grid catalog
,Automaton,Karakuri ningyō — the Edo tea-serving doll; Maskelyne's whist-playing Psycho,A card with visible brass clockwork under a porcelain face,Rare,3,Material: every Next this card performs its cue automatically for free — but it can NEVER be cued manually.,"class TypeAutomaton extends CardModifierType:
  func on_next() -> void:
    if data.skill and data.skill.has_method(&'on_cue'):
      data.skill.call(&'on_cue')  # NEEDS NEW HOOK: on_cue (shared cue system)
  func can_manual_cue() -> bool: return false",type;charges;movement,Set-and-forget clockwork — you build a machine and watch it run.,"No timing control: it fires on ITS schedule, wasting cues the turn you needed them held.",grid-local,none,no,1,,pre-grid catalog
,Bahurupiya,"Bahurupiya — 'of many forms', arriving each day as a different god or official","A card mid-costume-change, four different collars visible at once",Rare,3,"Material: at the start of each show this card arrives as a random different class (deterministic per seed), counting for that class's group effects.","class TypeBahurupiya extends CardModifierType:
  func on_game_start() -> void:
    var i : int = hash_pick(game.state.game_history_trimmed, CLASSES.size())
    data.meta.class_tag = CLASSES[i]  # no RNG: resume-persisted hash",type;random;deck-manip,A different guest star every show — the yak-shave engine in card form.,You cannot build AROUND it; it supports whatever it feels like being today.,global,none,no,1,,pre-grid catalog
,Outlawed,"The skomorokhi — Russia's minstrel-clowns, banned by church and tsar in 1648","A card behind a nailed-up town proclamation, eyes defiant",Rare,3,Material: in pious/lawful towns this card cannot score at all; everywhere else it scores DOUBLE. Underground shows find a way.,"class TypeOutlawed extends CardModifierType:
  func on_score(result) -> void:
    if game.town_tag() == &'pious': negate_score(result, data)  # see TypeFlash seam
    else: game.add_line_score(row_of(data), base_points(data))",type;gamble;economy,Route planning becomes deck planning — you tour AROUND the bans.,Map dependence: a lawful stretch of road turns it into cargo.,grid-local,none,no,1,,pre-grid catalog
