name,kind,state,evidence,scope,axis,needs_height,needs_grids,effect,next_step,source
Hoops,Suit,accepted,already added,,,,,"Base suit. When a Hoops card scores and not talented, hoop props (count based on rank) sweep the scored row; every talent (skill) card a hoop passes through scores again.   Stacking rule: different suit and adjacent rank",none - already implemented,curated effects pre grid.csv
Knives,Suit,accepted,already added,,,,,Base suit. Knife props (count based on rank) launch from the OPPOSITE row edge and score plain (non-skill) prop cards they pass; the spawner scores itself by design. (points for missing talent)  Stacking rule: different suit and adjacent rank,none - already implemented,curated effects pre grid.csv
Balls,Suit,accepted,already added,,,,,Base suit. Ball props (count based on rank) arc down the column (mancala walk picks talent targets at spawn) and drop the Juggling status: a Juggling card pays out column score when it later scores.  Stacking rule: different suit and adjacent rank,none - already implemented,curated effects pre grid.csv
Flames,Suit,accepted,already added,,,,,Base suit. Fire props arc down the column dropping Flaming: a Flamingcard's spawned prop effects are buffed based on amount of fire stacks. Each burning prop has its own effect multiplied by amount of fire stacks. Flaming cannot be directly applied to fire suit cards or talents. Props inherit stacks from their spawner card.  Stacking rule: different suit and adjacent rank,none - already implemented,curated effects pre grid.csv
Fireworks,Suit,accepted,"# IMPLEMENTED: PipSuitFirework (special, excluded from PipSuit.STANDARD)",,,,,"When a Fireworks card scores, the rocket rises its column and banks the column score directly based on its rank.   1: Has higher base score per rank, so something like 2-5 score x rank, could be random  Or 2: Each firework suit trigger adds +1 firework to next firework suit trigger   Stacking rule: different suit and adjacent rank",none - already implemented,curated effects pre grid.csv
Electricity,Suit,proposed,"class PipSuitElectric extends PipSuit: -- pseudocode sketch, no owner mark",,,,,"On Score and not talented, scores points based on own rank and ranks of all connected electric suit cards (orthogonal + diagonals).  Stacking rule: different suit and adjacent rank",owner to mark; the sketch predates the grid and needs its axes restated,curated effects pre grid.csv
Rock Paper Scissors,Suit,proposed,no acceptance mark exists in this file,,,,,"On game start, randomly becomes rock or paper or scissors (even distribution makes sense here for balancing reasons, but at same time all one type should be rare enough, but no evening causes high chance of something being uneven)  Stacking rule: When stacking on another card, has to win RPS to stack if other card is also RPS. if not RPS can stack normally since it should fulfull different suit ru",owner to mark accept or reject,curated effects pre grid.csv
Best Bower,Suit,proposed,"class PipSuitBower extends PipSuit: -- pseudocode sketch, no owner mark",,,,,"Wild suit, counts as every single suit for melds. flush enabler, stack anywhere  Randomly selects prop from entire game to trigger effect of if no talent",owner to mark; the sketch predates the grid and needs its axes restated,curated effects pre grid.csv
Integer numbers (default),Rank,proposed,"TODO -- pseudocode sketch, no owner mark",,,,,"base is A-K (1-13), but could be -99 to 99 instead?   Instead of showing negative symbol, entire card becomes covered in a negative shader. Negative causes inverted versions of everything, with negative shaded props which causes score reductions However, all negative version effects are unique when compared to positive versions for sake of increasing combo  Negative is a status effect that automat",owner to mark; the sketch predates the grid and needs its axes restated,curated effects pre grid.csv
Roman Numerals (clockwork),Rank,proposed,"TODO -- pseudocode sketch, no owner mark",,,,,"1-12 roman numerals. Capped at these numbers, since they wrap around when increased or decrease.  Time effect: advances by +1 per player action",owner to mark; the sketch predates the grid and needs its axes restated,curated effects pre grid.csv
Blank,Rank,proposed,"class PipRankBlank extends PipRank: -- pseudocode sketch, no owner mark",,,,,"Effectively 0. Always returns true and passes stacking rules, but cannot participate in rank based effects and melds",owner to mark; the sketch predates the grid and needs its axes restated,curated effects pre grid.csv
Wild (copycat/understudy),Rank,proposed,"class PipRankWild extends PipRank: -- pseudocode sketch, no owner mark",,,,,Effectively 0. Is simultaneously any rank you already have in your deck when participating in rank based effects like stacking and melds. Behaves like blank if nothing available to copy.  Cannot act like a rank you do not already have in your deck,owner to mark; the sketch predates the grid and needs its axes restated,curated effects pre grid.csv
Decimal numbers (Half-Step),Hat,proposed,"class PipRankHeadliner extends PipRankNumeral: -- pseudocode sketch, no owner mark",,,,,"Causes rank number to evaluate as both itself and +1 for all purposes, while counting as a separate number (another same rank with decimal hat would still evaluate as duplicate). Can be double counted for multiple effects, a 3, 2.5, 2 counts as 2 pairs since it evaluates as 3,3,2,2 and also evaluates as straight (3) too",owner to mark; the sketch predates the grid and needs its axes restated,curated effects pre grid.csv
mahjong,rank/suit,proposed,no acceptance mark exists in this file,,,,,,owner to mark accept or reject,curated effects pre grid.csv
paper,Type,accepted,# IMPLEMENTED: TypePaper — the no-op default type,,,,,no effect,none - already implemented,curated effects pre grid.csv
Iron,Type,proposed,no acceptance mark exists in this file,,,,,"Sinks to bottom of any stack, respecting physical weight",owner to mark accept or reject,curated effects pre grid.csv
Gold,Type,proposed,no acceptance mark exists in this file,,,,,"Sinks to bottom of any stack, stops when encountering other heavy cards. Heavier than iron. +2 cost when being traded in at shops",owner to mark accept or reject,curated effects pre grid.csv
Diamond,Type,proposed,no acceptance mark exists in this file,,,,,x2 score on this card. +3 cost when traded in at shops,owner to mark accept or reject,curated effects pre grid.csv
glass,Type,proposed,no acceptance mark exists in this file,,,,,spotlights cards behind it  Breaks if a heavy card passes through it,owner to mark accept or reject,curated effects pre grid.csv
Balloon,Type,proposed,no acceptance mark exists in this file,,,,,"opposite of heavy card, always raise to top of stack might be too difficult to use outside of starting game with balloons since it permanently covers a stack",owner to mark accept or reject,curated effects pre grid.csv
Water,Type,proposed,"class TypeWater extends CardModifierType: -- pseudocode sketch, no owner mark",,,,,always flows sideways into lower level column than itself,owner to mark; the sketch predates the grid and needs its axes restated,curated effects pre grid.csv
?PropArtist,Hat,proposed,no acceptance mark exists in this file,,,,,Suits effect still apply even if card is talented,owner to mark accept or reject,curated effects pre grid.csv
Kuroko,Hat,proposed,"class StampKuroko extends CardModifierStamp: -- pseudocode sketch, no owner mark",grid-local,h,yes,1,this card is unseen — it does not block Spotlight beneath it AND cannot be targeted by effects.,owner to mark; the sketch predates the grid and needs its axes restated,curated effects pre grid.csv
Fifteen (cribbage),Talent,proposed,"class PipRankFifteen extends PipRankNumeral: -- pseudocode sketch, no owner mark",,,,,"Spotlight:checks cards in scoring hand that add up to 15 (this way it can work for both row and col check, orthogonal)  No way to tie break realistically, so order is first found going in order of hand, or score every single possible unique 15 found from combinations  2: This card melds with any adjacent neighbors whose ranks sum to 15 with it (the demoted cribbage rule — an ability, not a default",owner to mark; the sketch predates the grid and needs its axes restated,curated effects pre grid.csv
The Half Card,Talent,proposed,no acceptance mark exists in this file,,,,,"On drop, splits into two halves (2 other cards) across the diagonal [/], bottom half is a seperate card. Split means one card has rank and hat, other card only suit, changing how stacking rules work. Bottom half is not real card that can exist in deck (is technically separate talent maybe that gets exhausted at game end) Top half reverts back into original card (this means technically 3 cards impl",owner to mark accept or reject,curated effects pre grid.csv
Double trigger,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,Double trigger,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-0
earth stays on bottom of deck,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,earth stays on bottom of deck,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-3
sandwich card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"sandwich card: on submission, if there is a same suit card later down the stack, gain a point for each card in between",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-6
Selection sort,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,h,yes,1,Selection sort: moves up if card above is smaller,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-7
more poker,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,line,no,1,more poker: poker hands give double the points,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-8
spaceship,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,cell,no,1,"spaceship, this card can be placed in the void",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-9
while in deck,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"while in deck, if an open card with a legal slot is ever available, move from deck to that slot",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-10
on score,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"on score, put 2 random cards from discard pile into deck (Exhaust: card does not entire discard)",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-11
egg,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,cell,no,1,"egg, when this card is submitted, instead become a completely random other card (higher rank)",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-12
champion,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,h,yes,1,champion: cards of the same rank on top or below this card are discarded,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-13
hippo,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"hippo, when a single card is placed on top of this card, consume the card and gain its rank in value (rank wraps around)",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-14
all in,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,global,none,no,1,"all in: on next score, double total score, then double score needed next round",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-15
deja vu,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,cell,no,1,"deja vu: this card remembers its placement on the board. the next time there is an open slot in that place, move there from anywhere",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-16
Frankenstein card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"Frankenstein card: when submitted, combines with bottom and top card and becomes a 3 card merged stack and remains in submission zone after scoring",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-17
rabbit,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,x,no,1,"rabbit, if this card is clicked/grabbed on, move away to furthest orthogonal location",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-18
robber card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,robber card: in between turns robbers steal high value cards,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 2-19
Trigger even when hidden,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,Trigger even when hidden,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-0
air stays on top of deck,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,air stays on top of deck,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-3
Poker card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"Poker card: When this card is evaluated, this card and the 4 cards above it are scored as a poker hand",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-6
trap,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,h,yes,1,"trap, creates an extra empty space, the next card to go on it is instead placed below this card and the empty space is removed",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-7
goalpost,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,line,no,1,goalpost: enhances random viable score type which changes per game,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-8
distancing,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,h,yes,1,"distancing, card will hover at the top of the stack and not block its bottom card, and cannot be clicked on (counts as next row?)",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-9
pot of greed,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,cell,no,1,"pot of greed: when this card is in a slot by itself, discard and replace with two cards from deck",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-10
rewrite,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,h,yes,1,"rewrite: on entering the board, remembers cards below it, then on submission, replace same amount of cards below it",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-13
paintbrush,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,h,yes,1,paintbrush: cards this is placed on become the same suit,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-14
the one ring,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,global,deck,no,1,"the one ring: always know exactly where this card is, if destroyed permanently, win the match",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-18
lightning card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,lightning card: lightning strikes highest value card on board causing shock effect,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 3-19
Trigger when in deck,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,Trigger when in deck,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-0
water moves downwards per turn,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,water moves downwards per turn,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-3
if this card is not part of any scoring hands,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"if this card is not part of any scoring hands, give 10 points",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-6
parasite,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,h,yes,1,"parasite, attaches itself to the next card placed on top of this card, on submission, replace the host card with the parasite card",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-7
cheering team,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,line,no,1,cheering team: each scored card of the same suit as this card gets extra points,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-8
any card can be placed on top of this card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,any card can be placed on top of this card,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-9
future sight,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,global,deck,no,1,future sight: see the next 5 cards,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-10
snake,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,h,yes,1,"snake: smaller rank cards below are consumed, leaving behind a temporary body card of the same rank",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-13
sniper,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,cell,no,1,"sniper: on next pressed, lower rank of last interacted card by one, discarding card if rank is one",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-14
jenga,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,h,yes,1,"jenga: clicking a card not on top places it at the top of the next smallest stack, and leaves behind an empty space. clicking on cards on top does nothing. each row cannot have more than 4 empty spaces, and each row must be connected by cards. breaking these rules will discard this card. empty spaces are collapsed when this card is no longer active",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-18
hurricane card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"hurricane card: cards in a donut shape get wet, hurricane starts at random category 1-5 and moves and becomes weaker",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 4-19
Money on trigger,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,Money on trigger,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 5-0
fire moves upwards per turn,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,fire moves upwards per turn,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 5-3
Spiderweb,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,x,no,1,"Spiderweb, 1 point per card diagonal to this card and in a cross shape",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 5-6
stowaway,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,cell,no,1,"stowaway, this card will move to the freeslot if it is open after being scored",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 5-7
combo,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"combo: during scoring, cards gain temporary points equal to the hand they were scored in",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 5-8
connect 4,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,connect 4,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 5-18
gold cards act as money,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,gold cards act as money,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 6-3
whenever a card triggers its effect,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"whenever a card triggers its effect, gain a point",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 6-6
tunneler,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,h,yes,1,"tunneler, single cards placed on this card will move to bottom of stack",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 6-7
noble family,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,line,no,1,noble family: each scored face card increases points of next scored face card by 1,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 6-8
fishing,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,global,deck,no,1,"fishing, put this card over the deck to trigger fishing minigame to get card from deck",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 6-18
tsunami card washes from the bottom upward lowering max card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,tsunami card washes from the bottom upward lowering max card stack count and recedes,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 6-19
col card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"col card, give points to column on score",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 7-3
blackjack,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,blackjack,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 7-6
turntable,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,grid,no,1,turntable: flip entire board vertically,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 7-7
row card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,x,no,1,"row card, give points to row on score",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 8-3
on submit score the input cards too,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,on submit score the input cards too,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 8-6
fema mode,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,global,none,no,1,fema mode: after number of weather cards disaster relief becomes available,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 8-19
earthquake card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,earthquake card: board is scrambled,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 10-19
tornado card,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,tornado card: 1x1 area or scaling area based on tornado scale if that card is played its random,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 12-19
eruption,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,grid,no,1,eruption: cards receive burned effect in an expanding snake and you are fricked because there is no counter to volcanic eruptions,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 14-19
monopoly,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,monopoly: playing flush fives of a card removes that card from future generation,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 16-19
fire,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,fire: spreads to some kind of wood-esque card but gets blocked by roads (so some other kind of card),owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 17-19
windy day,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,grid-local,grid,no,1,windy day: you dropped your cards because its too windy so cards randomly shift over 1 row/col (edited),owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 19-19
mini metro gamemode,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"mini metro gamemode: existing end of straights now become metro stations, with straights being the lines, and must serve passengers over n turns (edited)",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 21-19
yinan — Today at 10,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,yinan — Today at 10:20 PM,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 23-19
boss,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,boss: a boss appears you must defeat either with specific hands or just points dmg and it slowly breathes fire on your actual score,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 24-19
