id,name,reason,folded_into,origin,source,original_mechanic
E0461,Combo payout formula,ALREADY_A_RULE,,designdocs,"DESIGN_DOC.md §5 Scoring v3 (combo, shipped)","Act payout = row-score x column-score x combo, where combo = 1 + 0.1 x U, and U = number of distinct combo classes (archetype+size+copies) scored this act."
E0462,Combo per unique effect,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §5 Scoring v3 (combo),"Combo increments by 1 for each unique effect triggered; flat points come from card effects ('cards are ammo'), multiplied by row-combo and col-combo."
E0463,Combo scoring formula,ALREADY_A_RULE,,designdocs,DESIGN_RECOMMENDATIONS.md §2.1 Scoring: combo reframe,"Show score = sum of card effect points, multiplied by (1 + row combo) and by (1 + col combo), where row/col combo = number of unique row/column melds scored this submit."
E0479,Cue via right-click,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §12 Tapping / Cues & Charges,Cards are tapped ('cued') via right-click; tappable cards get a glowing halo border that is removed once spent.
E0488,Deck-click drops loop,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §2 Core Game Loop v1,Every click of the deck drops new cards down; a limited number of clicks/rounds are allowed per match.
E0508,Dual-axis base scoring,ALREADY_A_RULE,,designdocs,"DESIGN_DOC.md §5 Scoring v2 (dual-axis, latest)",Base scoring combines vertical runs (with a minimum size) per column with horizontal poker hands per row.
E0547,Fire = Burning status,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §10 Suit-Props (implemented),"Fire drops a Burning status on its target, multiplying that card's own suit-effect prop count."
E0594,Hidden Rules Deck,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §8 Rule Deck,"A normally-hidden Rules Deck holds cards that define the default ruleset (stacking, scoring, input/zone counts, draw-on-Next); changing the ruleset means changing cards in this deck."
E0604,Illegal stack submission spot,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §4 Stacking & Movement Rules,Early rule: an illegal stack could only be placed on the submission spot (removed with the loop v2 rewrite).
E0622,Knife suit,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §10 Suit-Props (implemented),Mirrors Hoop but launches from the opposite row side and scores plain (prop) cards instead of talents.
E0623,Knives/Hoops horizontal projectiles,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §10 Suit projectiles v1,Scored knife and hoop cards fly horizontally across their scored row; balls and fire drop down columns.
E0644,Mancala targeting,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §10 Suit-Props (implemented),Ball/Fire projectiles are ballistic: a mancala walk down the column picks a fixed count of talent targets at spawn; Fire's eligibility skips talents and other Fire props.
E0661,Modifier-driven grab/place legality,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §4 Stacking & Movement Rules,"Stacking legality is decided by a resolver pass: all cards' allow/deny effects are gathered into a whitelist and blacklist, with the blacklist winning over the whitelist."
E0695,Per-meld suit firing,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §10 Suit-Props (implemented),"A scored card's suit effect fires once per meld membership (once for its row, once for its column); talented (skill-bearing) cards suppress their own suit effect."
E0702,Pip comparator resolver,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §6 Card Anatomy & Pips,A pip resolver/comparator class governs all rank/suit comparisons; card mods are asked first (on_compare_ranks/suits) with numeric fallback.
E0703,Pip-registered scoring methods,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §6 Card Anatomy & Pips,"Each pip class can register its own static scoring methods as defaults for that pip; pip effects are permanently active, unlike skills."
E0706,Poker Evaluator,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §14.4 Rule cards,Performs best-poker-hand evaluation per line.
E0713,Projectile hit/miss bonuses,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §10 Suit projectiles v1,"Gain mult for every hoop passing through an animal or acrobat, every knife missing a stuntsman, every ball hitting a juggler or animal; fire buffs cards it passes through."
E0714,Prop-vs-feat suit targeting,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §10 Suit projectiles v2 (latest),"Knives reward hitting non-feat (prop) cards, hoops reward hitting feat cards; balls buff feat cards, fire buffs non-feat cards, with balls/fire spreading buffs evenly across the column."
E0721,Random standard suit roster,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §10 Suit-Props (implemented),"The standard random suit roster is [Hoop, Knife, Ball, Fire]; Firework is excluded from random rolls and instead rises up its column, banking column score at the top."
E0738,Row-then-column evaluation order,ALREADY_A_RULE,,designdocs,"DESIGN_DOC.md §5 Scoring v2 (dual-axis, latest)","Evaluation proceeds top-down: poker hands are scored first, with each column's run calculated simultaneously as that row resolves; refined to score all rows first, then all lanes simultaneously at that row."
E0739,Row x column aggregation,ALREADY_A_RULE,,designdocs,"DESIGN_DOC.md §5 Scoring v2 (dual-axis, latest)",All vertical (column) scores are multiplied together with all horizontal (row) scores at the end of a submit.
E0741,Rule cards get random pips,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §8 Rule Deck,Rule cards are given a random suit and rank in case a player ever extracts one into normal play.
E0751,Score slots,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §2 Core Game Loop v1,Score slots on the right score whatever is placed on them and double as free spaces between deck clicks.
E0778,Spotlight rebrand,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §7 Spotlight System (latest),Active state is rebranded Spotlight/Focus: a card is 'in the spotlight' when unblocked/topmost; card text gets an icon marking which effects need spotlight and which don't.
E0795,Symmetrical Show (rule),ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §14.5 Summary-only cards,"Poker hands are also evaluated vertically, not just horizontally."
E1037,Trigger order,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §5 Scoring,"Card effects trigger in order: field effects first, then the deck top-down, then the board left-to-right/top-to-bottom (including the input row), then the discard pile top-down."
E1041,Two-zone board (Entrance/Ring),ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §3 Board & Zones,"Board has an upper zone (Grand Entrance, where drawn cards wait) and a lower zone (The Ring, where the board is built)."
E1046,Universal deck resolves last,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §8 Rule Deck,The Universal (rule) deck is probably applied last in all modifier resolution order.
E1053,Voucher effects in main deck,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §8 Rule Deck,Voucher-type effects (player-side) go in the main deck instead of the rule deck.
E1062,Whole-board submit,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §2 Core Game Loop v2 (latest),"Player continuously draws to build the board; pressing Submit evaluates and scores the entire board state, then clears it, with Entrance cards dropping down to seed the next board."
E1072,"3 grids side by side, commit to one",ALREADY_A_RULE,,braindump,gam draft.txt:1263,Each game fills 3 side-by-side 5x5 grids; card effects can influence other grids; player chooses which grid the next 5 entrance cards go into but must commit to a single grid once chosen.
E1075,3D stacking as extra rows/cols,ALREADY_A_RULE,,braindump,gam draft.txt:1269,"Allow stacking cards on top of each other on the grid, adding a 3D element that functions as theoretical additional rows/columns."
E1076,4-coordinate card position,ALREADY_A_RULE,,braindump,pokerpatience.txt:12,"Every card's position is defined by 4 coordinates: which grid, x, y, and height."
E1078,5-wide board for row hands,ALREADY_A_RULE,,braindump,gam draft.txt:90,A 5-column-wide board allows row-wide poker hands as well as column hands.
E1082,5x5 grid entrance placement redesign,ALREADY_A_RULE,,braindump,gam draft.txt:1262,"Core redesign: entrance shows top 5 cards as normal, but the player freely chooses where in a 5x5 grid below to place each one."
E1083,5x5 grid replaces drop zones,ALREADY_A_RULE,,braindump,pokerpatience.txt:5,Replace the 5-6 drop-in zones with a 5x5 grid the player manually places entrance cards into.
E1096,Any-grid line-completion detector,ALREADY_A_RULE,,braindump,pokerpatience.txt:38,A card that detects a new 5-in-a-line completion anywhere across all grids and triggers its scoring.
E1103,Balanced prop targeting rules,ALREADY_A_RULE,,braindump,gam draft.txt:485,"Alt balance: knives hit non-skill cards and hoops hit skill cards; balls buff skill cards and fire buffs non-skill cards, spreading buffs as evenly across the column as possible."
E1105,Balls,ALREADY_A_RULE,,braindump,curated effects pre grid.csv:8,Base suit: ball props (count = rank) arc down the column applying a Juggling status that pays out column score when that card later scores; stacking requires different suit and adjacent rank.
E1106,Base scoring: vertical runs + horizontal poker,ALREADY_A_RULE,,braindump,gam draft.txt:99,Base scoring is vertical runs (with a minimum size) plus horizontal poker hands.
E1107,Basic suit props sweep board,ALREADY_A_RULE,,braindump,gam draft.txt:481,Scored basic (non-skill) cards summon rank-scaled prop objects in their row/column that move across the board and interact with other cards.
E1118,Board has deck/discard/ruleset zones,ALREADY_A_RULE,,braindump,gam draft.txt:316,"The board has a deck zone, a discard deck zone, and a ruleset deck zone."
E1141,"Cards auto-drop, no manual drag down",ALREADY_A_RULE,,braindump,gam draft.txt:117,Cards come down on their own and cannot be dragged down manually.
E1143,Cards have 1 parent/1 child stack,ALREADY_A_RULE,,braindump,gam draft.txt:315,"Cards can have exactly 1 parent and 1 child card, forming a stack."
E1162,Combo increments per unique effect,ALREADY_A_RULE,,braindump,gam draft.txt:389,"Row/column scoring becomes a combo system: score increments by 1 for each unique effect triggered, with heavier emphasis on card effects that do direct damage under specific conditions."
E1163,Commit-to-grid entrance rule,ALREADY_A_RULE,,braindump,pokerpatience.txt:5,"Once the player places a card in a grid, all current entrance cards must be placed in that same grid before the entrance refreshes with 5 new cards."
E1183,Deck click drop,ALREADY_A_RULE,,braindump,gam draft.txt:13,"Each click of the deck causes new cards to drop down, rounds remaining decrease, and slots on the right score whatever card is put on them."
E1197,Draw-through then submit,ALREADY_A_RULE,,braindump,gam draft.txt:87,"Constantly draw through the deck like classic solitaire, then submit to evaluate the entire board state and reset."
E1198,Dynamic input/board card count from rules,ALREADY_A_RULE,,braindump,gam draft.txt:324,The number of input cards and board cards is decided dynamically at game creation by iterating the rule deck (e.g. a rule dictating 5 input columns and 5 board columns).
E1202,Effect trigger order,ALREADY_A_RULE,,braindump,gam draft.txt:130,"Card effects trigger in order: field effects, then deck top-down (soon-to-be-drawn first, order hidden), then left-right top-down including entrance, then discard pile top-down (recent discards first)."
E1203,Effect-trigger point gain,ALREADY_A_RULE,,braindump,random potential effects.csv:7,"Whenever a card triggers its effect, gain a point."
E1210,End show early with good entrance,ALREADY_A_RULE,,braindump,gam draft.txt:1268d,"Entrance cards are global by default; during the final performance, the player can choose to end early if the current entrance cards are good."
E1211,Entrance cards act via ability,ALREADY_A_RULE,,braindump,gam draft.txt:321,"Entrance/input cards get their draw-and-pass functionality implemented as an ability: on turn start, pass child cards to the board card in the same column, then draw a random card from the deck."
E1214,Entrance zone cards seed first column,ALREADY_A_RULE,,braindump,pokerpatience.txt:37,"5 entrance/input zone cards work as today, refreshing in random draw order once empty or the current grid is full; the 1st input card corresponds to the 1st column of the 5x5 grid."
E1236,Flames,ALREADY_A_RULE,,braindump,curated effects pre grid.csv:11,"Base suit: fire props arc down the column applying Flaming stacks that multiply each burning prop's effect (not applicable to fire-suit or talent cards, but inherited by spawned props); stacking requires different suit and adjacent rank."
E1237,Flat points multiplied by combo,ALREADY_A_RULE,,braindump,gam draft.txt:390,"Flat points come from scoring, while row combo and column combo values are multiplied into the flat points."
E1247,Full-stack scoring on tall stacks,ALREADY_A_RULE,,braindump,pokerpatience.txt:11,Scoring a height-10 (or taller) stack scores the entire stack at once.
E1253,Global vs ring-local card effects,ALREADY_A_RULE,,braindump,gam draft.txt:1270,Grid-based card effects can be scoped as global (all grids) or local to a single ring.
E1260,Grid-creation card owns its zones,ALREADY_A_RULE,,braindump,pokerpatience.txt:36,"When a 5x5 grid-creation card becomes active it creates the 5x5 zone cards it owns; when inactive, its grid of zone cards is removed and any cards it contains are discarded."
E1261,Grid-creation rule card,ALREADY_A_RULE,,braindump,pokerpatience.txt:35,"A rule card that, on game start, checks the deck size and adds one 5x5 grid-creation card to the rules deck per 25 cards in the deck."
E1262,Grid refill on completion,ALREADY_A_RULE,,braindump,pokerpatience.txt:6,"If a grid is completed with entrance cards remaining, it frees up for another grid and its empty slots are refilled with the remaining cards in their current slot."
E1270,Height as a 4th coordinate,ALREADY_A_RULE,,braindump,pokerpatience.txt:11,"Stacking cards on top of each other adds a 4th coordinate (height); 5 cards aligned in height complete a scorable line at that height, including a same-x,y stack of 5."
E1272,Height removal drops cards above,ALREADY_A_RULE,,braindump,pokerpatience.txt:14,Removing a card from a height stack causes the cards above it to drop down.
E1273,Height scoring triggers only building up,ALREADY_A_RULE,,braindump,pokerpatience.txt:11,Height-based scoring only triggers when a stack builds upward through a multiple of 5; dropping back down through those intervals does not retrigger scoring.
E1277,Hoops,ALREADY_A_RULE,,braindump,curated effects pre grid.csv:2,"Base suit: when a scored Hoops card is untalented, hoop props (count = rank) sweep the scored row and every skill card the hoop passes through scores again; stacking requires different suit and adjacent rank."
E1281,Immediate vs delayed row/col scoring,ALREADY_A_RULE,,braindump,gam draft.txt:1274,"Choice between scoring a completed row/column immediately on completion versus scoring everything at the end; card effects could trigger specifically on completion, rewarding early vs late finishers."
E1285,Integer numbers (default rank),ALREADY_A_RULE,,braindump,curated effects pre grid.csv:47,"Default rank A-K (1-13), possibly extended to -99..99; negative ranks apply a negative status/shader inverting effects and reducing score, while still counting uniquely toward combo."
E1316,Match end condition,ALREADY_A_RULE,,braindump,gam draft.txt:105,Match ends when the deck runs out of cards or the required score is reached.
E1334,Multiply vertical by horizontal,ALREADY_A_RULE,,braindump,gam draft.txt:124,All vertical scores are multiplied together with all horizontal scores at the end.
E1339,New grid per 25/50 deck cards,ALREADY_A_RULE,,braindump,pokerpatience.txt:5,A new 5x5 grid is unlocked for every 25/50 cards (tunable) in the starting deck.
E1342,"No submit slot, whole board scores",ALREADY_A_RULE,,braindump,gam draft.txt:86,"There is no special submit slot; the entire board is considered for submission on final score, using entrance cards similar to jokers."
E1362,Pickup vs legal placement,ALREADY_A_RULE,,braindump,gam draft.txt:59,"A stack can be picked up from anywhere, but if the resulting stack is illegal it can only be placed back on the submission spot."
E1364,Pip effects permanently active,ALREADY_A_RULE,,braindump,gam draft.txt:259,"Pip effects (suit/rank abilities) should be permanently active, independent of the resolver class."
E1365,Placed cards are locked by default,ALREADY_A_RULE,,braindump,pokerpatience.txt:10,"By default, a card placed on an empty grid zone cannot be moved or have cards stacked on it; those actions are reserved for future effects."
E1368,Poker hand scoring table,ALREADY_A_RULE,,braindump,gam draft.txt:1235,Poker Patience scoring table (UK vs Barry scoring) for pair/two pair/three of a kind/straight/flush/full house/four of a kind/straight or royal flush.
E1370,Poker Patience base rule,ALREADY_A_RULE,,braindump,gam draft.txt:1229,"Poker Patience: lay out 25 cards into a 5x5 square, forming 10 poker hands from the 5 rows and 5 columns."
E1371,Poker Patience diagonal scoring variant,ALREADY_A_RULE,,braindump,gam draft.txt:1233,Poker Patience variant: also count the 2 longest diagonals for additional scoring.
E1384,Prop cards defined as feat-less,ALREADY_A_RULE,,braindump,gam draft.txt:498,Cards without feats (skills) are classified as 'prop' cards.
E1385,Prop-hits-target mult gain,ALREADY_A_RULE,,braindump,gam draft.txt:483,"Gain mult when a hoop passes through an animal/acrobat card, a knife misses a stuntsman, or a ball hits a juggler/animal; fire buffs cards it passes through."
E1391,Randomized placement on partial refill,ALREADY_A_RULE,,braindump,pokerpatience.txt:6,"If the deck cannot refill the entire entrance zone, new card placement is randomized instead of the default left-to-right order."
E1395,Rarity gates non-null rolls,ALREADY_A_RULE,,braindump,todo.md:136,"Rarity tiers currently gate only whether a stamp/skill/type roll is non-null, based on luck."
E1396,Re-adding retriggers line scoring,ALREADY_A_RULE,,braindump,pokerpatience.txt:15,Removing a card from a completed 5-line and re-adding it retriggers that line's scoring event.
E1401,Revealed cards act,ALREADY_A_RULE,,braindump,gam draft.txt:56,All revealed cards perform their abilities.
E1404,Ring unlocks per 25 deck cards,ALREADY_A_RULE,,braindump,gam draft.txt:1268,"Increase the number of grids/rings relative to cards in the deck, e.g. every 25 cards in the deck unlocks a new ring (with a max ring cap to avoid excess)."
E1412,Row/column scoring happens on placement,ALREADY_A_RULE,,braindump,pokerpatience.txt:9,"Scoring occurs immediately as rows/columns are filled in, rather than on submit; pressing submit/end just fires its own hooks and ends the game without a separate scoring round, and can be pressed at any time."
E1413,Row-first then simultaneous column scoring,ALREADY_A_RULE,,braindump,gam draft.txt:135,"All row scoring happens first, then all 5 lanes are scored simultaneously with the same per-row scoring repeated for each column, returning scored cards that go through the card-effect loop and get elevated."
E1414,Row-then-column top-down scoring order,ALREADY_A_RULE,,braindump,gam draft.txt:120,"Submission evaluates top-down, one row at a time and 5 cards at a time, so poker hands score first while runs are calculated per column simultaneously."
E1417,Rule cards have random suit/rank,ALREADY_A_RULE,,braindump,gam draft.txt:307,Rule-deck cards carry a random suit and rank in case the player is able to extract them onto the playing field.
E1420,Ruleset deck parsed at game creation,ALREADY_A_RULE,,braindump,gam draft.txt:317,"On game creation, the ruleset deck is parsed to decide the board layout."
E1431,Score slot as free space,ALREADY_A_RULE,,braindump,gam draft.txt:14,The score slot can be used as a free/empty space between deck clicks.
E1455,Spotlight/focus rename,ALREADY_A_RULE,,braindump,gam draft.txt:519,'Active' is rebranded as Spotlight/Focus: cards that are unblocked (uncovered) are in the spotlight.
E1459,Submit clears and cascades board,ALREADY_A_RULE,,braindump,gam draft.txt:108,"Pressing submit scores everything and clears the board, with upper cards coming down to start a new board state without a full wipe."
E1462,Suit-specific prop movement,ALREADY_A_RULE,,braindump,gam draft.txt:482,Knives and hoops move horizontally across their scored row; balls and fire drop down their column.
E1469,Tips for overscoring,ALREADY_A_RULE,,braindump,gam draft.txt:428,"Scoring is themed as audience excitement with cheering; player gains 'tips' currency for overscoring, playing as the Ringmaster."
E1485,Unused entrance cards persist,ALREADY_A_RULE,,braindump,gam draft.txt:1277,Unused entrance cards stay in place for the next round rather than being replaced.
E1490,Vertical poker hands ability,ALREADY_A_RULE,,braindump,gam draft.txt:114,"Ability that makes poker hands also considered vertically (columns), not just rows."
E0043,Exchange Voucher,DUPLICATE,E0058,catalog,CARD_CATALOG,Usable from anywhere (including the deck): cue to swap this card's position with any card on screen.
E0239,The Fire Marshal,DUPLICATE,E0048,catalog,CARD_CATALOG,"Town hazard: Flames-suit cards cannot score, and any Flames card in the deck is treated as Wax type this show."
E0278,The Living Statue,DUPLICATE,E0052,catalog,CARD_CATALOG,Gains bonus points at show end for every show it was never moved; any grab resets the bonus to zero.
E0338,The Tailor's Dummy,DUPLICATE,E0259,catalog,CARD_CATALOG,"This prop card can never hold a skill, but can hold two stamps."
E0351,The Vine,DUPLICATE,E0090,catalog,CARD_CATALOG,"The first time this card would be destroyed or discarded by a fall or hazard each tour, it survives instead."
E0360,The Wing Walker,DUPLICATE,E0224,catalog,CARD_CATALOG,"During the Next-phase drop, this card may transfer mid-air from its input column to an adjacent one, chosen on cue before Next."
E0379,1 free undo per turn,DUPLICATE,E0060,designdocs,DESIGN_DOC.md §17 Turn Resources,1 free undo is granted per turn by default and does not carry over.
E0382,72 Transformations,DUPLICATE,E0001,designdocs,DESIGN_REFERENCES.md §A5 China,A wild card may transform up to 72 tracked times per run; at 72 it ascends into a permanently upgraded form.
E0383,8-9-3 jackpot,DUPLICATE,E0361,designdocs,DESIGN_REFERENCES.md §A6 Japan,Scoring a meld of exactly 8-9-3 pays out a massive jackpot ('the worthless hand').
E0384,Acrobat (unnamed charge example),DUPLICATE,E0366,designdocs,DESIGN_DOC.md §14.1 Skills/Feats,"Has 1 charge; triggers by cue, or auto-spends on Next if unused."
E0394,Automaton type (Karakuri),DUPLICATE,E0005,designdocs,DESIGN_REFERENCES.md §A6 Japan,"Acts by itself every Next, performing its cue for free, but can never be manually cued."
E0395,Avalanche,DUPLICATE,E0006,designdocs,DESIGN_DOC.md §5 Scoring,"After scoring, all cards on the board 'attack the scoreboard,' reducing the goal score by the number of cards on the board."
E0399,Ban-evasion deck (Hanafuda),DUPLICATE,E0074,designdocs,DESIGN_REFERENCES.md §A6 Japan,"When a town outlaws a suit, cards in this deck reskin themselves to dodge the ban."
E0402,Bian lian instant pip-swap,DUPLICATE,E0010,designdocs,DESIGN_REFERENCES.md §A5 China,"Instant pip-swap on cue, with the swap method hidden from the player; unlocked via a family-lineage condition."
E0411,Boss/hazard rule cards,DUPLICATE,E0410,designdocs,DESIGN_DOC.md §14.4 Rule cards,Temporary negative rule cards that self-destruct after the game/show ends.
E0412,Bottom Deal,DUPLICATE,E0013,designdocs,"DESIGN_REFERENCES.md §D Cards, Gambling & Fortune",Draw from the bottom of the deck this turn.
E0413,Bound pair (Karagöz),DUPLICATE,E0095,designdocs,"DESIGN_REFERENCES.md §A8 Middle East, Central Asia, Mongolia",Each of a pair gets +mult when placed in opposite zones.
E0414,Brass Check,DUPLICATE,E0014,designdocs,DESIGN_RECOMMENDATIONS.md §5 Stamps,"On trigger, mint a Gold card to the top of the deck."
E0415,Build-to-burn (Las Fallas),DUPLICATE,E0292,designdocs,"DESIGN_REFERENCES.md §A15 Iberia, Nordics & Eastern Europe","Invest in a card all tour, then burn it at the finale for a payout proportional to investment; exactly one card can be 'pardoned' from any mass-destruction effect."
E0418,Buried alive,DUPLICATE,E0017,designdocs,DESIGN_REFERENCES.md §B4 Danger Acts,Bury a card (remove from game) for N shows; it returns transformed (+rarity) or not at all (small chance).
E0420,Burst acrobatics (Hopak),DUPLICATE,E0084,designdocs,"DESIGN_REFERENCES.md §A15 Iberia, Nordics & Eastern Europe",A Dancer card jumps its whole stack one row in a single cue.
E0425,Calliope,DUPLICATE,E0188,designdocs,DESIGN_RECOMMENDATIONS.md §6 Special Effects,+combo for every different class that scored this submit.
E0427,Cannon dynasty inheritance,DUPLICATE,E0398,designdocs,DESIGN_REFERENCES.md §B4 Danger Acts,"Cannon acts are inheritable between runs, framed as a family dynasty."
E0429,Canvas,DUPLICATE,E0018,designdocs,DESIGN_RECOMMENDATIONS.md §4 Types (materials),Sturdy default material for circus-born cards; an upgrade tier above Paper.
E0431,Card pack node offers,DUPLICATE,E0408,designdocs,DESIGN_DOC.md §15 Map content & UX,"Nodes offer card packs, or occasionally rarer single cards; packs show at least 1 guaranteed card in the map preview."
E0440,Cascade Scorer,DUPLICATE,E0019,designdocs,DESIGN_DOC.md §14.4 Rule cards,Performs the whole-board row/column scoring pass.
E0441,Censorship-immune puppets,DUPLICATE,E0389,designdocs,"DESIGN_REFERENCES.md §A15 Iberia, Nordics & Eastern Europe","In towns that ban speech/satire acts, Puppet-type cards perform unhindered."
E0446,Charivari opening,DUPLICATE,E0195,designdocs,DESIGN_REFERENCES.md §A2 Medieval & Renaissance Europe,Turn-1 bonus for flooding the Ring with many low-rank cards at once.
E0447,Cheat Day,DUPLICATE,E0020,designdocs,DESIGN_DOC.md §14.1 Skills/Feats,"Cards remaining in the deck get a rank-up, rewarding winning early with cards to spare."
E0453,Clever Hans,DUPLICATE,E0022,designdocs,"DESIGN_REFERENCES.md §C2 Séance, Spiritualism & Paranormal","Appears to calculate a rank but actually copies its neighbor's value; if the neighbor leaves, it's revealed as rank 1."
E0455,Clown + companion token,DUPLICATE,E0097,designdocs,DESIGN_REFERENCES.md §A4 Russia & the Soviet Circus,Comes with a free 1-rank dog token.
E0458,Column count via rule cards,DUPLICATE,E0142,designdocs,DESIGN_DOC.md §3 Board & Zones,"Column count is not hardcoded: rule cards (input/zone adders) each add one column at game creation, so effects can add or remove columns."
E0465,Common (chain),DUPLICATE,E0026,designdocs,DESIGN_DOC.md §14.1 Skills/Feats,Doubles the chance of Rare cards appearing.
E0486,Dead Man's Hand,DUPLICATE,E0029,designdocs,"DESIGN_REFERENCES.md §D Cards, Gambling & Fortune","Scoring two pair, aces over eights, triggers a morbid jackpot plus a ghost event."
E0491,Deck unlocks as gimmick runs,DUPLICATE,E0433,designdocs,DESIGN_DOC.md §13 Special Decks & Variants,"Deck unlocks double as Balatro-style gimmick runs, unifying two systems into one."
E0492,Declared jump (Evel Knievel),DUPLICATE,E0183,designdocs,DESIGN_REFERENCES.md §A10 The Americas,"Anchors the Booking system: declare a jump, sell tickets, then attempt to survive it."
E0493,Dedi's Resurrection,DUPLICATE,E0030,designdocs,DESIGN_REFERENCES.md §A1 The Ancient World,Restore one destroyed card per show.
E0494,Default stack legality,DUPLICATE,E0122,designdocs,DESIGN_DOC.md §4 Stacking & Movement Rules,A legal stack is an ascending or descending run; same-suit cards cannot stack.
E0496,Deus ex machina consumable,DUPLICATE,E0031,designdocs,DESIGN_REFERENCES.md §F1 Theater & Opera,"One automatic show-save per run, deliberately framed as feeling like a cheat."
E0498,Diabolo juggle,DUPLICATE,E0032,designdocs,DESIGN_REFERENCES.md §A5 China,"A card is juggled between two columns, alternating position every Next and buffing both."
E0500,Discard-driven board building,DUPLICATE,E0290,designdocs,DESIGN_DOC.md §17 Turn Resources,"Discards are a main method of building the board: repeatedly discard Entrance cards until getting what's wanted, then let them drop; an upgrade chain grants more discards or more cards per discard."
E0501,Discard Joker (unnamed),DUPLICATE,E0290,designdocs,DESIGN_DOC.md §14.1 Skills/Feats,Allows discarding 1 Entrance card per turn; upgradable to more discards or more cards per discard.
